year,quintil_oecd_hh,sampreg,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,West,No,0.96705,2271,2271,0.95971,0.97439
2016,1st Quintile,East,No,0.97563,816,816,0.96504,0.98622
2016,2nd Quintile,West,No,0.99655,2235,2235,0.99412,0.99898
2016,2nd Quintile,East,No,0.99278,794,794,0.98688,0.99867
2016,3rd Quintile,West,No,0.99895,2067,2067,0.99756,1.00035
2016,3rd Quintile,East,No,0.98679,666,666,0.97811,0.99547
2016,4th Quintile,West,No,0.99459,2194,2194,0.99152,0.99766
2016,4th Quintile,East,No,0.99968,456,456,0.99802,1.00133
2016,5th Quintile,West,No,0.99155,2414,2414,0.98790,0.99521
2016,5th Quintile,East,No,0.99355,324,324,0.98482,1.00228
2017,1st Quintile,West,No,0.95997,2315,2315,0.95199,0.96796
2017,1st Quintile,East,No,0.97704,877,877,0.96713,0.98696
2017,2nd Quintile,West,No,0.99496,2326,2326,0.99208,0.99784
2017,2nd Quintile,East,No,0.99588,902,902,0.99170,1.00006
2017,3rd Quintile,West,No,0.99770,2359,2359,0.99577,0.99963
2017,3rd Quintile,East,No,0.99371,719,719,0.98792,0.99949
2017,4th Quintile,West,No,0.99741,2507,2507,0.99542,0.99940
2017,4th Quintile,East,No,0.99874,529,529,0.99571,1.00177
2017,5th Quintile,West,No,0.99869,2708,2708,0.99733,1.00005
2017,5th Quintile,East,No,0.99935,379,379,0.99679,1.00192
2018,1st Quintile,West,No,0.96345,2363,2363,0.95588,0.97102
2018,1st Quintile,East,No,0.97947,943,943,0.97041,0.98852
2018,2nd Quintile,West,No,0.99252,2345,2345,0.98903,0.99601
2018,2nd Quintile,East,No,0.99659,943,943,0.99287,1.00031
2018,3rd Quintile,West,No,0.99231,2247,2247,0.98870,0.99593
2018,3rd Quintile,East,No,0.99956,681,681,0.99799,1.00114
2018,4th Quintile,West,No,0.99698,2373,2373,0.99478,0.99919
2018,4th Quintile,East,No,0.99543,497,497,0.98949,1.00137
2018,5th Quintile,West,No,0.99490,2639,2639,0.99219,0.99762
2018,5th Quintile,East,No,0.99882,362,362,0.99529,1.00236
2019,1st Quintile,West,No,0.95282,2090,2090,0.94373,0.96192
2019,1st Quintile,East,No,0.97606,825,825,0.96563,0.98650
2019,2nd Quintile,West,No,0.99458,2185,2185,0.99150,0.99766
2019,2nd Quintile,East,No,0.99342,823,823,0.98789,0.99895
2019,3rd Quintile,West,No,0.99687,2173,2173,0.99452,0.99922
2019,3rd Quintile,East,No,0.99993,693,693,0.99932,1.00054
2019,4th Quintile,West,No,0.99677,2361,2361,0.99449,0.99906
2019,4th Quintile,East,No,0.99990,544,544,0.99903,1.00076
2019,5th Quintile,West,No,0.99664,3628,3628,0.99476,0.99853
2019,5th Quintile,East,No,0.99165,693,693,0.98488,0.99843
2020,1st Quintile,West,No,0.94210,2613,2613,0.93314,0.95105
2020,1st Quintile,East,No,0.96636,817,817,0.95399,0.97873
2020,2nd Quintile,West,No,0.98782,2461,2461,0.98349,0.99215
2020,2nd Quintile,East,No,0.99477,857,857,0.98993,0.99960
2020,3rd Quintile,West,No,0.99412,2215,2215,0.99094,0.99731
2020,3rd Quintile,East,No,0.99061,655,655,0.98322,0.99800
2020,4th Quintile,West,No,0.99388,2335,2335,0.99072,0.99705
2020,4th Quintile,East,No,0.99350,518,518,0.98658,1.00043
2020,5th Quintile,West,No,0.98909,3138,3138,0.98545,0.99272
2020,5th Quintile,East,No,0.99447,579,579,0.98842,1.00051
2021,1st Quintile,West,No,0.94558,1504,1504,0.93411,0.95705
2021,1st Quintile,East,No,0.97116,534,534,0.95695,0.98537
2021,2nd Quintile,West,No,0.98204,1604,1604,0.97554,0.98854
2021,2nd Quintile,East,No,0.99531,567,567,0.98969,1.00094
2021,3rd Quintile,West,No,0.99569,1553,1553,0.99243,0.99895
2021,3rd Quintile,East,No,0.99150,474,474,0.98323,0.99977
2021,4th Quintile,West,No,0.99402,1682,1682,0.99033,0.99770
2021,4th Quintile,East,No,0.99802,392,392,0.99361,1.00243
2021,5th Quintile,West,No,0.99556,2284,2284,0.99283,0.99829
2021,5th Quintile,East,No,0.99303,420,420,0.98507,1.00100
2022,1st Quintile,West,No,0.95838,3361,3361,0.95163,0.96513
2022,1st Quintile,East,No,0.96938,1114,1114,0.95926,0.97950
2022,2nd Quintile,West,No,0.97839,2865,2865,0.97307,0.98372
2022,2nd Quintile,East,No,0.98198,990,990,0.97369,0.99027
2022,3rd Quintile,West,No,0.99362,2572,2572,0.99054,0.99670
2022,3rd Quintile,East,No,0.99208,816,816,0.98599,0.99816
2022,4th Quintile,West,No,0.99216,2766,2766,0.98887,0.99544
2022,4th Quintile,East,No,0.99698,640,640,0.99273,1.00124
2022,5th Quintile,West,No,0.98942,3230,3230,0.98589,0.99295
2022,5th Quintile,East,No,0.98412,581,581,0.97394,0.99429
