year,bula_h,hhtyp,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Single-person household,No,0.98698,127,127,0.96719,1.00677
2016,Schleswig-Holstein,Couple without children,No,0.99865,131,131,0.99233,1.00496
2016,Schleswig-Holstein,Single parent,No,0.98439,58,58,0.95222,1.01657
2016,Schleswig-Holstein,Couple with children,No,0.99026,175,175,0.97566,1.00485
2016,Hamburg,Single-person household,No,0.99315,71,71,0.97382,1.01247
2016,Hamburg,Couple without children,No,0.99901,68,68,0.99147,1.00654
2016,Hamburg,Couple with children,No,0.99753,91,91,0.98727,1.00779
2016,Lower Saxony,Single-person household,No,0.99326,289,289,0.98381,1.00271
2016,Lower Saxony,Couple without children,No,0.99876,393,393,0.99527,1.00224
2016,Lower Saxony,Single parent,No,0.99433,155,155,0.98248,1.00619
2016,Lower Saxony,Couple with children,No,0.97720,475,475,0.96376,0.99064
2016,Bremen,Couple with children,No,0.96864,36,36,0.91090,1.02638
2016,North Rhine-Westphalia,Single-person household,No,0.98629,605,605,0.97701,0.99556
2016,North Rhine-Westphalia,Couple without children,No,0.98885,780,780,0.98147,0.99622
2016,North Rhine-Westphalia,Single parent,No,0.99108,313,313,0.98064,1.00151
2016,North Rhine-Westphalia,Couple with children,No,0.98520,1134,1134,0.97817,0.99223
2016,North Rhine-Westphalia,Other Combinations,No,0.93695,43,43,0.86345,1.01046
2016,Hesse,Single-person household,No,0.99497,209,209,0.98536,1.00458
2016,Hesse,Couple without children,No,0.98907,278,278,0.97682,1.00131
2016,Hesse,Single parent,No,0.99484,110,110,0.98138,1.00829
2016,Hesse,Couple with children,No,0.99331,342,342,0.98466,1.00196
2016,"Rhineland-Palatinate, Saarland",Single-person household,No,0.98716,204,204,0.97168,1.00265
2016,"Rhineland-Palatinate, Saarland",Couple without children,No,0.99197,237,237,0.98059,1.00336
2016,"Rhineland-Palatinate, Saarland",Single parent,No,0.98213,80,80,0.95292,1.01134
2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.98908,296,296,0.97723,1.00094
2016,Baden-Wuerttemberg,Single-person household,No,0.98254,346,346,0.96872,0.99636
2016,Baden-Wuerttemberg,Couple without children,No,0.99453,427,427,0.98753,1.00154
2016,Baden-Wuerttemberg,Single parent,No,0.99398,146,146,0.98139,1.00657
2016,Baden-Wuerttemberg,Couple with children,No,0.99273,669,669,0.98629,0.99917
2016,Bavaria,Single-person household,No,0.99371,516,516,0.98688,1.00054
2016,Bavaria,Couple without children,No,0.99809,636,636,0.99469,1.00149
2016,Bavaria,Single parent,No,0.99754,236,236,0.99122,1.00387
2016,Bavaria,Couple with children,No,0.99024,862,862,0.98367,0.99681
2016,Berlin,Single-person household,No,0.99538,226,226,0.98653,1.00424
2016,Berlin,Couple without children,No,0.99115,165,165,0.97682,1.00548
2016,Berlin,Single parent,No,0.97261,67,67,0.93323,1.01199
2016,Berlin,Couple with children,No,0.99459,137,137,0.98225,1.00692
2016,Brandenburg,Single-person household,No,0.99506,134,134,0.98315,1.00697
2016,Brandenburg,Couple without children,No,0.99398,211,211,0.98352,1.00444
2016,Brandenburg,Single parent,No,0.99187,53,53,0.96747,1.01628
2016,Brandenburg,Couple with children,No,0.99191,149,149,0.97748,1.00634
2016,Mecklenburg-Western Pomerania,Single-person household,No,0.99487,102,102,0.98094,1.00880
2016,Mecklenburg-Western Pomerania,Couple without children,No,0.99863,106,106,0.99154,1.00571
2016,Mecklenburg-Western Pomerania,Single parent,No,0.97370,39,39,0.92282,1.02458
2016,Mecklenburg-Western Pomerania,Couple with children,No,0.98456,77,77,0.95684,1.01228
2016,Saxony,Single-person household,No,0.98766,225,225,0.97320,1.00212
2016,Saxony,Couple without children,No,0.99900,285,285,0.99533,1.00268
2016,Saxony,Single parent,No,0.97839,92,92,0.94852,1.00827
2016,Saxony,Couple with children,No,0.95391,244,244,0.92754,0.98027
2016,Saxony-Anhalt,Single-person household,No,0.98286,146,146,0.96174,1.00399
2016,Saxony-Anhalt,Couple without children,No,0.98757,154,154,0.97001,1.00513
2016,Saxony-Anhalt,Single parent,No,0.99693,69,69,0.98379,1.01007
2016,Saxony-Anhalt,Couple with children,No,0.98352,133,133,0.96180,1.00524
2016,Thuringa,Single-person household,No,0.98097,149,149,0.95896,1.00298
2016,Thuringa,Single parent,No,0.98597,52,52,0.95368,1.01825
2016,Thuringa,Couple with children,No,0.99287,150,150,0.97936,1.00638
2017,Schleswig-Holstein,Single-person household,No,0.98749,131,131,0.96839,1.00660
2017,Schleswig-Holstein,Couple without children,No,0.99819,161,161,0.99160,1.00478
2017,Schleswig-Holstein,Single parent,No,0.98028,64,64,0.94594,1.01461
2017,Schleswig-Holstein,Couple with children,No,0.98466,197,197,0.96745,1.00187
2017,Hamburg,Single-person household,No,0.99542,76,76,0.98015,1.01070
2017,Hamburg,Couple without children,No,0.99903,87,87,0.99245,1.00561
2017,Hamburg,Couple with children,No,0.98585,96,96,0.96209,1.00960
2017,Lower Saxony,Single-person household,No,0.98955,347,347,0.97884,1.00027
2017,Lower Saxony,Couple without children,No,0.99701,461,461,0.99202,1.00200
2017,Lower Saxony,Single parent,No,0.99285,165,165,0.97996,1.00575
2017,Lower Saxony,Couple with children,No,0.98053,530,530,0.96875,0.99230
2017,Bremen,Single-person household,No,0.98885,39,39,0.95546,1.02224
2017,Bremen,Couple without children,No,0.99946,32,32,0.99126,1.00765
2017,Bremen,Couple with children,No,0.95209,37,37,0.88232,1.02186
2017,North Rhine-Westphalia,Single-person household,No,0.99018,689,689,0.98282,0.99755
2017,North Rhine-Westphalia,Couple without children,No,0.99245,899,899,0.98679,0.99811
2017,North Rhine-Westphalia,Single parent,No,0.98817,318,318,0.97627,1.00007
2017,North Rhine-Westphalia,Couple with children,No,0.97654,1182,1182,0.96790,0.98517
2017,North Rhine-Westphalia,Other Combinations,No,0.95727,65,65,0.90773,1.00682
2017,Hesse,Single-person household,No,0.99247,239,239,0.98148,1.00345
2017,Hesse,Couple without children,No,0.99316,279,279,0.98346,1.00285
2017,Hesse,Single parent,No,0.99215,107,107,0.97535,1.00895
