year,bula_h,regtyp,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Urban regions,No,0.97443,138,138,0.94800,1.00086
2016,Schleswig-Holstein,Rural regions,No,0.99723,364,364,0.99182,1.00264
2016,Hamburg,Urban regions,No,0.99614,264,264,0.98865,1.00363
2016,Lower Saxony,Urban regions,No,0.98493,565,565,0.97488,0.99499
2016,Lower Saxony,Rural regions,No,0.99511,780,780,0.99020,1.00001
2016,Bremen,Urban regions,No,0.98989,105,105,0.97066,1.00912
2016,North Rhine-Westphalia,Urban regions,No,0.98659,2841,2841,0.98236,0.99082
2016,North Rhine-Westphalia,Rural regions,No,0.98476,52,52,0.95114,1.01838
2016,Hesse,Urban regions,No,0.99236,796,796,0.98631,0.99841
2016,Hesse,Rural regions,No,0.99318,177,177,0.98102,1.00534
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.98450,620,620,0.97476,0.99423
2016,"Rhineland-Palatinate, Saarland",Rural regions,No,0.99724,224,224,0.99036,1.00413
2016,Baden-Wuerttemberg,Urban regions,No,0.98725,1448,1448,0.98147,0.99303
2016,Baden-Wuerttemberg,Rural regions,No,0.98834,173,173,0.97229,1.00438
2016,Bavaria,Urban regions,No,0.99429,1094,1094,0.98982,0.99876
2016,Bavaria,Rural regions,No,0.99400,1198,1198,0.98962,0.99837
2016,Berlin,Urban regions,No,0.99300,606,606,0.98635,0.99964
2016,Brandenburg,Rural regions,No,0.99313,514,514,0.98599,1.00028
2016,Mecklenburg-Western Pomerania,Urban regions,No,0.98904,45,45,0.95827,1.01981
2016,Mecklenburg-Western Pomerania,Rural regions,No,0.99341,283,283,0.98396,1.00285
2016,Saxony,Urban regions,No,0.99014,462,462,0.98112,0.99916
2016,Saxony,Rural regions,No,0.97563,396,396,0.96043,0.99084
2016,Saxony-Anhalt,Urban regions,No,0.97079,124,124,0.94103,1.00055
2016,Saxony-Anhalt,Rural regions,No,0.98945,386,386,0.97925,0.99966
2016,Thuringa,Urban regions,No,0.99599,180,180,0.98674,1.00525
2016,Thuringa,Rural regions,No,0.98533,362,362,0.97293,0.99773
2017,Schleswig-Holstein,Urban regions,No,0.97891,173,173,0.95744,1.00039
2017,Schleswig-Holstein,Rural regions,No,0.99377,391,391,0.98596,1.00158
2017,Hamburg,Urban regions,No,0.99405,295,295,0.98525,1.00284
2017,Lower Saxony,Urban regions,No,0.99112,660,660,0.98396,0.99828
2017,Lower Saxony,Rural regions,No,0.98825,874,874,0.98110,0.99540
2017,Bremen,Urban regions,No,0.98458,130,130,0.96332,1.00584
2017,North Rhine-Westphalia,Urban regions,No,0.98788,3116,3116,0.98403,0.99172
2017,North Rhine-Westphalia,Rural regions,No,0.94959,61,61,0.89423,1.00495
2017,Hesse,Urban regions,No,0.99227,844,844,0.98636,0.99819
2017,Hesse,Rural regions,No,0.99029,208,208,0.97693,1.00365
2017,"Rhineland-Palatinate, Saarland",Urban regions,No,0.99017,659,659,0.98263,0.99771
2017,"Rhineland-Palatinate, Saarland",Rural regions,No,0.96663,218,218,0.94274,0.99053
2017,Baden-Wuerttemberg,Urban regions,No,0.99366,1539,1539,0.98970,0.99763
2017,Baden-Wuerttemberg,Rural regions,No,0.98979,181,181,0.97510,1.00448
