year,rentown,sampreg,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,West,No,0.99435,5119,5119,0.99230,0.99641
2016,Owner,East,No,0.99529,1150,1150,0.99133,0.99925
2016,Tenant,West,No,0.99611,6066,6066,0.99454,0.99767
2016,Tenant,East,No,0.99200,1906,1906,0.98800,0.99600
2017,Owner,West,No,0.99805,5735,5735,0.99691,0.99919
2017,Owner,East,No,0.99438,1309,1309,0.99033,0.99843
2017,Tenant,West,No,0.98614,6484,6484,0.98330,0.98899
2017,Tenant,East,No,0.99052,2097,2097,0.98637,0.99467
2018,Owner,West,No,0.99474,5475,5475,0.99283,0.99666
2018,Owner,East,No,0.99791,1252,1252,0.99537,1.00044
2018,Tenant,West,No,0.98163,6497,6497,0.97836,0.98490
2018,Tenant,East,No,0.98874,2174,2174,0.98430,0.99317
2019,Owner,West,No,0.99526,6286,6286,0.99356,0.99696
2019,Owner,East,No,0.99591,1543,1543,0.99273,0.99910
2019,Tenant,West,No,0.98106,6152,6152,0.97766,0.98447
2019,Tenant,East,No,0.98794,2037,2037,0.98320,0.99268
2020,Owner,West,No,0.98981,5564,5564,0.98717,0.99245
2020,Owner,East,No,0.99113,1350,1350,0.98613,0.99613
2020,Tenant,West,No,0.97371,7223,7223,0.97002,0.97740
2020,Tenant,East,No,0.98247,2078,2078,0.97683,0.98812
2021,Owner,West,No,0.99167,4098,4098,0.98889,0.99446
2021,Owner,East,No,0.99729,950,950,0.99398,1.00060
2021,Tenant,West,No,0.97487,4541,4541,0.97031,0.97942
2021,Tenant,East,No,0.98264,1440,1440,0.97589,0.98939
2022,Owner,West,No,0.99341,6243,6243,0.99140,0.99542
2022,Owner,East,No,0.99480,1542,1542,0.99121,0.99839
2022,Tenant,West,No,0.97248,8690,8690,0.96904,0.97592
2022,Tenant,East,No,0.97731,2646,2646,0.97164,0.98299
