year,hhtyp,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,No,0.98939,3375,3375,0.98593,0.99285
2016,Couple without children,No,0.99416,4077,4077,0.99182,0.99650
2016,Single parent,No,0.99086,1519,1519,0.98608,0.99565
2016,Couple with children,No,0.98639,4970,4970,0.98316,0.98961
2016,Multi-generational household,No,0.99191,108,108,0.97493,1.00888
2016,Other Combinations,No,0.93560,193,193,0.90087,0.97032
2017,Single-person household,No,0.99019,3817,3817,0.98706,0.99332
2017,Couple without children,No,0.99615,4599,4599,0.99437,0.99794
2017,Single parent,No,0.98749,1534,1534,0.98192,0.99305
2017,Couple with children,No,0.98526,5303,5303,0.98201,0.98850
2017,Multi-generational household,No,0.98754,113,113,0.96700,1.00808
2017,Other Combinations,No,0.95873,259,259,0.93446,0.98300
2018,Single-person household,No,0.98874,4012,4012,0.98548,0.99201
2018,Couple without children,No,0.99424,4531,4531,0.99203,0.99644
2018,Single parent,No,0.98138,1506,1506,0.97455,0.98821
2018,Couple with children,No,0.98476,5005,5005,0.98136,0.98815
2018,Multi-generational household,No,0.98790,116,116,0.96792,1.00788
2018,Other Combinations,No,0.95735,228,228,0.93106,0.98363
2019,Single-person household,No,0.98835,4125,4125,0.98507,0.99162
2019,Couple without children,No,0.99460,5071,5071,0.99258,0.99661
2019,Single parent,No,0.98693,1418,1418,0.98101,0.99284
2019,Couple with children,No,0.98274,5138,5138,0.97918,0.98630
2019,Multi-generational household,No,0.98358,105,105,0.95916,1.00801
2019,Other Combinations,No,0.95741,223,223,0.93085,0.98397
2020,Single-person household,No,0.98306,4586,4586,0.97933,0.98680
2020,Couple without children,No,0.98735,4996,4996,0.98425,0.99044
2020,Single parent,No,0.98154,1335,1335,0.97431,0.98876
2020,Couple with children,No,0.97621,4883,4883,0.97194,0.98049
2020,Multi-generational household,No,0.98763,118,118,0.96759,1.00766
2020,Other Combinations,No,0.94282,297,297,0.91636,0.96927
2021,Single-person household,No,0.98504,3184,3184,0.98082,0.98926
2021,Couple without children,No,0.98852,3394,3394,0.98494,0.99211
2021,Single parent,No,0.98354,893,893,0.97519,0.99189
2021,Couple with children,No,0.97680,3165,3165,0.97155,0.98204
2021,Multi-generational household,No,0.98282,75,75,0.95322,1.01243
2021,Other Combinations,No,0.96828,263,263,0.94706,0.98950
2022,Single-person household,No,0.98331,5558,5558,0.97994,0.98668
2022,Couple without children,No,0.98967,5700,5700,0.98704,0.99229
2022,Single parent,No,0.98654,1137,1137,0.97983,0.99324
2022,Couple with children,No,0.97290,5127,5127,0.96846,0.97735
2022,Multi-generational household,No,0.97070,81,81,0.93374,1.00765
2022,Other Combinations,No,0.97912,1106,1106,0.97069,0.98755
