year,quintil_oecd_hh,rentown,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Tenant,No,0.99454,2690,2690,0.99176,0.99733
2016,2nd Quintile,Owner,No,0.99150,1019,1019,0.98586,0.99714
2016,2nd Quintile,Tenant,No,0.99809,2010,2010,0.99618,1.00000
2016,3rd Quintile,Owner,No,0.99983,1339,1339,0.99913,1.00053
2016,3rd Quintile,Tenant,No,0.99285,1394,1394,0.98843,0.99728
2016,4th Quintile,Owner,No,0.99463,1552,1552,0.99100,0.99827
2016,4th Quintile,Tenant,No,0.99615,1098,1098,0.99248,0.99981
2016,5th Quintile,Owner,No,0.99095,1963,1963,0.98676,0.99514
2016,5th Quintile,Tenant,No,0.99361,775,775,0.98800,0.99922
2017,1st Quintile,Owner,No,0.99629,388,388,0.99024,1.00235
2017,1st Quintile,Tenant,No,0.96831,2804,2804,0.96182,0.97479
2017,2nd Quintile,Owner,No,0.99391,1096,1096,0.98930,0.99852
2017,2nd Quintile,Tenant,No,0.99587,2132,2132,0.99315,0.99859
2017,3rd Quintile,Owner,No,0.99765,1528,1528,0.99522,1.00008
2017,3rd Quintile,Tenant,No,0.99615,1550,1550,0.99306,0.99923
2017,4th Quintile,Owner,No,0.99739,1791,1791,0.99503,0.99975
2017,4th Quintile,Tenant,No,0.99783,1245,1245,0.99525,1.00042
2017,5th Quintile,Owner,No,0.99957,2241,2241,0.99870,1.00043
2017,5th Quintile,Tenant,No,0.99652,846,846,0.99255,1.00049
2018,1st Quintile,Owner,No,0.99709,380,380,0.99168,1.00251
2018,1st Quintile,Tenant,No,0.96284,2926,2926,0.95599,0.96970
2018,2nd Quintile,Owner,No,0.99243,1082,1082,0.98727,0.99760
2018,2nd Quintile,Tenant,No,0.99404,2206,2206,0.99083,0.99725
2018,3rd Quintile,Owner,No,0.99431,1395,1395,0.99036,0.99826
2018,3rd Quintile,Tenant,No,0.99303,1533,1533,0.98887,0.99720
2018,4th Quintile,Owner,No,0.99795,1705,1705,0.99580,1.00010
2018,4th Quintile,Tenant,No,0.99504,1165,1165,0.99100,0.99908
2018,5th Quintile,Owner,No,0.99462,2165,2165,0.99154,0.99770
2018,5th Quintile,Tenant,No,0.99683,836,836,0.99302,1.00064
2019,1st Quintile,Owner,No,0.98893,388,388,0.97850,0.99935
2019,1st Quintile,Tenant,No,0.95352,2546,2546,0.94534,0.96170
2019,2nd Quintile,Owner,No,0.99224,1027,1027,0.98687,0.99761
2019,2nd Quintile,Tenant,No,0.99540,1997,1997,0.99243,0.99837
2019,3rd Quintile,Owner,No,0.99566,1406,1406,0.99222,0.99910
2019,3rd Quintile,Tenant,No,0.99926,1465,1465,0.99786,1.00065
2019,4th Quintile,Owner,No,0.99776,1774,1774,0.99557,0.99996
2019,4th Quintile,Tenant,No,0.99639,1143,1143,0.99292,0.99987
2019,5th Quintile,Owner,No,0.99592,3249,3249,0.99373,0.99811
2019,5th Quintile,Tenant,No,0.99690,1081,1081,0.99359,1.00022
2020,1st Quintile,Owner,No,0.98163,313,313,0.96673,0.99653
2020,1st Quintile,Tenant,No,0.94286,3117,3117,0.93471,0.95101
2020,2nd Quintile,Owner,No,0.98237,974,974,0.97410,0.99064
2020,2nd Quintile,Tenant,No,0.99359,2344,2344,0.99035,0.99682
2020,3rd Quintile,Owner,No,0.99258,1294,1294,0.98790,0.99726
2020,3rd Quintile,Tenant,No,0.99435,1576,1576,0.99065,0.99805
2020,4th Quintile,Owner,No,0.99393,1610,1610,0.99013,0.99772
2020,4th Quintile,Tenant,No,0.99370,1243,1243,0.98929,0.99810
2020,5th Quintile,Owner,No,0.99052,2721,2721,0.98687,0.99416
2020,5th Quintile,Tenant,No,0.98722,996,996,0.98024,0.99420
2021,1st Quintile,Owner,No,0.97802,267,267,0.96040,0.99564
2021,1st Quintile,Tenant,No,0.94563,1770,1770,0.93507,0.95620
2021,2nd Quintile,Owner,No,0.98985,675,675,0.98229,0.99742
2021,2nd Quintile,Tenant,No,0.98337,1495,1495,0.97689,0.98986
2021,3rd Quintile,Owner,No,0.99553,920,920,0.99122,0.99985
2021,3rd Quintile,Tenant,No,0.99430,1107,1107,0.98986,0.99874
2021,4th Quintile,Owner,No,0.99304,1204,1204,0.98834,0.99774
2021,4th Quintile,Tenant,No,0.99695,870,870,0.99328,1.00062
2021,5th Quintile,Owner,No,0.99441,1977,1977,0.99113,0.99770
2021,5th Quintile,Tenant,No,0.99782,725,725,0.99443,1.00122
2022,1st Quintile,Owner,No,0.98230,971,971,0.97400,0.99060
2022,1st Quintile,Tenant,No,0.95407,3498,3498,0.94714,0.96101
2022,2nd Quintile,Owner,No,0.99509,1101,1101,0.99096,0.99922
2022,2nd Quintile,Tenant,No,0.97119,2751,2751,0.96494,0.97744
2022,3rd Quintile,Owner,No,0.99695,1404,1404,0.99406,0.99983
2022,3rd Quintile,Tenant,No,0.98968,1983,1983,0.98523,0.99413
2022,4th Quintile,Owner,No,0.99341,1740,1740,0.98960,0.99721
2022,4th Quintile,Tenant,No,0.99207,1665,1665,0.98781,0.99633
2022,5th Quintile,Owner,No,0.99454,2558,2558,0.99168,0.99739
2022,5th Quintile,Tenant,No,0.97536,1250,1250,0.96676,0.98396
