year,sampreg,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,West,No,0.99001,11186,11186,0.98817,0.99186
2016,East,No,0.98778,3056,3056,0.98389,0.99168
2017,West,No,0.99017,12219,12219,0.98843,0.99192
2017,East,No,0.99084,3406,3406,0.98763,0.99404
2018,West,Yes,0.00285,32,12004,0.00189,0.00380
2018,West,No,0.98800,11972,12004,0.98605,0.98995
2018,East,No,0.99209,3426,3426,0.98913,0.99506
2019,West,Yes,0.00207,34,12472,0.00128,0.00287
2019,West,No,0.98793,12438,12472,0.98602,0.98985
2019,East,No,0.99095,3580,3580,0.98785,0.99405
2020,West,Yes,0.00440,49,12836,0.00326,0.00555
2020,West,No,0.98150,12787,12836,0.97917,0.98383
2020,East,No,0.98573,3428,3428,0.98175,0.98970
2021,West,Yes,0.00422,40,8682,0.00286,0.00559
2021,West,No,0.98287,8642,8682,0.98014,0.98560
2021,East,No,0.98817,2391,2391,0.98384,0.99251
2022,West,Yes,0.00318,49,14994,0.00228,0.00409
2022,West,No,0.98263,14945,14994,0.98054,0.98472
2022,East,No,0.98385,4190,4190,0.98003,0.98767
