"pgstib","year","bula_h","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Schleswig-Holstein","56","0.13048395443996","0.0969248808245895","0.164043028055331"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Hamburg","42","0.110136251105208","0.0753430170371965","0.14492948517322"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Niedersachsen","206","0.150573785679047","0.130627955054171","0.170519616303923"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Bremen","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Nordrhein-Westfalen","648","0.176007157973526","0.162958425471885","0.189055890475166"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Hessen","202","0.139744702187607","0.120508375123414","0.1589810292518"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Rheinland-Pfalz,Saarland","174","0.195196785759026","0.168614009386996","0.221779562131056"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Baden-Wuerttemberg","375","0.143985804684425","0.129533981040723","0.158437628328127"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Bayern","349","0.161023479557309","0.145318234032402","0.176728725082217"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Saarland","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Berlin","39","0.0727754904972975","0.0476922001630767","0.0978587808315183"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Brandenburg","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Mecklenburg-Vorpommern","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Sachsen","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Sachsen-Anhalt","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Thueringen","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Schleswig-Holstein","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Hamburg","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Niedersachsen","101","0.0737987374723464","0.059217587978719","0.0883798869659738"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Bremen","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Nordrhein-Westfalen","241","0.0693392525105618","0.0606350954327906","0.0780434095883329"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Hessen","66","0.0547365996166705","0.0421166934168606","0.0673565058164803"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Rheinland-Pfalz,Saarland","46","0.0506514984149932","0.0359443613778308","0.0653586354521557"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Baden-Wuerttemberg","105","0.0524197401030188","0.0432453381211179","0.0615941420849198"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Bayern","101","0.043683674163501","0.0349502291996662","0.0524171191273359"
