"pgstib","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(noch) kein Abschluss","305","0.161221391026962","0.141307897908867","0.181134884145057"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Hauptschulabschluss","1389","0.1821896116292","0.173322128970471","0.19105709428793"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Realschulabschluss","255","0.128032770864706","0.112949238216566","0.143116303512846"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(Fach-)Abitur","88","0.0858184682715734","0.067163447106077","0.10447348943707"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","AkademikerInnen","51","0.0575768003092593","0.0413435084561738","0.0738100921623449"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","(noch) kein Abschluss","217","0.417356809873349","0.390653350144085","0.444060269602613"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Hauptschulabschluss","103","0.0101932649690182","0.00788575231956427","0.0125007776184722"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Realschulabschluss","169","0.0808270329981561","0.0685223804782929","0.0931316855180194"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","(Fach-)Abitur","204","0.2565505307346","0.227463369947496","0.285637691521705"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","AkademikerInnen","","","",""
"NE: arbeitslos gemeldet","1984","(noch) kein Abschluss","79","0.0509913646616233","0.0390790586102776","0.062903670712969"
"NE: arbeitslos gemeldet","1984","Hauptschulabschluss","269","0.0316590471384495","0.0276367393422206","0.0356813549346784"
"NE: arbeitslos gemeldet","1984","Realschulabschluss","44","0.0218292028003299","0.0152326248605046","0.0284257807401552"
"NE: arbeitslos gemeldet","1984","(Fach-)Abitur","30","0.0340958471530483","0.0220091704850367","0.0461825238210599"
"NE: arbeitslos gemeldet","1984","AkademikerInnen","","","",""
"NE: Rentner/Rentnerin","1984","(noch) kein Abschluss","37","0.0506002552438977","0.0387312764939581","0.0624692339938373"
"NE: Rentner/Rentnerin","1984","Hauptschulabschluss","1349","0.275038911274443","0.264780817851761","0.285297004697126"
"NE: Rentner/Rentnerin","1984","Realschulabschluss","237","0.173336098139204","0.156247697849948","0.19042449842846"
"NE: Rentner/Rentnerin","1984","(Fach-)Abitur","64","0.116178928388537","0.0948369338734045","0.13752092290367"
"NE: Rentner/Rentnerin","1984","AkademikerInnen","81","0.144251959638469","0.119767322805197","0.16873659647174"
"NE: Wehr- und Zivildienst","1984","(noch) kein Abschluss","","","",""
"NE: Wehr- und Zivildienst","1984","Hauptschulabschluss","","","",""
"NE: Wehr- und Zivildienst","1984","Realschulabschluss","","","",""
"NE: Wehr- und Zivildienst","1984","(Fach-)Abitur","","","",""
"NE: Wehr- und Zivildienst","1984","AkademikerInnen","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","(noch) kein Abschluss","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Hauptschulabschluss","198","0.021047526208733","0.0177499596901129","0.024345092727353"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Realschulabschluss","155","0.0719852143302032","0.0603173461855563","0.0836530824748501"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","(Fach-)Abitur","46","0.0571060835489965","0.0416513418814656","0.0725608252165275"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","AkademikerInnen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","(noch) kein Abschluss","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Hauptschulabschluss","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Realschulabschluss","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","(Fach-)Abitur","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","AkademikerInnen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","(noch) kein Abschluss","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Hauptschulabschluss","","","",""
