"pgstib","year","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","2111","0.15617201756291","0.149736436617761","0.162607598508058"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","722","0.0572760277590138","0.0531565903744439","0.0613954651435836"
"NE: arbeitslos gemeldet","1984","439","0.029721338944085","0.0267108182942049","0.0327318595939652"
"NE: Rentner/Rentnerin","1984","1776","0.22693173302256","0.219506403641477","0.234357062403643"
"NE: Wehr- und Zivildienst","1984","35","0.00341799580711971","0.00238332673326491","0.0044526648809745"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","412","0.0312697425984757","0.0281842623499301","0.0343552228470213"
"Auszubildende, gewerblich-technisch (ab 2000)","1984","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","","","",""
"Volontäre, Praktikanten","1984","","","",""
"Aspiranten (1990 Ost)","1984","","","",""
"ungelernter Arbeiter","1984","739","0.0321547913358396","0.0290273801500878","0.0352822025215914"
"angelernter Arbeiter","1984","1472","0.0741990862942407","0.0695526791085291","0.0788454934799524"
"gelernte und Facharbeiter","1984","994","0.0732254834707234","0.0686072344077571","0.0778437325336896"
"Vorarbeiter, Kolonnenführer","1984","142","0.0108610481442522","0.00902356354903115","0.0126985327394733"
"Meister, Polier","1984","66","0.00626820981710769","0.00486905574916742","0.00766736388504796"
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","","","",""
"selbständiger Landwirt","1984","65","0.00619624823359296","0.00480509840951995","0.00758739805766597"
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","","","",""
"Freiberufler, Akademiker","1984","104","0.00914308195422754","0.00745570946396661","0.0108304544444885"
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","","","",""
"sonstige selbständiger","1984","326","0.0271134498825989","0.0242341780081005","0.0299927217570972"
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1984","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1984","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1984","32","0.00285929715883562","0.00191269595233796","0.00380589836533328"
"mithelfende Familienangehörige","1984","75","0.0053558915874098","0.00406196710225645","0.00664981607256316"
"Angestellte, Industrie- und Werkmeister","1984","59","0.0055387258399346","0.00422302225717182","0.00685442942269738"
"Angestellte, einfache Tätigkeit (bis 1990)","1984","594","0.0510396845355051","0.0471381343159319","0.0549412347550783"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1984","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1984","","","",""
