"pgstib","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","16-34 Jahre alt","705","0.125005040662723","0.11545706561458","0.134553015710866"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","35-65 Jahre alt","1299","0.205897227573016","0.195940786854086","0.215853668291947"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","66 und älter","107","0.0748777201203714","0.0604479789705745","0.0893074612701683"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","16-34 Jahre alt","703","0.168208320816765","0.157409514287635","0.179007127345895"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","35-65 Jahre alt","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","66 und älter","","","",""
"NE: arbeitslos gemeldet","1984","16-34 Jahre alt","238","0.0516497261729301","0.0452602811800345","0.0580391711658258"
"NE: arbeitslos gemeldet","1984","35-65 Jahre alt","200","0.0255234521149596","0.0216401971219359","0.0294067071079833"
"NE: arbeitslos gemeldet","1984","66 und älter","","","",""
"NE: Rentner/Rentnerin","1984","16-34 Jahre alt","","","",""
"NE: Rentner/Rentnerin","1984","35-65 Jahre alt","649","0.142244770319075","0.133643940625541","0.150845600012608"
"NE: Rentner/Rentnerin","1984","66 und älter","1120","0.890931803804206","0.873841335601445","0.908022272006968"
"NE: Wehr- und Zivildienst","1984","16-34 Jahre alt","35","0.0103293618546981","0.00741041071317469","0.0132483129962215"
"NE: Wehr- und Zivildienst","1984","35-65 Jahre alt","","","",""
"NE: Wehr- und Zivildienst","1984","66 und älter","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","16-34 Jahre alt","412","0.0944987953847456","0.0860537421926516","0.10294384857684"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","35-65 Jahre alt","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","66 und älter","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","16-34 Jahre alt","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","35-65 Jahre alt","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","66 und älter","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","16-34 Jahre alt","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","35-65 Jahre alt","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","66 und älter","","","",""
"Volontäre, Praktikanten","1984","16-34 Jahre alt","","","",""
"Volontäre, Praktikanten","1984","35-65 Jahre alt","","","",""
"Volontäre, Praktikanten","1984","66 und älter","","","",""
"Aspiranten (1990 Ost)","1984","16-34 Jahre alt","","","",""
"Aspiranten (1990 Ost)","1984","35-65 Jahre alt","","","",""
"Aspiranten (1990 Ost)","1984","66 und älter","","","",""
"ungelernter Arbeiter","1984","16-34 Jahre alt","249","0.0342764059554952","0.0290238728680995","0.0395289390428909"
"ungelernter Arbeiter","1984","35-65 Jahre alt","484","0.0403036694138605","0.0354610569237932","0.0451462819039279"
"ungelernter Arbeiter","1984","66 und älter","","","",""
"angelernter Arbeiter","1984","16-34 Jahre alt","497","0.0747408108280871","0.0671488258003958","0.0823327958557784"
"angelernter Arbeiter","1984","35-65 Jahre alt","971","0.0992958036609353","0.0919320873751124","0.106659519946758"
"angelernter Arbeiter","1984","66 und älter","","","",""
"gelernte und Facharbeiter","1984","16-34 Jahre alt","441","0.101131596325916","0.0924272487317807","0.109835943920052"
"gelernte und Facharbeiter","1984","35-65 Jahre alt","551","0.0797603949588611","0.0730894921259115","0.0864312977918106"
"gelernte und Facharbeiter","1984","66 und älter","","","",""
"Vorarbeiter, Kolonnenführer","1984","16-34 Jahre alt","40","0.00808267988354371","0.00549768217063487","0.0106676775964525"
"Vorarbeiter, Kolonnenführer","1984","35-65 Jahre alt","102","0.0165760553812384","0.0134322801320094","0.0197198306304674"
"Vorarbeiter, Kolonnenführer","1984","66 und älter","","","",""
"Meister, Polier","1984","16-34 Jahre alt","","","",""
"Meister, Polier","1984","35-65 Jahre alt","49","0.00950901455509958","0.00711936879304681","0.0118986603171524"
"Meister, Polier","1984","66 und älter","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","66 und älter","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","66 und älter","","","",""
"selbständiger Landwirt","1984","16-34 Jahre alt","","","",""
"selbständiger Landwirt","1984","35-65 Jahre alt","52","0.01016594643872","0.00769595407389863","0.0126359388035414"
"selbständiger Landwirt","1984","66 und älter","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","66 und älter","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","66 und älter","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","66 und älter","","","",""
"Freiberufler, Akademiker","1984","16-34 Jahre alt","32","0.00754526524212293","0.0050470068980134","0.0100435235862325"
"Freiberufler, Akademiker","1984","35-65 Jahre alt","65","0.0119947934301818","0.00931428911997386","0.0146752977403897"
"Freiberufler, Akademiker","1984","66 und älter","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","66 und älter","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","66 und älter","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","66 und älter","","","",""
"sonstige selbständiger","1984","16-34 Jahre alt","72","0.0148956706973847","0.0113985076390679","0.0183928337557015"
"sonstige selbständiger","1984","35-65 Jahre alt","242","0.041848858966822","0.0369182640017144","0.0467794539319297"
"sonstige selbständiger","1984","66 und älter","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1984","16-34 Jahre alt","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1984","35-65 Jahre alt","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1984","66 und älter","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1984","16-34 Jahre alt","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1984","35-65 Jahre alt","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1984","66 und älter","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1984","16-34 Jahre alt","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1984","35-65 Jahre alt","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1984","66 und älter","","","",""
"mithelfende Familienangehörige","1984","16-34 Jahre alt","","","",""
"mithelfende Familienangehörige","1984","35-65 Jahre alt","44","0.00770657672038138","0.00555334228639479","0.00985981115436797"
"mithelfende Familienangehörige","1984","66 und älter","","","",""
"Angestellte, Industrie- und Werkmeister","1984","16-34 Jahre alt","","","",""
"Angestellte, Industrie- und Werkmeister","1984","35-65 Jahre alt","43","0.00842164243761054","0.00617153929864343","0.0106717455765776"
"Angestellte, Industrie- und Werkmeister","1984","66 und älter","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1984","16-34 Jahre alt","277","0.0665289004863814","0.0593344049369975","0.0737233960357654"
"Angestellte, einfache Tätigkeit (bis 1990)","1984","35-65 Jahre alt","315","0.0580547035518314","0.0522966983416581","0.0638127087620048"
"Angestellte, einfache Tätigkeit (bis 1990)","1984","66 und älter","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1984","16-34 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1984","35-65 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1984","66 und älter","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1984","16-34 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1984","35-65 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1984","66 und älter","","","",""
"Angestellte, qualifizierte Tätigkeit","1984","16-34 Jahre alt","499","0.135522295064313","0.125640700991945","0.14540388913668"
"Angestellte, qualifizierte Tätigkeit","1984","35-65 Jahre alt","591","0.113727187516521","0.105909894881273","0.12154448015177"
"Angestellte, qualifizierte Tätigkeit","1984","66 und älter","","","",""
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1984","16-34 Jahre alt","113","0.0299931914417829","0.025068903180214","0.0349174797033518"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1984","35-65 Jahre alt","274","0.0516900557818621","0.0462385163280642","0.05714159523566"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1984","66 und älter","","","",""
"Angestellte, umfassende Führungsaufgaben","1984","16-34 Jahre alt","","","",""
"Angestellte, umfassende Führungsaufgaben","1984","35-65 Jahre alt","51","0.0102790445200617","0.0077954924883448","0.0127625965517785"
"Angestellte, umfassende Führungsaufgaben","1984","66 und älter","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1984","16-34 Jahre alt","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1984","35-65 Jahre alt","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1984","66 und älter","","","",""
"Beamte, einfacher Dienst","1984","16-34 Jahre alt","","","",""
"Beamte, einfacher Dienst","1984","35-65 Jahre alt","","","",""
"Beamte, einfacher Dienst","1984","66 und älter","","","",""
"Beamte, mittlerer Dienst","1984","16-34 Jahre alt","82","0.0227638430683094","0.0184579098297827","0.0270697763068362"
"Beamte, mittlerer Dienst","1984","35-65 Jahre alt","82","0.0159431833698118","0.0128590147481323","0.0190273519914913"
"Beamte, mittlerer Dienst","1984","66 und älter","","","",""
"Beamte, gehobener Dienst","1984","16-34 Jahre alt","54","0.0149208111598443","0.0114207428054922","0.0184208795141963"
"Beamte, gehobener Dienst","1984","35-65 Jahre alt","110","0.0212157352880851","0.0176674948575993","0.0247639757185709"
"Beamte, gehobener Dienst","1984","66 und älter","","","",""
"Beamte, höherer Dienst","1984","16-34 Jahre alt","","","",""
"Beamte, höherer Dienst","1984","35-65 Jahre alt","95","0.0174031277447446","0.0141832317085252","0.0206230237809639"
"Beamte, höherer Dienst","1984","66 und älter","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1985","16-34 Jahre alt","532","0.097504017905591","0.0885069346203704","0.106501101190812"
"nicht erwerbstätig (NE): keine weitere Angaben","1985","35-65 Jahre alt","1110","0.187944803967658","0.177871608560659","0.198017999374658"
"nicht erwerbstätig (NE): keine weitere Angaben","1985","66 und älter","86","0.0652983439473705","0.0507908270444007","0.0798058608503402"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1985","16-34 Jahre alt","685","0.175917400484545","0.164369378087313","0.187465422881776"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1985","35-65 Jahre alt","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1985","66 und älter","","","",""
"NE: arbeitslos gemeldet","1985","16-34 Jahre alt","246","0.0570712109977073","0.0500353728920551","0.0641070491033594"
"NE: arbeitslos gemeldet","1985","35-65 Jahre alt","263","0.0416021135644692","0.0364535041852506","0.0467507229436877"
"NE: arbeitslos gemeldet","1985","66 und älter","","","",""
"NE: Rentner/Rentnerin","1985","16-34 Jahre alt","","","",""
"NE: Rentner/Rentnerin","1985","35-65 Jahre alt","612","0.147375532507774","0.138235433259272","0.156515631756276"
"NE: Rentner/Rentnerin","1985","66 und älter","984","0.90163891795175","0.884151186760084","0.919126649143416"
"NE: Wehr- und Zivildienst","1985","16-34 Jahre alt","39","0.0111004943063944","0.00792277827384116","0.0142782103389476"
"NE: Wehr- und Zivildienst","1985","35-65 Jahre alt","","","",""
"NE: Wehr- und Zivildienst","1985","66 und älter","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1985","16-34 Jahre alt","383","0.099899480081581","0.0908046421106849","0.108994318052477"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1985","35-65 Jahre alt","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1985","66 und älter","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1985","16-34 Jahre alt","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1985","35-65 Jahre alt","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1985","66 und älter","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1985","16-34 Jahre alt","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1985","35-65 Jahre alt","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1985","66 und älter","","","",""
"Volontäre, Praktikanten","1985","16-34 Jahre alt","","","",""
"Volontäre, Praktikanten","1985","35-65 Jahre alt","","","",""
"Volontäre, Praktikanten","1985","66 und älter","","","",""
"Aspiranten (1990 Ost)","1985","16-34 Jahre alt","","","",""
"Aspiranten (1990 Ost)","1985","35-65 Jahre alt","","","",""
"Aspiranten (1990 Ost)","1985","66 und älter","","","",""
"ungelernter Arbeiter","1985","16-34 Jahre alt","210","0.0317125847237951","0.0263977983854661","0.0370273710621242"
"ungelernter Arbeiter","1985","35-65 Jahre alt","380","0.0377463488812625","0.0328322761397492","0.0426604216227757"
"ungelernter Arbeiter","1985","66 und älter","","","",""
