"year","age_gr","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2005","17-29","(Fach-)Abitur","5.33","5.17","893","4.33","4.67","6","6.33","7","5.27","5.39","2","7","5.33333349227905","5.66666650772095"
"2005","17-29","(noch) kein Abschluss","5.39","5.17","677","4","4.67","6","6.67","7","5.32","5.46","1","7","5.33333349227905","5.66666650772095"
"2005","17-29","AkademikerIn","5.43","5.17","207","4","4.67","6","6.67","7","5.31","5.55","2.67","7","5.33333349227905","5.66666650772095"
"2005","17-29","Hauptschule","5.31","5.17","650","4","4.67","6","6.67","7","5.23","5.39","2","7","5.33333349227905","5.33333349227905"
"2005","17-29","Realschule","5.4","5.17","1079","4","4.67","6","6.67","7","5.34","5.46","2.33","7","5.33333349227905","5.66666650772095"
"2005","30-45","(Fach-)Abitur","5.48","5.5","797","4.33","4.67","6.33","6.67","7","5.42","5.54","2.33","7","5.33333349227905","5.66666650772095"
"2005","30-45","(noch) kein Abschluss","5.49","5.5","62","4","5","6","7","7","5.25","5.73","3.33","7","5.33333349227905","6"
"2005","30-45","AkademikerIn","5.42","5.17","1381","4","4.67","6","6.67","7","5.37","5.47","2","7","5.33333349227905","5.66666650772095"
"2005","30-45","Hauptschule","5.39","5.17","1628","4","4.67","6.33","6.67","7","5.34","5.44","1.33","7","5.33333349227905","5.33333349227905"
"2005","30-45","Realschule","5.41","5.58","2172","4","4.67","6","6.67","7","5.37","5.45","1","7","5.33333349227905","5.66666650772095"
"2005","46-65","(Fach-)Abitur","5.41","5.17","438","4","4.67","6","7","7","5.31","5.51","2","7","5.33333349227905","5.66666650772095"
"2005","46-65","(noch) kein Abschluss","5.45","5.17","97","3.67","4.67","6.67","7","7","5.2","5.7","1.67","7","5","6"
"2005","46-65","AkademikerIn","5.47","5.58","1913","4.33","4.67","6.33","6.67","7","5.43","5.51","2","7","5.33333349227905","5.66666650772095"
"2005","46-65","Hauptschule","5.45","5.58","2848","4","4.67","6.33","7","7","5.41","5.49","1","7","5.33333349227905","5.66666650772095"
"2005","46-65","Realschule","5.46","5.58","1685","4.33","4.67","6.33","6.67","7","5.41","5.51","1","7","5.33333349227905","5.66666650772095"
"2005","66","(Fach-)Abitur","5.63","5.5","163","4.33","5","6.33","7","7","5.47","5.79","2.67","7","5.33333349227905","6"
"2005","66","(noch) kein Abschluss","5.64","5.5","65","4","5","6.33","7","7","5.38","5.9","3","7","5.33333349227905","6"
"2005","66","AkademikerIn","5.57","5.5","661","4","4.67","6.33","7","7","5.49","5.65","2","7","5.33333349227905","5.66666650772095"
"2005","66","Hauptschule","5.65","5.58","2409","4.33","5","6.33","7","7","5.61","5.69","1","7","5.66666650772095","5.66666650772095"
