"ple0044_h","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1985","Westdeutschland","männlich","3148","0.593085852054119","0.580000086282137","0.606171617826101"
"Nein","1985","Westdeutschland","weiblich","3463","0.618670392700903","0.60596262728117","0.631378158120635"
"Nein","1985","Ostdeutschland","männlich","","","",""
"Nein","1985","Ostdeutschland","weiblich","","","",""
"Ja","1985","Westdeutschland","männlich","2266","0.406914147945881","0.393828382173899","0.419999913717863"
"Ja","1985","Westdeutschland","weiblich","2149","0.381329607299097","0.368621841879365","0.39403737271883"
"Ja","1985","Ostdeutschland","männlich","","","",""
"Ja","1985","Ostdeutschland","weiblich","","","",""
"Nein","1986","Westdeutschland","männlich","2141","0.402750956463471","0.389354724259129","0.416147188667814"
"Nein","1986","Westdeutschland","weiblich","1420","0.242415470770506","0.2308617648217","0.253969176719311"
"Nein","1986","Ostdeutschland","männlich","","","",""
"Nein","1986","Ostdeutschland","weiblich","","","",""
"Ja","1986","Westdeutschland","männlich","3008","0.597249043536529","0.583852811332186","0.610645275740871"
"Ja","1986","Westdeutschland","weiblich","3865","0.757584529229494","0.746030823280689","0.7691382351783"
"Ja","1986","Ostdeutschland","männlich","","","",""
"Ja","1986","Ostdeutschland","weiblich","","","",""
"Nein","1987","Westdeutschland","männlich","1946","0.377189479098749","0.363820348644704","0.390558609552794"
"Nein","1987","Westdeutschland","weiblich","1155","0.198970978584873","0.188119043786614","0.209822913383131"
"Nein","1987","Ostdeutschland","männlich","","","",""
"Nein","1987","Ostdeutschland","weiblich","","","",""
"Ja","1987","Westdeutschland","männlich","3103","0.622810520901251","0.609441390447206","0.636179651355296"
"Ja","1987","Westdeutschland","weiblich","4044","0.801029021415127","0.790177086616869","0.811880956213386"
"Ja","1987","Ostdeutschland","männlich","","","",""
"Ja","1987","Ostdeutschland","weiblich","","","",""
"Nein","1988","Westdeutschland","männlich","1864","0.37928354965933","0.36560127817914","0.39296582113952"
