"ple0044_h","year","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"keinen Tag","1985","maennlich","3148","0.593085852054119","0.580000086282137","0.606171617826101"
"keinen Tag","1985","weiblich","3463","0.618670392700903","0.60596262728117","0.631378158120635"
"Ja","1985","maennlich","2266","0.406914147945881","0.393828382173899","0.419999913717863"
"Ja","1985","weiblich","2149","0.381329607299097","0.368621841879365","0.39403737271883"
"keinen Tag","1986","maennlich","2141","0.402750956463471","0.389354724259129","0.416147188667814"
"keinen Tag","1986","weiblich","1420","0.242415470770506","0.2308617648217","0.253969176719311"
"Ja","1986","maennlich","3008","0.597249043536529","0.583852811332186","0.610645275740871"
"Ja","1986","weiblich","3865","0.757584529229494","0.746030823280689","0.7691382351783"
"keinen Tag","1987","maennlich","1946","0.377189479098749","0.363820348644704","0.390558609552794"
"keinen Tag","1987","weiblich","1155","0.198970978584873","0.188119043786614","0.209822913383131"
"Ja","1987","maennlich","3103","0.622810520901251","0.609441390447206","0.636179651355296"
"Ja","1987","weiblich","4044","0.801029021415127","0.790177086616869","0.811880956213386"
"keinen Tag","1988","maennlich","1864","0.37928354965933","0.36560127817914","0.39296582113952"
"keinen Tag","1988","weiblich","1152","0.213611956997667","0.202193153635438","0.225030760359896"
"Ja","1988","maennlich","2967","0.62071645034067","0.60703417886048","0.63439872182086"
"Ja","1988","weiblich","3797","0.786388043002333","0.774969239640104","0.797806846364562"
"keinen Tag","1989","maennlich","1724","0.351782828006274","0.338158324462743","0.365407331549806"
"keinen Tag","1989","weiblich","1111","0.212248994529602","0.20075298115842","0.223745007900784"
"Ja","1989","maennlich","2995","0.648217171993726","0.634592668450194","0.661841675537257"
"Ja","1989","weiblich","3749","0.787751005470398","0.776254992099216","0.799247018841579"
"keinen Tag","1990","maennlich","","","",""
"keinen Tag","1990","weiblich","","","",""
"Ja","1990","maennlich","","","",""
"Ja","1990","weiblich","","","",""
"keinen Tag","1991","maennlich","1597","0.269802854771014","0.259089710455719","0.280515999086309"
"keinen Tag","1991","weiblich","1099","0.16380791677969","0.155098627555872","0.172517206003507"
"Ja","1991","maennlich","4997","0.730197145228986","0.719484000913691","0.740910289544281"
"Ja","1991","weiblich","5838","0.83619208322031","0.827482793996493","0.844901372444128"
"keinen Tag","1992","maennlich","2523","0.373580897628239","0.361732837310931","0.385428957945547"
"keinen Tag","1992","weiblich","1821","0.231063897119247","0.221018723102306","0.241109071136188"
"Ja","1992","maennlich","3881","0.626419102371761","0.614571042054453","0.638267162689069"
"Ja","1992","weiblich","4943","0.768936102880753","0.758890928863812","0.778981276897694"
"keinen Tag","1993","maennlich","","","",""
"keinen Tag","1993","weiblich","","","",""
"Ja","1993","maennlich","","","",""
"Ja","1993","weiblich","","","",""
"keinen Tag","1994","maennlich","2316","0.354641800872037","0.342700773092974","0.366582828651101"
"keinen Tag","1994","weiblich","1526","0.198900029773299","0.189266144437854","0.208533915108744"
"Ja","1994","maennlich","3850","0.645358199127963","0.633417171348899","0.657299226907026"
"Ja","1994","weiblich","5069","0.801099970226701","0.791466084891256","0.810733855562146"
"keinen Tag","1995","maennlich","2289","0.345148766378333","0.333331088579063","0.356966444177604"
"keinen Tag","1995","weiblich","1597","0.207467875352425","0.197727119013825","0.217208631691024"
"Ja","1995","maennlich","3928","0.654851233621667","0.643033555822396","0.666668911420937"
"Ja","1995","weiblich","5060","0.792532124647575","0.782791368308976","0.802272880986175"
"keinen Tag","1996","maennlich","2130","0.338968265839834","0.327048324124071","0.350888207555598"
"keinen Tag","1996","weiblich","1525","0.205609995947725","0.195779749922802","0.215440241972649"
"Ja","1996","maennlich","3928","0.661031734160166","0.649111792444402","0.672951675875929"
"Ja","1996","weiblich","4968","0.794390004052275","0.784559758027351","0.804220250077198"
"keinen Tag","1997","maennlich","2130","0.337494528076453","0.325503854380008","0.349485201772898"
"keinen Tag","1997","weiblich","1490","0.200874890641558","0.191015803188098","0.210733978095018"
"Ja","1997","maennlich","3844","0.662505471923547","0.650514798227102","0.674496145619991"
"Ja","1997","weiblich","4854","0.799125109358442","0.789266021904982","0.808984196811902"
"keinen Tag","1998","maennlich","2384","0.342415602331207","0.330968495197148","0.353862709465267"
"keinen Tag","1998","weiblich","1663","0.205305176371476","0.195854291025072","0.214756061717881"
"Ja","1998","maennlich","4217","0.657584397668793","0.646137290534733","0.669031504802853"
"Ja","1998","weiblich","5354","0.794694823628524","0.785243938282119","0.804145708974928"
"keinen Tag","1999","maennlich","2309","0.349573649950981","0.337833472925005","0.361313826976958"
"keinen Tag","1999","weiblich","1753","0.226901754779798","0.21691982136947","0.236883688190125"
"Ja","1999","maennlich","4028","0.650426350049019","0.638686173023042","0.662166527074995"
"Ja","1999","weiblich","5010","0.773098245220202","0.763116311809874","0.78308017863053"
"keinen Tag","2000","maennlich","3881","0.340646632971411","0.331842387064658","0.349450878878164"
