"ple0044_h","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1985","17-29","(noch) kein Abschluss","217","0.611867961684536","0.560886399854176","0.662849523514897"
"Nein","1985","17-29","Hauptschule","775","0.524930552925965","0.49847749744128","0.55138360841065"
"Nein","1985","17-29","Realschule","444","0.561748199826718","0.527170782764396","0.59632561688904"
"Nein","1985","17-29","(Fach-)Abitur","288","0.660911624608407","0.616678267774313","0.705144981442501"
"Nein","1985","17-29","AkademikerIn","80","0.661572946834546","0.576912828143402","0.746233065525691"
"Nein","1985","30-45","(noch) kein Abschluss","209","0.581084556841477","0.529542753273835","0.632626360409119"
"Nein","1985","30-45","Hauptschule","1189","0.589608321494914","0.568204656607968","0.611011986381859"
"Nein","1985","30-45","Realschule","295","0.588566961206027","0.545476935855988","0.631656986556066"
"Nein","1985","30-45","(Fach-)Abitur","108","0.621164572677321","0.551822343582425","0.690506801772216"
"Nein","1985","30-45","AkademikerIn","216","0.580967794774142","0.530210962621165","0.63172462692712"
"Nein","1985","46-65","(noch) kein Abschluss","196","0.564482730917305","0.513755275350172","0.615210186484438"
"Nein","1985","46-65","Hauptschule","1346","0.618111440290948","0.597896560879212","0.638326319702684"
"Nein","1985","46-65","Realschule","216","0.597347216982508","0.546544685621678","0.648149748343337"
"Nein","1985","46-65","(Fach-)Abitur","68","0.60173411926045","0.512648425553224","0.690819812967676"
"Nein","1985","46-65","AkademikerIn","126","0.576951832754258","0.511066930943209","0.642836734565308"
"Nein","1985","66","(noch) kein Abschluss","","","",""
"Nein","1985","66","Hauptschule","","","",""
"Nein","1985","66","Realschule","","","",""
"Nein","1985","66","(Fach-)Abitur","","","",""
"Nein","1985","66","AkademikerIn","","","",""
"Ja","1985","17-29","(noch) kein Abschluss","134","0.388132038315464","0.337150476485103","0.439113600145824"
"Ja","1985","17-29","Hauptschule","594","0.475069447074035","0.44861639158935","0.50152250255872"
"Ja","1985","17-29","Realschule","347","0.438251800173282","0.403674383110959","0.472829217235604"
"Ja","1985","17-29","(Fach-)Abitur","152","0.339088375391593","0.294855018557499","0.383321732225687"
"Ja","1985","17-29","AkademikerIn","40","0.338427053165454","0.253766934474309","0.423087171856598"
"Ja","1985","30-45","(noch) kein Abschluss","143","0.418915443158523","0.367373639590881","0.470457246726165"
"Ja","1985","30-45","Hauptschule","840","0.410391678505086","0.388988013618141","0.431795343392032"
"Ja","1985","30-45","Realschule","206","0.411433038793973","0.368343013443934","0.454523064144012"
"Ja","1985","30-45","(Fach-)Abitur","80","0.378835427322679","0.309493198227784","0.448177656417575"
"Ja","1985","30-45","AkademikerIn","147","0.419032205225858","0.36827537307288","0.469789037378835"
"Ja","1985","46-65","(noch) kein Abschluss","171","0.435517269082695","0.384789813515562","0.486244724649828"
"Ja","1985","46-65","Hauptschule","873","0.381888559709052","0.361673680297316","0.402103439120788"
"Ja","1985","46-65","Realschule","142","0.402652783017492","0.351850251656663","0.453455314378321"
"Ja","1985","46-65","(Fach-)Abitur","48","0.39826588073955","0.309180187032324","0.487351574446776"
"Ja","1985","46-65","AkademikerIn","90","0.423048167245742","0.357163265434693","0.488933069056791"
"Ja","1985","66","(noch) kein Abschluss","","","",""
"Ja","1985","66","Hauptschule","","","",""
"Ja","1985","66","Realschule","","","",""
"Ja","1985","66","(Fach-)Abitur","","","",""
"Ja","1985","66","AkademikerIn","","","",""
"Nein","1986","17-29","(noch) kein Abschluss","56","0.129565343736275","0.0940256612214425","0.165105026251107"
"Nein","1986","17-29","Hauptschule","507","0.379804851291257","0.353472643626005","0.406137058956508"
"Nein","1986","17-29","Realschule","264","0.353808512423767","0.319791829789904","0.38782519505763"
"Nein","1986","17-29","(Fach-)Abitur","147","0.324358951367952","0.28081502735228","0.367902875383624"
"Nein","1986","17-29","AkademikerIn","30","0.339810191194975","0.241407790149808","0.438212592240142"
"Nein","1986","30-45","(noch) kein Abschluss","97","0.316423353156591","0.263970092254682","0.368876614058501"
"Nein","1986","30-45","Hauptschule","751","0.42706625765942","0.404402997930007","0.449729517388833"
"Nein","1986","30-45","Realschule","201","0.414982758400411","0.370904255881706","0.459061260919117"
"Nein","1986","30-45","(Fach-)Abitur","75","0.400896068915196","0.332286129027421","0.469506008802971"
"Nein","1986","30-45","AkademikerIn","184","0.493404791719506","0.442462386134427","0.544347197304586"
"Nein","1986","46-65","(noch) kein Abschluss","89","0.26045133342556","0.214140220776678","0.306762446074441"
"Nein","1986","46-65","Hauptschule","732","0.329333649924459","0.309389112170633","0.349278187678285"
"Nein","1986","46-65","Realschule","138","0.367713289337621","0.3171253408798","0.418301237795441"
"Nein","1986","46-65","(Fach-)Abitur","45","0.451943242106317","0.357643410068288","0.546243074144347"
"Nein","1986","46-65","AkademikerIn","119","0.516020617035755","0.450133741692267","0.581907492379244"
"Nein","1986","66","(noch) kein Abschluss","","","",""
"Nein","1986","66","Hauptschule","","","",""
"Nein","1986","66","Realschule","","","",""
"Nein","1986","66","(Fach-)Abitur","","","",""
"Nein","1986","66","AkademikerIn","","","",""
"Ja","1986","17-29","(noch) kein Abschluss","287","0.870434656263725","0.834894973748893","0.905974338778557"
"Ja","1986","17-29","Hauptschule","798","0.620195148708743","0.593862941043492","0.646527356373995"
"Ja","1986","17-29","Realschule","495","0.646191487576233","0.61217480494237","0.680208170210096"
"Ja","1986","17-29","(Fach-)Abitur","297","0.675641048632048","0.632097124616376","0.71918497264772"
"Ja","1986","17-29","AkademikerIn","59","0.660189808805025","0.561787407759858","0.758592209850192"
"Ja","1986","30-45","(noch) kein Abschluss","205","0.683576646843409","0.631123385941499","0.736029907745318"
"Ja","1986","30-45","Hauptschule","1079","0.57293374234058","0.550270482611167","0.595597002069994"
"Ja","1986","30-45","Realschule","279","0.585017241599589","0.540938739080883","0.629095744118294"
"Ja","1986","30-45","(Fach-)Abitur","121","0.599103931084804","0.530493991197029","0.667713870972579"
"Ja","1986","30-45","AkademikerIn","186","0.506595208280494","0.455652802695414","0.557537613865573"
"Ja","1986","46-65","(noch) kein Abschluss","256","0.73954866657444","0.693237553925559","0.785859779223322"
"Ja","1986","46-65","Hauptschule","1401","0.670666350075541","0.650721812321715","0.690610887829367"
"Ja","1986","46-65","Realschule","211","0.632286710662379","0.581698762204559","0.6828746591202"
"Ja","1986","46-65","(Fach-)Abitur","62","0.548056757893683","0.453756925855653","0.642356589931712"
"Ja","1986","46-65","AkademikerIn","102","0.483979382964245","0.418092507620756","0.549866258307733"
"Ja","1986","66","(noch) kein Abschluss","","","",""
"Ja","1986","66","Hauptschule","","","",""
"Ja","1986","66","Realschule","","","",""
"Ja","1986","66","(Fach-)Abitur","","","",""
"Ja","1986","66","AkademikerIn","","","",""
"Nein","1987","17-29","(noch) kein Abschluss","40","0.117904925872875","0.0825706028434074","0.153239248902344"
"Nein","1987","17-29","Hauptschule","443","0.342928686248256","0.317045067415832","0.368812305080679"
"Nein","1987","17-29","Realschule","254","0.332922118673522","0.299127512840607","0.366716724506437"
"Nein","1987","17-29","(Fach-)Abitur","117","0.284990945490954","0.242175008232247","0.327806882749661"
"Nein","1987","17-29","AkademikerIn","40","0.442511431083983","0.338737806647179","0.546285055520786"
"Nein","1987","30-45","(noch) kein Abschluss","82","0.276983114151563","0.226427928423032","0.327538299880095"
"Nein","1987","30-45","Hauptschule","641","0.388444541070926","0.365417396334462","0.411471685807391"
"Nein","1987","30-45","Realschule","179","0.371367599322673","0.328277756346578","0.414457442298768"
"Nein","1987","30-45","(Fach-)Abitur","63","0.355364058155207","0.288013494533659","0.422714621776756"
"Nein","1987","30-45","AkademikerIn","171","0.476907133684956","0.424803615830812","0.529010651539099"
"Nein","1987","46-65","(noch) kein Abschluss","91","0.271561837644797","0.225032673888055","0.318091001401538"
"Nein","1987","46-65","Hauptschule","631","0.295485411184553","0.275961880189021","0.315008942180085"
"Nein","1987","46-65","Realschule","118","0.34808411914869","0.297224743347155","0.398943494950225"
"Nein","1987","46-65","(Fach-)Abitur","41","0.43428333375079","0.33856049999465","0.53000616750693"
"Nein","1987","46-65","AkademikerIn","112","0.501806602816703","0.435886310643391","0.567726894990014"
"Nein","1987","66","(noch) kein Abschluss","","","",""
"Nein","1987","66","Hauptschule","","","",""
"Nein","1987","66","Realschule","","","",""
"Nein","1987","66","(Fach-)Abitur","","","",""
"Nein","1987","66","AkademikerIn","","","",""
"Ja","1987","17-29","(noch) kein Abschluss","280","0.882095074127125","0.846760751097656","0.917429397156593"
"Ja","1987","17-29","Hauptschule","849","0.657071313751744","0.631187694919321","0.682954932584168"
"Ja","1987","17-29","Realschule","493","0.667077881326478","0.633283275493563","0.700872487159393"
"Ja","1987","17-29","(Fach-)Abitur","310","0.715009054509046","0.672193117250339","0.757824991767753"
"Ja","1987","17-29","AkademikerIn","48","0.557488568916017","0.453714944479214","0.661262193352821"
"Ja","1987","30-45","(noch) kein Abschluss","219","0.723016885848437","0.672461700119905","0.773572071576968"
"Ja","1987","30-45","Hauptschule","1080","0.611555458929074","0.588528314192609","0.634582603665538"
"Ja","1987","30-45","Realschule","304","0.628632400677327","0.585542557701232","0.671722243653422"
"Ja","1987","30-45","(Fach-)Abitur","131","0.644635941844793","0.577285378223244","0.711986505466341"
"Ja","1987","30-45","AkademikerIn","182","0.523092866315044","0.470989348460901","0.575196384169188"
"Ja","1987","46-65","(noch) kein Abschluss","260","0.728438162355204","0.681908998598462","0.774967326111945"
"Ja","1987","46-65","Hauptschule","1467","0.704514588815447","0.684991057819915","0.724038119810979"
"Ja","1987","46-65","Realschule","219","0.65191588085131","0.601056505049775","0.702775256652845"
"Ja","1987","46-65","(Fach-)Abitur","62","0.56571666624921","0.46999383249307","0.66143950000535"
"Ja","1987","46-65","AkademikerIn","109","0.498193397183297","0.432273105009986","0.564113689356609"
"Ja","1987","66","(noch) kein Abschluss","","","",""
"Ja","1987","66","Hauptschule","","","",""
"Ja","1987","66","Realschule","","","",""
"Ja","1987","66","(Fach-)Abitur","","","",""
"Ja","1987","66","AkademikerIn","","","",""
"Nein","1988","17-29","(noch) kein Abschluss","29","","",""
"Nein","1988","17-29","Hauptschule","437","0.364730794384818","0.338035667471414","0.391425921298223"
"Nein","1988","17-29","Realschule","243","0.364994153606238","0.329681463673356","0.400306843539119"
"Nein","1988","17-29","(Fach-)Abitur","103","0.25550175965154","0.212160445451435","0.298843073851646"
"Nein","1988","17-29","AkademikerIn","34","0.473605080935092","0.361350178774183","0.585859983096001"
"Nein","1988","30-45","(noch) kein Abschluss","70","0.273582673396588","0.219602430163325","0.327562916629851"
"Nein","1988","30-45","Hauptschule","621","0.392263211395551","0.368324197512321","0.416202225278782"
"Nein","1988","30-45","Realschule","191","0.409430649175909","0.36492785324345","0.453933445108369"
"Nein","1988","30-45","(Fach-)Abitur","61","0.327022576232013","0.260317266364801","0.393727886099224"
"Nein","1988","30-45","AkademikerIn","167","0.508885412548948","0.455029236735003","0.562741588362893"
