"ple0044_h","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"keinen Tag","1985","(noch) kein Abschluss","Staedtischer Raum","549","0.595346625004588","0.564003003730465","0.626690246278711"
"keinen Tag","1985","(noch) kein Abschluss","Laendlicher Raum","86","0.6523818936869","0.574870377143071","0.72989341023073"
"keinen Tag","1985","Hauptschule","Staedtischer Raum","2876","0.592300483480056","0.578506111825112","0.606094855135"
"keinen Tag","1985","Hauptschule","Laendlicher Raum","976","0.632832797776595","0.608958607993127","0.656706987560062"
"keinen Tag","1985","Realschule","Staedtischer Raum","847","0.611096664953067","0.585623856326604","0.63656947357953"
"keinen Tag","1985","Realschule","Laendlicher Raum","234","0.580873859619213","0.532996377808081","0.628751341430344"
"keinen Tag","1985","(Fach-)Abitur","Staedtischer Raum","420","0.641841030879878","0.60569784784392","0.677984213915835"
"keinen Tag","1985","(Fach-)Abitur","Laendlicher Raum","72","0.632600248574908","0.542915063268506","0.72228543388131"
"keinen Tag","1985","AkademikerIn","Staedtischer Raum","388","0.600864022417234","0.562714002015173","0.639014042819294"
"keinen Tag","1985","AkademikerIn","Laendlicher Raum","72","0.606922430697207","0.520251412057577","0.693593449336838"
"Ja","1985","(noch) kein Abschluss","Staedtischer Raum","393","0.404653374995412","0.373309753721289","0.435996996269535"
"Ja","1985","(noch) kein Abschluss","Laendlicher Raum","59","0.3476181063131","0.27010658976927","0.425129622856929"
"Ja","1985","Hauptschule","Staedtischer Raum","1999","0.407699516519944","0.393905144865","0.421493888174888"
"Ja","1985","Hauptschule","Laendlicher Raum","590","0.367167202223406","0.343293012439938","0.391041392006873"
"Ja","1985","Realschule","Staedtischer Raum","560","0.388903335046933","0.36343052642047","0.414376143673396"
"Ja","1985","Realschule","Laendlicher Raum","174","0.419126140380787","0.371248658569656","0.467003622191919"
"Ja","1985","(Fach-)Abitur","Staedtischer Raum","256","0.358158969120122","0.322015786084165","0.39430215215608"
"Ja","1985","(Fach-)Abitur","Laendlicher Raum","39","0.367399751425092","0.27771456611869","0.457084936731494"
"Ja","1985","AkademikerIn","Staedtischer Raum","245","0.399135977582766","0.360985957180706","0.437285997984827"
"Ja","1985","AkademikerIn","Laendlicher Raum","50","0.393077569302793","0.306406550663162","0.479748587942423"
"keinen Tag","1986","(noch) kein Abschluss","Staedtischer Raum","223","0.193962837729659","0.167941891907617","0.219983783551701"
"keinen Tag","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","1986","Hauptschule","Staedtischer Raum","1537","0.297219363417031","0.283962872432253","0.310475854401809"
"keinen Tag","1986","Hauptschule","Laendlicher Raum","506","0.326562886901769","0.30244180854298","0.350683965260559"
"keinen Tag","1986","Realschule","Staedtischer Raum","471","0.329607610307169","0.304606381247846","0.354608839366493"
"keinen Tag","1986","Realschule","Laendlicher Raum","145","0.344199862933244","0.296925756754589","0.391473969111898"
"keinen Tag","1986","(Fach-)Abitur","Staedtischer Raum","219","0.316901496438272","0.281697607444026","0.352105385432518"
"keinen Tag","1986","(Fach-)Abitur","Laendlicher Raum","50","0.372423335886747","0.286282864906565","0.458563806866928"
"keinen Tag","1986","AkademikerIn","Staedtischer Raum","283","0.441119875491937","0.401685307241127","0.480554443742746"
"keinen Tag","1986","AkademikerIn","Laendlicher Raum","56","0.422028251605298","0.335099925692074","0.508956577518522"
"Ja","1986","(noch) kein Abschluss","Staedtischer Raum","664","0.806037162270341","0.780016216448299","0.832058108092383"
"Ja","1986","(noch) kein Abschluss","Laendlicher Raum","105","0.878159991761758","0.820586969001294","0.935733014522222"
"Ja","1986","Hauptschule","Staedtischer Raum","3029","0.702780636582969","0.689524145598191","0.716037127567747"
"Ja","1986","Hauptschule","Laendlicher Raum","946","0.673437113098231","0.649316034739441","0.69755819145702"
"Ja","1986","Realschule","Staedtischer Raum","887","0.670392389692831","0.645391160633507","0.695393618752154"
"Ja","1986","Realschule","Laendlicher Raum","243","0.655800137066756","0.608526030888102","0.703074243245411"
"Ja","1986","(Fach-)Abitur","Staedtischer Raum","452","0.683098503561728","0.647894614567482","0.718302392555974"
"Ja","1986","(Fach-)Abitur","Laendlicher Raum","71","0.627576664113253","0.541436193133072","0.713717135093435"
"Ja","1986","AkademikerIn","Staedtischer Raum","326","0.558880124508063","0.519445556257254","0.598314692758873"
"Ja","1986","AkademikerIn","Laendlicher Raum","68","0.577971748394702","0.491043422481478","0.664900074307926"
"keinen Tag","1987","(noch) kein Abschluss","Staedtischer Raum","185","0.181893947130456","0.156246028370061","0.207541865890852"
"keinen Tag","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","1987","Hauptschule","Staedtischer Raum","1292","0.254382859623615","0.241624203973667","0.267141515273563"
"keinen Tag","1987","Hauptschule","Laendlicher Raum","443","0.289529379563338","0.265906336264563","0.313152422862112"
"keinen Tag","1987","Realschule","Staedtischer Raum","413","0.287515977502023","0.263237244734399","0.311794710269647"
"keinen Tag","1987","Realschule","Laendlicher Raum","139","0.327575161536031","0.281173965889472","0.37397635718259"
"keinen Tag","1987","(Fach-)Abitur","Staedtischer Raum","182","0.282537749804204","0.248162714539413","0.316912785068996"
"keinen Tag","1987","(Fach-)Abitur","Laendlicher Raum","40","0.337640768858629","0.24886200800163","0.426419529715628"
"keinen Tag","1987","AkademikerIn","Staedtischer Raum","273","0.428142607299915","0.388550322895543","0.467734891704288"
"keinen Tag","1987","AkademikerIn","Laendlicher Raum","55","0.423763326235029","0.335349619264873","0.512177033205185"
"Ja","1987","(noch) kein Abschluss","Staedtischer Raum","684","0.818106052869544","0.792458134109148","0.843753971629939"
"Ja","1987","(noch) kein Abschluss","Laendlicher Raum","95","0.836652209244016","0.771320405475048","0.901984013012983"
"Ja","1987","Hauptschule","Staedtischer Raum","3184","0.745617140376385","0.732858484726437","0.758375796026333"
"Ja","1987","Hauptschule","Laendlicher Raum","973","0.710470620436663","0.686847577137888","0.734093663735437"
"Ja","1987","Realschule","Staedtischer Raum","922","0.712484022497977","0.688205289730353","0.7367627552656"
"Ja","1987","Realschule","Laendlicher Raum","254","0.672424838463969","0.62602364281741","0.718826034110528"
"Ja","1987","(Fach-)Abitur","Staedtischer Raum","477","0.717462250195796","0.683087214931004","0.751837285460587"
"Ja","1987","(Fach-)Abitur","Laendlicher Raum","69","0.662359231141371","0.573580470284372","0.75113799199837"
"Ja","1987","AkademikerIn","Staedtischer Raum","327","0.571857392700085","0.532265108295712","0.611449677104457"
"Ja","1987","AkademikerIn","Laendlicher Raum","65","0.576236673764971","0.487822966794815","0.664650380735127"
"keinen Tag","1988","(noch) kein Abschluss","Staedtischer Raum","148","0.146878434987535","0.122036508749155","0.171720361225916"
"keinen Tag","1988","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","1988","Hauptschule","Staedtischer Raum","1264","0.256996115835562","0.243948875395551","0.270043356275572"
"keinen Tag","1988","Hauptschule","Laendlicher Raum","425","0.30007972593898","0.275412577741","0.32474687413696"
"keinen Tag","1988","Realschule","Staedtischer Raum","416","0.315036504237357","0.289775089514897","0.340297918959818"
"keinen Tag","1988","Realschule","Laendlicher Raum","141","0.356156847142425","0.307164781754343","0.405148912530507"
"keinen Tag","1988","(Fach-)Abitur","Staedtischer Raum","173","0.265076530290958","0.230501097784959","0.299651962796956"
"keinen Tag","1988","(Fach-)Abitur","Laendlicher Raum","37","0.36910510289095","0.273073151055938","0.465137054725962"
"keinen Tag","1988","AkademikerIn","Staedtischer Raum","272","0.461048876317819","0.420269524388507","0.501828228247131"
"keinen Tag","1988","AkademikerIn","Laendlicher Raum","58","0.498006247313878","0.404141742430972","0.591870752196783"
"Ja","1988","(noch) kein Abschluss","Staedtischer Raum","632","0.853121565012465","0.828279638774084","0.877963491250845"
"Ja","1988","(noch) kein Abschluss","Laendlicher Raum","99","0.886335327817903","0.830013082808441","0.942657572827365"
"Ja","1988","Hauptschule","Staedtischer Raum","3045","0.743003884164439","0.729956643724428","0.756051124604449"
"Ja","1988","Hauptschule","Laendlicher Raum","901","0.69992027406102","0.67525312586304","0.724587422259"
"Ja","1988","Realschule","Staedtischer Raum","883","0.684963495762643","0.659702081040182","0.710224910485103"
"Ja","1988","Realschule","Laendlicher Raum","226","0.643843152857575","0.594851087469493","0.692835218245657"
"Ja","1988","(Fach-)Abitur","Staedtischer Raum","453","0.734923469709042","0.700348037203044","0.769498902215041"
"Ja","1988","(Fach-)Abitur","Laendlicher Raum","60","0.63089489710905","0.534862945274038","0.726926848944062"
"Ja","1988","AkademikerIn","Staedtischer Raum","302","0.538951123682181","0.498171771752869","0.579730475611493"
"Ja","1988","AkademikerIn","Laendlicher Raum","51","0.501993752686122","0.408129247803217","0.595858257569028"
"keinen Tag","1989","(noch) kein Abschluss","Staedtischer Raum","133","0.123140329480347","0.0998853686318086","0.146395290328886"
"keinen Tag","1989","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","1989","Hauptschule","Staedtischer Raum","1210","0.25376852605273","0.240581106645278","0.266955945460183"
"keinen Tag","1989","Hauptschule","Laendlicher Raum","362","0.263322667946856","0.239003674534708","0.287641661359003"
"keinen Tag","1989","Realschule","Staedtischer Raum","390","0.289469768937769","0.264673324331921","0.314266213543618"
