"ple0044_h","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1985","17-29","Westdeutschland","1850","0.572898986422489","0.555597333527632","0.590200639317347"
"Nein","1985","17-29","Ostdeutschland","","","",""
"Nein","1985","30-45","Westdeutschland","2039","0.588760694065585","0.572400539606431","0.605120848524738"
"Nein","1985","30-45","Ostdeutschland","","","",""
"Nein","1985","46-65","Westdeutschland","1974","0.611924514820237","0.59530818506305","0.628540844577424"
"Nein","1985","46-65","Ostdeutschland","","","",""
"Nein","1985","66","Westdeutschland","","","",""
"Nein","1985","66","Ostdeutschland","","","",""
"Ja","1985","17-29","Westdeutschland","1290","0.427101013577511","0.409799360682653","0.444402666472368"
"Ja","1985","17-29","Ostdeutschland","","","",""
"Ja","1985","30-45","Westdeutschland","1436","0.411239305934415","0.394879151475261","0.427599460393569"
"Ja","1985","30-45","Ostdeutschland","","","",""
"Ja","1985","46-65","Westdeutschland","1330","0.388075485179763","0.371459155422576","0.40469181493695"
"Ja","1985","46-65","Ostdeutschland","","","",""
"Ja","1985","66","Westdeutschland","","","",""
"Ja","1985","66","Ostdeutschland","","","",""
"Nein","1986","17-29","Westdeutschland","1030","0.339594196039574","0.322664889331328","0.356523502747821"
"Nein","1986","17-29","Ostdeutschland","","","",""
"Nein","1986","30-45","Westdeutschland","1322","0.428826795272235","0.411724774466063","0.445928816078408"
"Nein","1986","30-45","Ostdeutschland","","","",""
"Nein","1986","46-65","Westdeutschland","1135","0.351358486389678","0.334776400684476","0.36794057209488"
"Nein","1986","46-65","Ostdeutschland","","","",""
"Nein","1986","66","Westdeutschland","","","",""
"Nein","1986","66","Ostdeutschland","","","",""
"Ja","1986","17-29","Westdeutschland","1976","0.660405803960426","0.643476497252179","0.677335110668672"
"Ja","1986","17-29","Ostdeutschland","","","",""
"Ja","1986","30-45","Westdeutschland","1895","0.571173204727765","0.554071183921592","0.588275225533937"
"Ja","1986","30-45","Ostdeutschland","","","",""
