"ple0044_h","year","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"keinen Tag","1985","Schleswig-Holstein","205","","",""
"keinen Tag","1985","Hamburg","153","","",""
"keinen Tag","1985","Niedersachsen","686","0.620916895826077","0.592337158459777","0.649496633192378"
"keinen Tag","1985","Bremen","84","0.703936235889618","0.620859698799226","0.78701277298001"
"keinen Tag","1985","Nordrhein-Westfalen","1788","","",""
"keinen Tag","1985","Hessen","639","0.59823333645613","0.569699260159741","0.626767412752518"
"keinen Tag","1985","Rheinland-Pfalz,Saarland","466","0.618240545715138","0.583970626290806","0.652510465139471"
"keinen Tag","1985","Baden-Wuerttemberg","1256","","",""
"keinen Tag","1985","Bayern","1137","","",""
"keinen Tag","1985","Saarland","","","",""
"keinen Tag","1985","Berlin","197","","",""
"keinen Tag","1985","Brandenburg","","","",""
"keinen Tag","1985","Mecklenburg-Vorpommern","","","",""
"keinen Tag","1985","Sachsen","","","",""
"keinen Tag","1985","Sachsen-Anhalt","","","",""
"keinen Tag","1985","Thueringen","","","",""
"Ja","1985","Schleswig-Holstein","148","","",""
"Ja","1985","Hamburg","127","","",""
"Ja","1985","Niedersachsen","421","0.379083104173923","0.350503366807622","0.407662841540223"
"Ja","1985","Bremen","32","0.296063764110382","0.21298722701999","0.379140301200774"
"Ja","1985","Nordrhein-Westfalen","1173","","",""
"Ja","1985","Hessen","495","0.40176666354387","0.373232587247482","0.430300739840259"
"Ja","1985","Rheinland-Pfalz,Saarland","306","0.381759454284862","0.347489534860529","0.416029373709194"
"Ja","1985","Baden-Wuerttemberg","785","0.368268211038574","0.347342748311875","0.389193673765274"
"Ja","1985","Bayern","760","0.395092568607091","0.373093296269943","0.417091840944239"
"Ja","1985","Saarland","","","",""
"Ja","1985","Berlin","168","","",""
"Ja","1985","Brandenburg","","","",""
"Ja","1985","Mecklenburg-Vorpommern","","","",""
"Ja","1985","Sachsen","","","",""
"Ja","1985","Sachsen-Anhalt","","","",""
"Ja","1985","Thueringen","","","",""
"keinen Tag","1986","Schleswig-Holstein","122","","",""
"keinen Tag","1986","Hamburg","63","0.238424964239067","0.184626264096107","0.292223664382027"
"keinen Tag","1986","Niedersachsen","379","0.314948209242622","0.287448754130758","0.342447664354485"
"keinen Tag","1986","Bremen","38","0.308866357460577","0.221729371581013","0.396003343340141"
"keinen Tag","1986","Nordrhein-Westfalen","928","0.303474004161879","0.286517154988674","0.320430853335085"
"keinen Tag","1986","Hessen","346","0.312617084032811","0.284416692685102","0.34081747538052"
"keinen Tag","1986","Rheinland-Pfalz,Saarland","243","","",""
"keinen Tag","1986","Baden-Wuerttemberg","681","0.344301813010868","0.323320308623866","0.36528331739787"
"keinen Tag","1986","Bayern","628","0.3366088799659","0.314347751884422","0.358870008047377"
"keinen Tag","1986","Saarland","","","",""
"keinen Tag","1986","Berlin","133","","",""
"keinen Tag","1986","Brandenburg","","","",""
"keinen Tag","1986","Mecklenburg-Vorpommern","","","",""
"keinen Tag","1986","Sachsen","","","",""
"keinen Tag","1986","Sachsen-Anhalt","","","",""
"keinen Tag","1986","Thueringen","","","",""
"Ja","1986","Schleswig-Holstein","193","","",""
"Ja","1986","Hamburg","178","","",""
"Ja","1986","Niedersachsen","717","0.685051790757378","0.657552335645515","0.712551245869242"
