"ple0044_h","year","bula_h","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1985","Schleswig-Holstein","männlich","106","0.601271723316267","0.527883910629935","0.674659536002598"
"Nein","1985","Schleswig-Holstein","weiblich","99","0.554283296369223","0.482071566718516","0.626495026019931"
"Nein","1985","Hamburg","männlich","76","0.583959209119681","0.502018465029173","0.665899953210188"
"Nein","1985","Hamburg","weiblich","77","0.517722573377242","0.435245061166711","0.600200085587773"
"Nein","1985","Niedersachsen","männlich","337","0.638845397643909","0.598332279254391","0.679358516033427"
"Nein","1985","Niedersachsen","weiblich","349","0.605325591951306","0.565093690166205","0.645557493736407"
"Nein","1985","Bremen","männlich","37","0.716109854478822","0.595851240292315","0.836368468665329"
"Nein","1985","Bremen","weiblich","47","0.694761495614765","0.580133743608556","0.809389247620974"
"Nein","1985","Nordrhein-Westfalen","männlich","866","0.593872711015876","0.568715915279968","0.619029506751784"
"Nein","1985","Nordrhein-Westfalen","weiblich","922","0.609778785299996","0.585068441691474","0.634489128908517"
"Nein","1985","Hessen","männlich","299","0.559138068564548","0.518379258766789","0.599896878362306"
"Nein","1985","Hessen","weiblich","340","0.637340401449431","0.59766294240314","0.677017860495723"
"Nein","1985","Rheinland-Pfalz,Saarland","männlich","227","0.622931869842882","0.574330713936795","0.671533025748968"
"Nein","1985","Rheinland-Pfalz,Saarland","weiblich","239","0.613798576629266","0.565477604708542","0.66211954854999"
"Nein","1985","Baden-Württemberg","männlich","587","0.595166476395706","0.564968868988256","0.625364083803157"
"Nein","1985","Baden-Württemberg","weiblich","669","0.663326181141603","0.634409885740886","0.692242476542319"
"Nein","1985","Bayern","männlich","516","0.57028636349264","0.537998427973186","0.602574299012093"
"Nein","1985","Bayern","weiblich","621","0.634308218178791","0.604367468646464","0.664248967711117"
"Nein","1985","Saarland","männlich","","","",""
"Nein","1985","Saarland","weiblich","","","",""
"Nein","1985","Berlin","männlich","97","0.524047635045714","0.450264197604651","0.597831072486776"
"Nein","1985","Berlin","weiblich","100","0.53220254409909","0.461067338696831","0.603337749501349"
"Nein","1985","Brandenburg","männlich","","","",""
"Nein","1985","Brandenburg","weiblich","","","",""
"Nein","1985","Mecklenburg-Vorpommern","männlich","","","",""
"Nein","1985","Mecklenburg-Vorpommern","weiblich","","","",""
"Nein","1985","Sachsen","männlich","","","",""
"Nein","1985","Sachsen","weiblich","","","",""
"Nein","1985","Sachsen-Anhalt","männlich","","","",""
"Nein","1985","Sachsen-Anhalt","weiblich","","","",""
"Nein","1985","Thüringen","männlich","","","",""
"Nein","1985","Thüringen","weiblich","","","",""
"Ja","1985","Schleswig-Holstein","männlich","65","0.398728276683734","0.325340463997402","0.472116089370065"
"Ja","1985","Schleswig-Holstein","weiblich","83","0.445716703630777","0.373504973980069","0.517928433281484"
"Ja","1985","Hamburg","männlich","63","0.416040790880319","0.334100046789812","0.497981534970827"
"Ja","1985","Hamburg","weiblich","64","0.482277426622758","0.399799914412227","0.564754938833289"
"Ja","1985","Niedersachsen","männlich","203","0.361154602356091","0.320641483966573","0.401667720745609"
"Ja","1985","Niedersachsen","weiblich","218","0.394674408048694","0.354442506263593","0.434906309833795"
"Ja","1985","Bremen","männlich","17","","",""
"Ja","1985","Bremen","weiblich","15","","",""
"Ja","1985","Nordrhein-Westfalen","männlich","598","0.406127288984124","0.380970493248215","0.431284084720032"
"Ja","1985","Nordrhein-Westfalen","weiblich","575","0.390221214700004","0.365510871091482","0.414931558308526"
"Ja","1985","Hessen","männlich","271","0.440861931435452","0.400103121637693","0.481620741233211"
"Ja","1985","Hessen","weiblich","224","0.362659598550569","0.322982139504277","0.40233705759686"
"Ja","1985","Rheinland-Pfalz,Saarland","männlich","155","0.377068130157118","0.328466974251032","0.425669286063205"
"Ja","1985","Rheinland-Pfalz,Saarland","weiblich","151","0.386201423370734","0.33788045145001","0.434522395291458"
"Ja","1985","Baden-Württemberg","männlich","428","0.404833523604294","0.374635916196843","0.435031131011744"
"Ja","1985","Baden-Württemberg","weiblich","357","0.336673818858397","0.307757523457681","0.365590114259114"
"Ja","1985","Bayern","männlich","387","0.42971363650736","0.397425700987907","0.462001572026814"
"Ja","1985","Bayern","weiblich","373","0.365691781821209","0.335751032288883","0.395632531353536"
"Ja","1985","Saarland","männlich","","","",""
"Ja","1985","Saarland","weiblich","","","",""
"Ja","1985","Berlin","männlich","79","0.475952364954286","0.402168927513224","0.549735802395349"
"Ja","1985","Berlin","weiblich","89","0.46779745590091","0.396662250498651","0.538932661303169"
"Ja","1985","Brandenburg","männlich","","","",""
"Ja","1985","Brandenburg","weiblich","","","",""
"Ja","1985","Mecklenburg-Vorpommern","männlich","","","",""
"Ja","1985","Mecklenburg-Vorpommern","weiblich","","","",""
"Ja","1985","Sachsen","männlich","","","",""
"Ja","1985","Sachsen","weiblich","","","",""
"Ja","1985","Sachsen-Anhalt","männlich","","","",""
"Ja","1985","Sachsen-Anhalt","weiblich","","","",""
"Ja","1985","Thüringen","männlich","","","",""
"Ja","1985","Thüringen","weiblich","","","",""
"Nein","1986","Schleswig-Holstein","männlich","78","0.461677861294403","0.382684058636851","0.540671663951955"
"Nein","1986","Schleswig-Holstein","weiblich","44","0.231549935313354","0.166593715695633","0.296506154931075"
"Nein","1986","Hamburg","männlich","42","0.365481312156789","0.278958742979246","0.452003881334331"
"Nein","1986","Hamburg","weiblich","21","","",""
"Nein","1986","Niedersachsen","männlich","231","0.416519159890161","0.374784537554081","0.458253782226242"
