"ple0044_h","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"keinen Tag","1985","Staedtischer Raum","maennlich","2461","","",""
"keinen Tag","1985","Staedtischer Raum","weiblich","2697","","",""
"keinen Tag","1985","Laendlicher Raum","maennlich","687","0.606499806853533","0.578374699979569","0.634624913727497"
"keinen Tag","1985","Laendlicher Raum","weiblich","766","0.63852041507141","0.611484132821078","0.665556697321742"
"Ja","1985","Staedtischer Raum","maennlich","1794","","",""
"Ja","1985","Staedtischer Raum","weiblich","1702","","",""
"Ja","1985","Laendlicher Raum","maennlich","472","0.393500193146467","0.365375086272503","0.421625300020431"
"Ja","1985","Laendlicher Raum","weiblich","447","0.36147958492859","0.334443302678258","0.388515867178922"
"keinen Tag","1986","Staedtischer Raum","maennlich","1678","","",""
"keinen Tag","1986","Staedtischer Raum","weiblich","1100","","",""
"keinen Tag","1986","Laendlicher Raum","maennlich","463","0.4182736014855","0.388909070812404","0.447638132158595"
"keinen Tag","1986","Laendlicher Raum","weiblich","320","0.257200638779473","0.231883353816437","0.282517923742508"
"Ja","1986","Staedtischer Raum","maennlich","2387","","",""
"Ja","1986","Staedtischer Raum","weiblich","3040","0.762417477597117","0.749453102538667","0.775381852655567"
"Ja","1986","Laendlicher Raum","maennlich","621","0.5817263985145","0.552361867841405","0.611090929187596"
"Ja","1986","Laendlicher Raum","weiblich","825","0.742799361220527","0.717482076257492","0.768116646183562"
"keinen Tag","1987","Staedtischer Raum","maennlich","1517","","",""
"keinen Tag","1987","Staedtischer Raum","weiblich","872","0.189494901928515","0.177451913763466","0.201537890093563"
"keinen Tag","1987","Laendlicher Raum","maennlich","429","0.391280597679915","0.361775336596153","0.420785858763678"
"keinen Tag","1987","Laendlicher Raum","weiblich","283","","",""
"Ja","1987","Staedtischer Raum","maennlich","2481","","",""
"Ja","1987","Staedtischer Raum","weiblich","3196","0.810505098071486","0.798462109906437","0.822548086236534"
"Ja","1987","Laendlicher Raum","maennlich","622","0.608719402320085","0.579214141236322","0.638224663403847"
"Ja","1987","Laendlicher Raum","weiblich","848","0.771360816140711","0.746885917270345","0.795835715011077"
"keinen Tag","1988","Staedtischer Raum","maennlich","1438","","",""
"keinen Tag","1988","Staedtischer Raum","weiblich","890","0.206487240117079","0.193794658855751","0.219179821378406"
"keinen Tag","1988","Laendlicher Raum","maennlich","426","0.408885465793533","0.378429827361564","0.439341104225502"
"keinen Tag","1988","Laendlicher Raum","weiblich","262","","",""
"Ja","1988","Staedtischer Raum","maennlich","2392","","",""
"Ja","1988","Staedtischer Raum","weiblich","3017","0.793512759882921","0.780820178621594","0.806205341144249"
"Ja","1988","Laendlicher Raum","maennlich","575","0.591114534206467","0.560658895774498","0.621570172638436"
"Ja","1988","Laendlicher Raum","weiblich","780","0.763293123528101","0.737484470215964","0.789101776840238"
"keinen Tag","1989","Staedtischer Raum","maennlich","1352","","",""
"keinen Tag","1989","Staedtischer Raum","weiblich","882","0.212416324741876","0.199526495730128","0.225306153753625"
"keinen Tag","1989","Laendlicher Raum","maennlich","372","0.363934648313472","0.333687980946822","0.394181315680121"
"keinen Tag","1989","Laendlicher Raum","weiblich","229","","",""
"Ja","1989","Staedtischer Raum","maennlich","2395","","",""
"Ja","1989","Staedtischer Raum","weiblich","2986","","",""
"Ja","1989","Laendlicher Raum","maennlich","600","0.636065351686528","0.605818684319879","0.666312019053178"
"Ja","1989","Laendlicher Raum","weiblich","763","0.788315309345635","0.762894641238823","0.813735977452446"
"keinen Tag","1990","Staedtischer Raum","maennlich","","","",""
"keinen Tag","1990","Staedtischer Raum","weiblich","","","",""
"keinen Tag","1990","Laendlicher Raum","maennlich","","","",""
"keinen Tag","1990","Laendlicher Raum","weiblich","","","",""
"Ja","1990","Staedtischer Raum","maennlich","","","",""
"Ja","1990","Staedtischer Raum","weiblich","","","",""
"Ja","1990","Laendlicher Raum","maennlich","","","",""
"Ja","1990","Laendlicher Raum","weiblich","","","",""
"keinen Tag","1991","Staedtischer Raum","maennlich","1258","","",""
"keinen Tag","1991","Staedtischer Raum","weiblich","857","0.181597389804955","0.170271884241779","0.19292289536813"
"keinen Tag","1991","Laendlicher Raum","maennlich","339","0.196127974884625","0.179861688118609","0.212394261650641"
"keinen Tag","1991","Laendlicher Raum","weiblich","242","","",""
"Ja","1991","Staedtischer Raum","maennlich","3006","0.693210652596479","0.67936886295693","0.707052442236029"
"Ja","1991","Staedtischer Raum","weiblich","3594","0.818402610195046","0.80707710463187","0.829728115758221"
"Ja","1991","Laendlicher Raum","maennlich","1950","","",""
"Ja","1991","Laendlicher Raum","weiblich","2195","","",""
"keinen Tag","1992","Staedtischer Raum","maennlich","1506","","",""
"keinen Tag","1992","Staedtischer Raum","weiblich","1059","","",""
"keinen Tag","1992","Laendlicher Raum","maennlich","983","0.406882239222227","0.386279422223276","0.427485056221179"
"keinen Tag","1992","Laendlicher Raum","weiblich","741","0.273168472873953","0.255087454499175","0.291249491248732"
"Ja","1992","Staedtischer Raum","maennlich","2659","","",""
"Ja","1992","Staedtischer Raum","weiblich","3310","0.789225955402168","0.777132057076793","0.801319853727543"
