"ple0044_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"keinen Tag","1985","Schleswig-Holstein","Westdeutschland","205","0.576441758828257","0.524895752379923","0.62798776527659"
"keinen Tag","1985","Schleswig-Holstein","Ostdeutschland","","","",""
"keinen Tag","1985","Hamburg","Westdeutschland","153","0.55045065637648","0.492184421356157","0.608716891396803"
"keinen Tag","1985","Hamburg","Ostdeutschland","","","",""
"keinen Tag","1985","Niedersachsen","Westdeutschland","686","0.620916895826077","0.592337158459777","0.649496633192378"
"keinen Tag","1985","Niedersachsen","Ostdeutschland","","","",""
"keinen Tag","1985","Bremen","Westdeutschland","84","0.703936235889618","0.620859698799226","0.78701277298001"
"keinen Tag","1985","Bremen","Ostdeutschland","","","",""
"keinen Tag","1985","Nordrhein-Westfalen","Westdeutschland","1788","0.602283793496753","0.584655262642965","0.61991232435054"
"keinen Tag","1985","Nordrhein-Westfalen","Ostdeutschland","","","",""
"keinen Tag","1985","Hessen","Westdeutschland","639","0.59823333645613","0.569699260159741","0.626767412752518"
"keinen Tag","1985","Hessen","Ostdeutschland","","","",""
"keinen Tag","1985","Rheinland-Pfalz,Saarland","Westdeutschland","466","0.618240545715138","0.583970626290806","0.652510465139471"
"keinen Tag","1985","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"keinen Tag","1985","Baden-Wuerttemberg","Westdeutschland","1256","0.631731788961425","0.610806326234726","0.652657251688125"
"keinen Tag","1985","Baden-Wuerttemberg","Ostdeutschland","","","",""
"keinen Tag","1985","Bayern","Westdeutschland","1137","0.604907431392909","0.582908159055761","0.626906703730056"
"keinen Tag","1985","Bayern","Ostdeutschland","","","",""
"keinen Tag","1985","Berlin","Westdeutschland","197","0.528497303273918","0.477286081507586","0.579708525040249"
"keinen Tag","1985","Berlin","Ostdeutschland","","","",""
"keinen Tag","1985","Brandenburg","Westdeutschland","","","",""
"keinen Tag","1985","Brandenburg","Ostdeutschland","","","",""
"keinen Tag","1985","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"keinen Tag","1985","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"keinen Tag","1985","Sachsen","Westdeutschland","","","",""
"keinen Tag","1985","Sachsen","Ostdeutschland","","","",""
"keinen Tag","1985","Sachsen-Anhalt","Westdeutschland","","","",""
"keinen Tag","1985","Sachsen-Anhalt","Ostdeutschland","","","",""
"keinen Tag","1985","Thueringen","Westdeutschland","","","",""
"keinen Tag","1985","Thueringen","Ostdeutschland","","","",""
"Ja","1985","Schleswig-Holstein","Westdeutschland","148","0.423558241171743","0.37201223472341","0.475104247620077"
"Ja","1985","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja","1985","Hamburg","Westdeutschland","127","0.44954934362352","0.391283108603197","0.507815578643843"
"Ja","1985","Hamburg","Ostdeutschland","","","",""
"Ja","1985","Niedersachsen","Westdeutschland","421","0.379083104173923","0.350503366807622","0.407662841540223"
"Ja","1985","Niedersachsen","Ostdeutschland","","","",""
"Ja","1985","Bremen","Westdeutschland","32","0.296063764110382","0.21298722701999","0.379140301200774"
"Ja","1985","Bremen","Ostdeutschland","","","",""
"Ja","1985","Nordrhein-Westfalen","Westdeutschland","1173","0.397716206503247","0.38008767564946","0.415344737357035"
