"ple0044_h","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1985","17-29","Städtischer Raum","1490","0.582475077302392","0.563089559544107","0.601860595060677"
"Nein","1985","17-29","Ländlicher Raum","360","0.543123226430396","0.504945686086138","0.581300766774654"
"Nein","1985","30-45","Städtischer Raum","1594","0.580408191213302","0.561960543850194","0.598855838576409"
"Nein","1985","30-45","Ländlicher Raum","445","0.615653895792891","0.580269699277344","0.651038092308437"
"Nein","1985","46-65","Städtischer Raum","1531","0.600138167683827","0.581322995331382","0.618953340036273"
"Nein","1985","46-65","Ländlicher Raum","443","0.648425497992154","0.613055274964826","0.683795721019482"
"Nein","1985","66","Städtischer Raum","","","",""
"Nein","1985","66","Ländlicher Raum","","","",""
"Ja","1985","17-29","Städtischer Raum","996","0.417524922697608","0.398139404939323","0.436910440455893"
"Ja","1985","17-29","Ländlicher Raum","294","0.456876773569604","0.418699233225346","0.495054313913862"
"Ja","1985","30-45","Städtischer Raum","1155","0.419591808786698","0.401144161423591","0.438039456149806"
"Ja","1985","30-45","Ländlicher Raum","281","0.384346104207109","0.348961907691563","0.419730300722656"
"Ja","1985","46-65","Städtischer Raum","1073","0.399861832316173","0.381046659963727","0.418677004668618"
"Ja","1985","46-65","Ländlicher Raum","257","0.351574502007846","0.316204278980518","0.386944725035174"
"Ja","1985","66","Städtischer Raum","","","",""
"Ja","1985","66","Ländlicher Raum","","","",""
"Nein","1986","17-29","Städtischer Raum","805","0.330863458723053","0.311916158486931","0.349810758959175"
"Nein","1986","17-29","Ländlicher Raum","225","0.365722701218252","0.328320779385614","0.403124623050891"
"Nein","1986","30-45","Städtischer Raum","1030","0.418004293732835","0.398882971160036","0.437125616305634"
"Nein","1986","30-45","Ländlicher Raum","292","0.464598374079514","0.426577154181837","0.50261959397719"
"Nein","1986","46-65","Städtischer Raum","881","0.341449598613919","0.322935369523048","0.35996382770479"
"Nein","1986","46-65","Ländlicher Raum","254","0.383113471745369","0.346136579624257","0.420090363866481"
"Nein","1986","66","Städtischer Raum","","","",""
