"ple0044_h","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"keinen Tag","1985","17-34","2450","0.571967893170623","0.556946568443726","0.586989217897521"
"keinen Tag","1985","35-65","3413","0.606824051812925","0.594199927235083","0.619448176390768"
"keinen Tag","1985","66 +","748","0.672501760548966","0.644856195035438","0.700147326062495"
"Ja","1985","17-34","1718","0.428032106829376","0.413010782102479","0.443053431556274"
"Ja","1985","35-65","2338","0.393175948187075","0.380551823609232","0.405800072764917"
"Ja","1985","66 +","359","0.327498239451034","0.299852673937505","0.355143804964562"
"keinen Tag","1986","17-34","1440","0.359159270578885","0.344325152956513","0.373993388201258"
"keinen Tag","1986","35-65","2047","0.380360612933938","0.36739893350019","0.393322292367686"
"keinen Tag","1986","66 +","74","0.0670896356162093","0.0517889622254062","0.0823903090070123"
"Ja","1986","17-34","2578","0.640840729421115","0.626006611798743","0.655674847043488"
"Ja","1986","35-65","3342","0.619639387066062","0.606677707632314","0.63260106649981"
"Ja","1986","66 +","953","0.932910364383791","0.917609690992988","0.948211037774594"
"keinen Tag","1987","17-34","1259","0.328614874755573","0.31397426296658","0.343255486544566"
"keinen Tag","1987","35-65","1815","0.351345047998067","0.33840569510496","0.364284400891175"
"keinen Tag","1987","66 +","27","","",""
"Ja","1987","17-34","2695","0.671385125244427","0.656744513455434","0.68602573703342"
"Ja","1987","35-65","3414","0.648654952001933","0.635715599108825","0.66159430489504"
"Ja","1987","66 +","1038","0.979384260980259","0.970850326558521","0.987918195401997"
"keinen Tag","1988","17-34","1249","0.34861054971532","0.333403223152177","0.363817876278463"
"keinen Tag","1988","35-65","1737","0.356134334204914","0.342829408272262","0.369439260137566"
"keinen Tag","1988","66 +","30","0.0254024139820406","0.0158026975888678","0.0350021303752133"
"Ja","1988","17-34","2523","0.65138945028468","0.636182123721537","0.666596776847823"
"Ja","1988","35-65","3239","0.643865665795086","0.630560739862434","0.657170591727738"
"Ja","1988","66 +","1002","0.974597586017959","0.964997869624787","0.984197302411132"
"keinen Tag","1989","17-34","1160","0.31281602497804","0.297948945422002","0.327683104534077"
"keinen Tag","1989","35-65","1651","0.351967534992739","0.338507238383985","0.365427831601493"
"keinen Tag","1989","66 +","24","","",""
"Ja","1989","17-34","2576","0.68718397502196","0.672316895465923","0.702051054577998"
"Ja","1989","35-65","3185","0.648032465007261","0.634572168398507","0.661492761616014"
"Ja","1989","66 +","983","0.979920377311007","0.97125661509754","0.988584139524475"
"keinen Tag","1990","17-34","","","",""
"keinen Tag","1990","35-65","","","",""
"keinen Tag","1990","66 +","","","",""
"Ja","1990","17-34","","","",""
"Ja","1990","35-65","","","",""
"Ja","1990","66 +","","","",""
"keinen Tag","1991","17-34","1072","0.243658240923571","0.231917779242987","0.255398702604154"
"keinen Tag","1991","35-65","1601","0.266053495588485","0.255665275680206","0.276441715496765"
"keinen Tag","1991","66 +","23","","",""
"Ja","1991","17-34","4064","0.756341759076429","0.744601297395846","0.768082220757012"
"Ja","1991","35-65","5350","0.733946504411515","0.723558284503235","0.744334724319794"
"Ja","1991","66 +","1421","0.985406556556896","0.979221394146147","0.991591718967645"
"keinen Tag","1992","17-34","1666","0.341362205883111","0.328107405367714","0.354617006398507"
"keinen Tag","1992","35-65","2660","0.376110715769104","0.364601502361446","0.387619929176762"
"keinen Tag","1992","66 +","18","","",""
"Ja","1992","17-34","3250","0.65863779411689","0.645382993601493","0.671892594632286"
"Ja","1992","35-65","4145","0.623889284230896","0.612380070823238","0.635398497638554"
"Ja","1992","66 +","1429","0.989100371604626","0.983750543181291","0.994450200027962"
"keinen Tag","1993","17-34","","","",""
"keinen Tag","1993","35-65","","","",""
"keinen Tag","1993","66 +","","","",""
"Ja","1993","17-34","","","",""
"Ja","1993","35-65","","","",""
"Ja","1993","66 +","","","",""
"keinen Tag","1994","17-34","1496","0.305618634213917","0.292522198121701","0.318715070306133"
"keinen Tag","1994","35-65","2324","0.348847209595224","0.337279428259063","0.360414990931384"
"keinen Tag","1994","66 +","22","","",""
"Ja","1994","17-34","3257","0.694381365786083","0.681284929693867","0.707477801878299"
"Ja","1994","35-65","4197","0.651152790404776","0.639585009068616","0.662720571740937"
"Ja","1994","66 +","1465","0.984474344309187","0.978190581500586","0.990758107117788"
"keinen Tag","1995","17-34","1511","0.317906995232076","0.30469357574801","0.331120414716142"
"keinen Tag","1995","35-65","2346","0.343010152784423","0.331550477594529","0.354469827974317"
"keinen Tag","1995","66 +","29","","",""
"Ja","1995","17-34","3260","0.682093004767924","0.668879585283858","0.69530642425199"
"Ja","1995","35-65","4246","0.656989847215577","0.645530172025683","0.668449522405471"
"Ja","1995","66 +","1482","0.981160304430747","0.974305062537279","0.988015546324215"
"keinen Tag","1996","17-34","1380","0.304396768518775","0.291008739053502","0.317784797984048"
"keinen Tag","1996","35-65","2241","0.344676321427593","0.333101126166359","0.356251516688826"
"keinen Tag","1996","66 +","34","0.0202756463212928","0.0132295193868678","0.0273217732557178"
"Ja","1996","17-34","3158","0.695603231481225","0.682215202015952","0.708991260946498"
"Ja","1996","35-65","4235","0.655323678572407","0.643748483311174","0.666898873833641"
"Ja","1996","66 +","1503","0.979724353678707","0.972678226744282","0.986770480613132"
"keinen Tag","1997","17-34","1348","0.314810307518581","0.301059069896669","0.328561545140493"
"keinen Tag","1997","35-65","2243","0.336897752920802","0.325288991906557","0.348506513935046"
"keinen Tag","1997","66 +","29","","",""
"Ja","1997","17-34","3034","0.685189692481419","0.671438454859507","0.698940930103331"
"Ja","1997","35-65","4125","0.663102247079198","0.651493486064953","0.674711008093443"
"Ja","1997","66 +","1539","0.985120151784049","0.979127501777413","0.991112801790685"
"keinen Tag","1998","17-34","1397","0.298952402453809","0.285741540929772","0.312163263977847"
"keinen Tag","1998","35-65","2618","0.354871836023059","0.343795200628402","0.365948471417716"
"keinen Tag","1998","66 +","32","0.0137529828974404","0.00842718335916482","0.019078782435716"
"Ja","1998","17-34","3216","0.701047597546191","0.687836736022153","0.714258459070228"
"Ja","1998","35-65","4550","0.645128163976941","0.634051528582284","0.656204799371598"
"Ja","1998","66 +","1805","0.98624701710256","0.980921217564284","0.991572816640835"
"keinen Tag","1999","17-34","1483","0.344915671115593","0.330830435023872","0.359000907207315"
"keinen Tag","1999","35-65","2536","0.355665476890323","0.344421331565543","0.366909622215104"
"keinen Tag","1999","66 +","43","0.0235446629716391","0.0164649187157292","0.0306244072275491"
"Ja","1999","17-34","2892","0.655084328884407","0.640999092792685","0.669169564976128"
"Ja","1999","35-65","4427","0.644334523109677","0.633090377784896","0.655578668434457"
"Ja","1999","66 +","1719","0.976455337028361","0.969375592772451","0.983535081284271"
"keinen Tag","2000","17-34","2190","0.32870348468936","0.317514748486185","0.339892220892534"
"keinen Tag","2000","35-65","4638","0.360044526784719","0.351766625429167","0.368322428140271"
"keinen Tag","2000","66 +","86","0.0250446134559592","0.0199266701746658","0.0301625567372526"
"Ja","2000","17-34","4581","0.67129651531064","0.660107779107466","0.682485251513815"
"Ja","2000","35-65","8279","0.639955473215281","0.631677571859729","0.648233374570833"
"Ja","2000","66 +","3495","0.974955386544041","0.969837443262747","0.980073329825334"
"keinen Tag","2001","17-34","1951","0.337070542629476","0.325117535245002","0.34902355001395"
"keinen Tag","2001","35-65","4322","0.364465690761368","0.355806537105166","0.37312484441757"
"keinen Tag","2001","66 +","87","0.0281508992963239","0.0225755630993167","0.0337262354933311"
"Ja","2001","17-34","4057","0.662929457370524","0.65097644998605","0.674882464754998"
"Ja","2001","35-65","7545","0.635534309238632","0.62687515558243","0.644193462894834"
"Ja","2001","66 +","3294","0.971849100703676","0.966273764506669","0.977424436900683"
"keinen Tag","2002","17-34","1878","0.322998894061711","0.311058685062579","0.334939103060844"
"keinen Tag","2002","35-65","4909","0.367490522077792","0.359140301796559","0.375840742359025"
"keinen Tag","2002","66 +","125","0.0270947311061114","0.0217651138158111","0.0324243483964116"
"Ja","2002","17-34","4014","0.677001105938289","0.665060896939156","0.688941314937421"
"Ja","2002","35-65","7897","0.632509477922208","0.624159257640975","0.640859698203441"
"Ja","2002","66 +","3440","0.972905268893889","0.967575651603588","0.978234886184189"
"keinen Tag","2003","17-34","1753","0.314960106391003","0.302823553874942","0.327096658907063"
"keinen Tag","2003","35-65","4660","0.368564440949839","0.36001917861085","0.377109703288829"
"keinen Tag","2003","66 +","110","0.0260586232780296","0.0208682816797026","0.0312489648763565"
"Ja","2003","17-34","3874","0.685039893608998","0.672903341092937","0.697176446125058"
"Ja","2003","35-65","7583","0.631435559050161","0.622890296711171","0.63998082138915"
"Ja","2003","66 +","3509","0.97394137672197","0.968751035123643","0.979131718320297"
"keinen Tag","2004","17-34","1701","0.325056305468564","0.312593343607937","0.33751926732919"
"keinen Tag","2004","35-65","4577","0.366713317983068","0.358034829784016","0.375391806182119"
"keinen Tag","2004","66 +","140","0.0313748032420677","0.0257832904764283","0.0369663160077071"
"Ja","2004","17-34","3725","0.674943694531436","0.66248073267081","0.687406656392063"
"Ja","2004","35-65","7268","0.633286682016932","0.624608193817881","0.641965170215984"
"Ja","2004","66 +","3594","0.968625196757932","0.963033683992293","0.974216709523572"
"keinen Tag","2005","17-34","1578","0.320191828140305","0.307448438641604","0.332935217639006"
"keinen Tag","2005","35-65","4400","0.373221734881403","0.364298183329102","0.382145286433704"
"keinen Tag","2005","66 +","124","0.0290810347566111","0.023700782177087","0.0344612873361351"
"Ja","2005","17-34","3571","0.679808171859695","0.667064782360994","0.692551561358396"
"Ja","2005","35-65","6885","0.626778265118597","0.617854713566296","0.635701816670898"
"Ja","2005","66 +","3623","0.970918965243389","0.965538712663865","0.976299217822913"
"keinen Tag","2006","17-34","1549","0.328347220483639","0.315243711863243","0.341450729104036"
"keinen Tag","2006","35-65","4776","0.381086245316046","0.372428286130409","0.389744204501683"
"keinen Tag","2006","66 +","178","0.0328130894359424","0.0275528609243526","0.0380733179475321"
"Ja","2006","17-34","3385","0.671652779516361","0.658549270895964","0.684756288136757"
"Ja","2006","35-65","7311","0.618913754683954","0.610255795498317","0.627571713869591"
"Ja","2006","66 +","4228","0.967186910564058","0.961926682052468","0.972447139075647"
"keinen Tag","2007","17-34","1423","0.334580683166729","0.32083276516709","0.348328601166368"
"keinen Tag","2007","35-65","4384","0.37664430084157","0.367635518353718","0.385653083329421"
"keinen Tag","2007","66 +","164","0.0364254216814042","0.0308342436274007","0.0420165997354077"
"Ja","2007","17-34","3102","0.665419316833271","0.651671398833632","0.67916723483291"
"Ja","2007","35-65","6729","0.62335569915843","0.614346916670579","0.632364481646282"
"Ja","2007","66 +","4149","0.963574578318596","0.957983400264592","0.969165756372599"
"keinen Tag","2008","17-34","1299","0.315307790280903","0.301325516464902","0.329290064096903"
"keinen Tag","2008","35-65","3983","0.37233194129988","0.363041853299057","0.381622029300703"
"keinen Tag","2008","66 +","177","0.037680426625257","0.0319775809519381","0.0433832722985758"
