"ple0044_h","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"keinen Tag","1985","Staedtischer Raum","Westdeutschland","5158","0.601110887187976","0.590794134162865","0.611427640213087"
"keinen Tag","1985","Staedtischer Raum","Ostdeutschland","","","",""
"keinen Tag","1985","Laendlicher Raum","Westdeutschland","1453","","",""
"keinen Tag","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1985","Staedtischer Raum","Westdeutschland","3496","0.398889112812024","0.388572359786913","0.409205865837135"
"Ja","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1985","Laendlicher Raum","Westdeutschland","919","0.376564342202011","0.357065619436641","0.396063064967382"
"Ja","1985","Laendlicher Raum","Ostdeutschland","","","",""
"keinen Tag","1986","Staedtischer Raum","Westdeutschland","2778","","",""
"keinen Tag","1986","Staedtischer Raum","Ostdeutschland","","","",""
"keinen Tag","1986","Laendlicher Raum","Westdeutschland","783","0.332512204206356","0.31295447104444","0.352069937368273"
"keinen Tag","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1986","Staedtischer Raum","Westdeutschland","5427","0.68662930999793","0.676592420233141","0.696666199762719"
"Ja","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1986","Laendlicher Raum","Westdeutschland","1446","","",""
"Ja","1986","Laendlicher Raum","Ostdeutschland","","","",""
"keinen Tag","1987","Staedtischer Raum","Westdeutschland","2389","","",""
"keinen Tag","1987","Staedtischer Raum","Ostdeutschland","","","",""
"keinen Tag","1987","Laendlicher Raum","Westdeutschland","712","0.304468390230919","0.285159813627505","0.323776966834333"
"keinen Tag","1987","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1987","Staedtischer Raum","Westdeutschland","5677","0.724051163912627","0.714296374606604","0.73380595321865"
"Ja","1987","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1987","Laendlicher Raum","Westdeutschland","1470","","",""
"Ja","1987","Laendlicher Raum","Ostdeutschland","","","",""
"keinen Tag","1988","Staedtischer Raum","Westdeutschland","2328","","",""
"keinen Tag","1988","Staedtischer Raum","Ostdeutschland","","","",""
"keinen Tag","1988","Laendlicher Raum","Westdeutschland","688","0.319076838909944","0.298864777855235","0.339288899964653"
"keinen Tag","1988","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1988","Staedtischer Raum","Westdeutschland","5409","0.715911338028288","0.705862441752527","0.725960234304049"
"Ja","1988","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1988","Laendlicher Raum","Westdeutschland","1355","","",""
"Ja","1988","Laendlicher Raum","Ostdeutschland","","","",""
"keinen Tag","1989","Staedtischer Raum","Westdeutschland","2234","","",""
"keinen Tag","1989","Staedtischer Raum","Ostdeutschland","","","",""
"keinen Tag","1989","Laendlicher Raum","Westdeutschland","601","0.285375249903684","0.265403113275522","0.305347386531845"
"keinen Tag","1989","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1989","Staedtischer Raum","Westdeutschland","5381","0.723299050287239","0.713251101578159","0.733346998996319"
"Ja","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1989","Laendlicher Raum","Westdeutschland","1363","","",""
"Ja","1989","Laendlicher Raum","Ostdeutschland","","","",""
"keinen Tag","1990","Staedtischer Raum","Westdeutschland","","","",""
"keinen Tag","1990","Staedtischer Raum","Ostdeutschland","","","",""
"keinen Tag","1990","Laendlicher Raum","Westdeutschland","","","",""
"keinen Tag","1990","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1990","Staedtischer Raum","Westdeutschland","","","",""
"Ja","1990","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1990","Laendlicher Raum","Westdeutschland","","","",""
"Ja","1990","Laendlicher Raum","Ostdeutschland","","","",""
"keinen Tag","1991","Staedtischer Raum","Westdeutschland","2115","","",""
"keinen Tag","1991","Staedtischer Raum","Ostdeutschland","","","",""
"keinen Tag","1991","Laendlicher Raum","Westdeutschland","581","0.272897915850155","0.253375619666878","0.292420212033432"
"keinen Tag","1991","Laendlicher Raum","Ostdeutschland","","","",""
