"ple0044_h","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"keinen Tag","1985","(noch) kein Abschluss","maennlich","280","0.617127729186848","0.57452106077064","0.659734397603056"
"keinen Tag","1985","(noch) kein Abschluss","weiblich","355","0.596284032587689","0.556592890684128","0.635975174491249"
"keinen Tag","1985","Hauptschule","maennlich","1758","0.569458335002494","0.552106185180332","0.586810484824656"
"keinen Tag","1985","Hauptschule","weiblich","2094","0.631535487044577","0.61510940127231","0.647961572816844"
"keinen Tag","1985","Realschule","maennlich","465","0.620178138298458","0.585535526782238","0.654820749814678"
"keinen Tag","1985","Realschule","weiblich","616","0.593351198441041","0.563794490557358","0.622907906324724"
"keinen Tag","1985","(Fach-)Abitur","maennlich","295","0.660863957691141","0.617741788144059","0.703986127238223"
"keinen Tag","1985","(Fach-)Abitur","weiblich","197","0.612046691671136","0.558987870951761","0.665105512390511"
"keinen Tag","1985","AkademikerIn","maennlich","313","0.613518723045665","0.571216095850167","0.655821350241162"
"keinen Tag","1985","AkademikerIn","weiblich","147","0.578654775324202","0.516951339665431","0.640358210982972"
"Ja","1985","(noch) kein Abschluss","maennlich","220","0.382872270813152","0.340265602396944","0.42547893922936"
"Ja","1985","(noch) kein Abschluss","weiblich","232","0.403715967412311","0.364024825508751","0.443407109315872"
"Ja","1985","Hauptschule","maennlich","1370","0.430541664997506","0.413189515175344","0.447893814819668"
"Ja","1985","Hauptschule","weiblich","1219","0.368464512955424","0.352038427183157","0.384890598727691"
"Ja","1985","Realschule","maennlich","289","0.379821861701542","0.345179250185322","0.414464473217762"
"Ja","1985","Realschule","weiblich","445","0.406648801558959","0.377092093675276","0.436205509442642"
"Ja","1985","(Fach-)Abitur","maennlich","168","0.339136042308859","0.296013872761777","0.382258211855941"
"Ja","1985","(Fach-)Abitur","weiblich","127","0.387953308328864","0.334894487609489","0.441012129048239"
"Ja","1985","AkademikerIn","maennlich","196","0.386481276954335","0.344178649758838","0.428783904149833"
"Ja","1985","AkademikerIn","weiblich","99","0.421345224675798","0.359641789017028","0.483048660334569"
"keinen Tag","1986","(noch) kein Abschluss","maennlich","134","0.216195565741886","0.179019375098351","0.25337175638542"
"keinen Tag","1986","(noch) kein Abschluss","weiblich","108","0.142744615343304","0.113240255968441","0.172248974718167"
"keinen Tag","1986","Hauptschule","maennlich","1237","0.397814300755522","0.380104101366204","0.415524500144841"
"keinen Tag","1986","Hauptschule","weiblich","806","0.228004436577816","0.213197338349873","0.242811534805759"
"keinen Tag","1986","Realschule","maennlich","318","0.431237240594006","0.39521228234524","0.467262198842772"
"keinen Tag","1986","Realschule","weiblich","298","0.266898758686852","0.239752920277558","0.294044597096146"
"keinen Tag","1986","(Fach-)Abitur","maennlich","155","0.325443264455715","0.28271905961659","0.368167469294841"
"keinen Tag","1986","(Fach-)Abitur","weiblich","114","0.327932378093168","0.277281176004852","0.378583580181483"
