"ple0044_h","year","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","1 Einkommensschwächstes Quintil","3600","0.780323546227861","0.768641241169516","0.792005851286205"
"Ja","1995","2","2599","0.727411566841969","0.713163350880295","0.741659782803643"
"Ja","1995","3","1429","0.697752859830636","0.678359316971925","0.717146402689348"
"Ja","1995","4","921","0.657576925742352","0.633051111096646","0.682102740388058"
"Ja","1995","5 Einkommensstärkstes Quintil","439","0.662011164552638","0.627094128867371","0.696928200237905"
"Nein","1995","1 Einkommensschwächstes Quintil","1225","0.219676453772139","0.207994148713795","0.231358758830484"
"Nein","1995","2","1153","0.272588433158031","0.258340217196358","0.286836649119705"
"Nein","1995","3","725","0.302247140169363","0.282853597310652","0.321640683028075"
"Nein","1995","4","517","0.342423074257648","0.317897259611942","0.366948888903354"
"Nein","1995","5 Einkommensstärkstes Quintil","266","0.337988835447362","0.303071799762095","0.372905871132629"
"Ja","1996","1 Einkommensschwächstes Quintil","3187","0.776988831213769","0.764472546881932","0.789505115545605"
"Ja","1996","2","2673","0.754325290214554","0.74049537662114","0.768155203807968"
"Ja","1996","3","1537","0.708503125872761","0.689696049397279","0.727310202348242"
"Ja","1996","4","1009","0.674724166836202","0.651157333143907","0.698291000528497"
"Ja","1996","5 Einkommensstärkstes Quintil","490","0.619580709588325","0.586331115364317","0.652830303812332"
"Nein","1996","1 Einkommensschwächstes Quintil","1062","0.223011168786231","0.210494884454395","0.235527453118067"
"Nein","1996","2","1049","0.245674709785446","0.231844796192032","0.259504623378861"
"Nein","1996","3","706","0.291496874127239","0.272689797651758","0.310303950602721"
"Nein","1996","4","509","0.325275833163798","0.301708999471503","0.348842666856093"
"Nein","1996","5 Einkommensstärkstes Quintil","329","0.380419290411675","0.347169696187668","0.413668884635683"
"Ja","1997","1 Einkommensschwächstes Quintil","3005","0.76929328325221","0.75632020436228","0.78226636214214"
"Ja","1997","2","2639","0.756004407218925","0.742099622921624","0.769909191516225"
"Ja","1997","3","1554","0.703280594040589","0.684505152753095","0.722056035328083"
"Ja","1997","4","1006","0.693955915200801","0.670886586900541","0.71702524350106"
"Ja","1997","5 Einkommensstärkstes Quintil","494","0.654429439865282","0.621372373535883","0.687486506194681"
"Nein","1997","1 Einkommensschwächstes Quintil","1046","0.23070671674779","0.21773363785786","0.24367979563772"
"Nein","1997","2","1026","0.243995592781075","0.230090808483775","0.257900377078376"
"Nein","1997","3","720","0.296719405959411","0.277943964671917","0.315494847246905"
"Nein","1997","4","527","0.306044084799199","0.28297475649894","0.329113413099458"
"Nein","1997","5 Einkommensstärkstes Quintil","301","0.345570560134718","0.312513493805319","0.378627626464117"
"Ja","1998","1 Einkommensschwächstes Quintil","3195","0.766236143652948","0.753641864486069","0.778830422819827"
"Ja","1998","2","2855","0.7577743956249","0.744388244917269","0.771160546332532"
"Ja","1998","3","1694","0.7131341387332","0.69534735835167","0.730920919114729"
"Ja","1998","4","1219","0.671765279943563","0.65048818982127","0.693042370065855"
"Ja","1998","5 Einkommensstärkstes Quintil","608","0.633700282494775","0.603688572861408","0.663711992128143"
