"ple0044_h","year","age_gr","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1995","17-29","1 Einkommensschwächstes Quintil","334","0.241269539890764","0.21842943191169","0.264109647869839"
"Nein","1995","17-29","2","286","0.336851009101455","0.305989996034942","0.367712022167968"
"Nein","1995","17-29","3","169","0.295787547943215","0.256597930596209","0.334977165290221"
"Nein","1995","17-29","4","122","0.307874845508059","0.260582923084101","0.355166767932017"
"Nein","1995","17-29","5 Einkommensstärkstes Quintil","34","0.27447240742453","0.18952082538922","0.359423989459839"
"Nein","1995","30-45","1 Einkommensschwächstes Quintil","606","0.346542195061901","0.323874547700825","0.369209842422978"
"Nein","1995","30-45","2","486","0.396496319759277","0.368761606507285","0.424231033011269"
"Nein","1995","30-45","3","294","0.415811951083821","0.379482134780972","0.452141767386671"
"Nein","1995","30-45","4","202","0.434371735141837","0.388369705638877","0.480373764644797"
"Nein","1995","30-45","5 Einkommensstärkstes Quintil","116","0.435319035206855","0.374703082922366","0.495934987491344"
"Nein","1995","46-65","1 Einkommensschwächstes Quintil","278","0.206798306152851","0.184444274949548","0.229152337356155"
"Nein","1995","46-65","2","375","0.320044049876642","0.29288100794526","0.347207091808024"
"Nein","1995","46-65","3","256","0.337063634467693","0.301715899205993","0.372411369729393"
"Nein","1995","46-65","4","189","0.406754204497732","0.362900333798994","0.45060807519647"
"Nein","1995","46-65","5 Einkommensstärkstes Quintil","110","0.382733617718296","0.323652862964491","0.4418143724721"
"Nein","1995","66","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","66","2","","","",""
"Nein","1995","66","3","","","",""
"Nein","1995","66","4","","","",""
"Nein","1995","66","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","17-29","1 Einkommensschwächstes Quintil","1014","0.758730460109236","0.735890352130161","0.78157056808831"
"Ja","1995","17-29","2","615","0.663148990898545","0.632287977832032","0.694010003965058"
"Ja","1995","17-29","3","352","0.704212452056785","0.665022834709779","0.743402069403791"
"Ja","1995","17-29","4","244","0.692125154491941","0.644833232067983","0.739417076915899"
"Ja","1995","17-29","5 Einkommensstärkstes Quintil","72","0.72552759257547","0.640576010540161","0.81047917461078"
"Ja","1995","30-45","1 Einkommensschwächstes Quintil","1087","0.653457804938099","0.630790157577023","0.676125452299175"
"Ja","1995","30-45","2","709","0.603503680240723","0.575768966988731","0.631238393492715"
"Ja","1995","30-45","3","413","0.584188048916179","0.547858232613329","0.620517865219028"
"Ja","1995","30-45","4","244","0.565628264858163","0.519626235355203","0.611630294361123"
"Ja","1995","30-45","5 Einkommensstärkstes Quintil","141","0.564680964793145","0.504065012508656","0.625296917077634"
"Ja","1995","46-65","1 Einkommensschwächstes Quintil","983","0.793201693847149","0.770847662643845","0.815555725050452"
"Ja","1995","46-65","2","758","0.679955950123358","0.652792908191976","0.70711899205474"
"Ja","1995","46-65","3","431","0.662936365532307","0.627588630270607","0.698284100794006"
"Ja","1995","46-65","4","293","0.593245795502268","0.549391924803529","0.637099666201006"
"Ja","1995","46-65","5 Einkommensstärkstes Quintil","150","0.617266382281704","0.5581856275279","0.676347137035509"
"Ja","1995","66","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","66","2","","","",""
"Ja","1995","66","3","","","",""
"Ja","1995","66","4","","","",""
"Ja","1995","66","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","17-29","1 Einkommensschwächstes Quintil","310","0.274372243824768","0.248892064708105","0.299852422941432"
"Nein","1996","17-29","2","219","0.247824533090238","0.218434332091982","0.277214734088494"
"Nein","1996","17-29","3","164","0.30850821261167","0.269370262252057","0.347646162971284"
"Nein","1996","17-29","4","107","0.296231848765834","0.247410572163457","0.345053125368212"
"Nein","1996","17-29","5 Einkommensstärkstes Quintil","39","0.321043841174337","0.239198093186954","0.40288958916172"
