"ple0044_h","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"keinen Tag","1985","Westdeutschland","6611","0.606632704815318","0.597514672398664","0.615750737231971"
"keinen Tag","1985","Ostdeutschland","","","",""
"Ja","1985","Westdeutschland","4415","0.393367295184682","0.384249262768029","0.402485327601336"
"Ja","1985","Ostdeutschland","","","",""
"keinen Tag","1986","Westdeutschland","3561","0.318049374986848","0.309113308036187","0.326985441937508"
"keinen Tag","1986","Ostdeutschland","","","",""
"Ja","1986","Westdeutschland","6873","0.681950625013152","0.673014558062492","0.690886691963812"
"Ja","1986","Ostdeutschland","","","",""
"keinen Tag","1987","Westdeutschland","3101","0.282799408088162","0.27407997799008","0.291518838186243"
"keinen Tag","1987","Ostdeutschland","","","",""
"Ja","1987","Westdeutschland","7147","0.717200591911838","0.708481161813757","0.72592002200992"
"Ja","1987","Ostdeutschland","","","",""
"keinen Tag","1988","Westdeutschland","3016","0.292383933234576","0.283369171381435","0.301398695087718"
"keinen Tag","1988","Ostdeutschland","","","",""
"Ja","1988","Westdeutschland","6764","0.707616066765424","0.698601304912282","0.716630828618565"
"Ja","1988","Ostdeutschland","","","",""
"keinen Tag","1989","Westdeutschland","2835","","",""
"keinen Tag","1989","Ostdeutschland","","","",""
"Ja","1989","Westdeutschland","6744","0.721285675632202","0.712306813505106","0.730264537759298"
"Ja","1989","Ostdeutschland","","","",""
"keinen Tag","1990","Westdeutschland","","","",""
"keinen Tag","1990","Ostdeutschland","","","",""
"Ja","1990","Westdeutschland","","","",""
"Ja","1990","Ostdeutschland","","","",""
"keinen Tag","1991","Westdeutschland","2696","","",""
"keinen Tag","1991","Ostdeutschland","","","",""
"Ja","1991","Westdeutschland","6696","0.730655573820608","0.721683777693183","0.739627369948033"
"Ja","1991","Ostdeutschland","4139","1","1","1"
"keinen Tag","1992","Westdeutschland","2578","","",""
"keinen Tag","1992","Ostdeutschland","1766","","",""
"Ja","1992","Westdeutschland","6644","0.728848557531597","0.719775364700887","0.737921750362308"
"Ja","1992","Ostdeutschland","2180","","",""
"keinen Tag","1993","Westdeutschland","","","",""
"keinen Tag","1993","Ostdeutschland","","","",""
"Ja","1993","Westdeutschland","","","",""
"Ja","1993","Ostdeutschland","","","",""
"keinen Tag","1994","Westdeutschland","2574","","",""
"keinen Tag","1994","Ostdeutschland","1268","","",""
"Ja","1994","Westdeutschland","6433","0.731402605454751","0.722249106021434","0.740556104888068"
"Ja","1994","Ostdeutschland","2486","","",""
"keinen Tag","1995","Westdeutschland","2651","","",""
"keinen Tag","1995","Ostdeutschland","1235","","",""
"Ja","1995","Westdeutschland","6621","0.734054299934089","0.725060940325443","0.743047659542735"
"Ja","1995","Ostdeutschland","2367","","",""
"keinen Tag","1996","Westdeutschland","2571","","",""
"keinen Tag","1996","Ostdeutschland","1084","","",""
"Ja","1996","Westdeutschland","6467","0.731022964717203","0.721881094871446","0.74016483456296"
"Ja","1996","Ostdeutschland","2429","","",""
"keinen Tag","1997","Westdeutschland","2505","","",""
"keinen Tag","1997","Ostdeutschland","1115","","",""
"Ja","1997","Westdeutschland","6344","0.735858954524057","0.726673170517734","0.745044738530379"
"Ja","1997","Ostdeutschland","2354","","",""
"keinen Tag","1998","Westdeutschland","2850","","",""
"keinen Tag","1998","Ostdeutschland","1197","","",""
"Ja","1998","Westdeutschland","7081","0.732960569577045","0.724259360533792","0.741661778620297"
"Ja","1998","Ostdeutschland","2490","","",""
"keinen Tag","1999","Westdeutschland","2877","","",""
"keinen Tag","1999","Ostdeutschland","1185","","",""
"Ja","1999","Westdeutschland","6599","0.716407365016694","0.707332021769154","0.725482708264234"
"Ja","1999","Ostdeutschland","2439","","",""
"keinen Tag","2000","Westdeutschland","5143","0.281779889302473","0.275135921326468","0.288423857278478"
"keinen Tag","2000","Ostdeutschland","1771","","",""
"Ja","2000","Westdeutschland","12469","","",""
"Ja","2000","Ostdeutschland","3886","0.708730947429796","0.696891188173261","0.720570706686332"
"keinen Tag","2001","Westdeutschland","4775","0.289880734537726","0.282848625380617","0.296912843694834"
"keinen Tag","2001","Ostdeutschland","1585","","",""
"Ja","2001","Westdeutschland","11216","","",""
"Ja","2001","Ostdeutschland","3680","0.721145754702104","0.709032828838074","0.733258680566135"
"keinen Tag","2002","Westdeutschland","5284","0.28419054494464","0.277417155517234","0.290963934372046"
"keinen Tag","2002","Ostdeutschland","1628","","",""
"Ja","2002","Westdeutschland","11749","","",""
"Ja","2002","Ostdeutschland","3602","0.720027132410762","0.707858839639589","0.732195425181936"
"keinen Tag","2003","Westdeutschland","4948","0.28111697474516","0.27421489086821","0.28801905862211"
"keinen Tag","2003","Ostdeutschland","1575","","",""
"Ja","2003","Westdeutschland","11348","","",""
"Ja","2003","Ostdeutschland","3618","0.72304256246557","0.710871531216532","0.735213593714607"
"keinen Tag","2004","Westdeutschland","4884","0.281034673505194","0.274059187906323","0.288010159104066"
"keinen Tag","2004","Ostdeutschland","1534","","",""
"Ja","2004","Westdeutschland","11068","","",""
"Ja","2004","Ostdeutschland","3519","0.721577315402504","0.709218774876429","0.73393585592858"
"keinen Tag","2005","Westdeutschland","4626","0.284417111262907","0.277267052998034","0.291567169527779"
"keinen Tag","2005","Ostdeutschland","1476","","",""
"Ja","2005","Westdeutschland","10667","","",""
"Ja","2005","Ostdeutschland","3412","0.72160512274157","0.709040110501116","0.734170134982024"
"keinen Tag","2006","Westdeutschland","4930","0.285564167836165","0.278633930679087","0.292494404993243"
"keinen Tag","2006","Ostdeutschland","1573","","",""
"Ja","2006","Westdeutschland","11388","","",""
"Ja","2006","Ostdeutschland","3536","0.703870802645939","0.691351872108779","0.716389733183098"
"keinen Tag","2007","Westdeutschland","4504","0.284510408068355","0.277315281039078","0.291705535097633"
"keinen Tag","2007","Ostdeutschland","1467","","",""
"Ja","2007","Westdeutschland","10601","","",""
"Ja","2007","Ostdeutschland","3379","0.708913429607049","0.696123620203617","0.721703239010481"
"keinen Tag","2008","Westdeutschland","4096","0.277757164578417","0.270412069421658","0.285102259735175"
"keinen Tag","2008","Ostdeutschland","1363","","",""
"Ja","2008","Westdeutschland","10188","","",""
"Ja","2008","Ostdeutschland","3280","0.718875451413927","0.705944664311091","0.731806238516763"
"keinen Tag","2009","Westdeutschland","3707","0.271008680987995","0.263429025581188","0.278588336394803"
"keinen Tag","2009","Ostdeutschland","1213","","",""
"Ja","2009","Westdeutschland","9503","0.728991319012005","0.721411663605197","0.736570974418812"
"Ja","2009","Ostdeutschland","3207","0.727310895730778","0.714181918477648","0.740439872983909"
"keinen Tag","2010","Westdeutschland","5316","0.271295810834194","0.264850831363064","0.277740790305324"
"keinen Tag","2010","Ostdeutschland","1610","","",""
"Ja","2010","Westdeutschland","12967","","",""
"Ja","2010","Ostdeutschland","3787","0.71881633508889","0.706822007820201","0.730810662357579"
"keinen Tag","2011","Westdeutschland","3952","0.19670883640141","0.190663985972768","0.202753686830052"
"keinen Tag","2011","Ostdeutschland","944","0.182853490423933","0.171344020061923","0.194362960785942"
"Ja","2011","Westdeutschland","12660","","",""
"Ja","2011","Ostdeutschland","3389","0.817146509576067","0.805637039214057","0.828655979938077"
"keinen Tag","2012","Westdeutschland","5772","0.256811570801545","0.250932288926889","0.2626908526762"
"keinen Tag","2012","Ostdeutschland","1739","","",""
