"ple0044_h","year","n","percent","lower_confidence","upper_confidence"
"keinen Tag","1985","6611","0.606632704815318","0.597514672398664","0.615750737231971"
"Ja","1985","4415","0.393367295184682","0.384249262768029","0.402485327601336"
"keinen Tag","1986","3561","0.318049374986848","0.309113308036187","0.326985441937508"
"Ja","1986","6873","0.681950625013152","0.673014558062492","0.690886691963812"
"keinen Tag","1987","3101","0.282799408088162","0.27407997799008","0.291518838186243"
"Ja","1987","7147","0.717200591911838","0.708481161813757","0.72592002200992"
"keinen Tag","1988","3016","0.292383933234576","0.283369171381435","0.301398695087718"
"Ja","1988","6764","0.707616066765424","0.698601304912282","0.716630828618565"
"keinen Tag","1989","2835","0.278714324367798","0.269735462240701","0.287693186494894"
"Ja","1989","6744","0.721285675632202","0.712306813505106","0.730264537759298"
"keinen Tag","1990","","","",""
"Ja","1990","","","",""
"keinen Tag","1991","2696","0.214256317735743","0.2073429380168","0.221169697454686"
"Ja","1991","10835","0.785743682264257","0.778830302545314","0.7926570619832"
"keinen Tag","1992","4344","0.299522424350084","0.291698944440964","0.307345904259203"
"Ja","1992","8824","0.700477575649916","0.692654095740797","0.708301055559036"
"keinen Tag","1993","","","",""
"Ja","1993","","","",""
"keinen Tag","1994","3842","0.273695802962622","0.265960112518744","0.2814314934065"
"Ja","1994","8919","0.726304197037378","0.7185685065935","0.734039887481256"
"keinen Tag","1995","3886","0.273795281605542","0.266092743569994","0.281497819641091"
"Ja","1995","8988","0.726204718394458","0.718502180358909","0.733907256430006"
"keinen Tag","1996","3655","0.269689481781766","0.261925317636595","0.277453645926938"
"Ja","1996","8896","0.730310518218234","0.722546354073063","0.738074682363405"
"keinen Tag","1997","3620","0.266827726492714","0.259016909085498","0.274638543899929"
"Ja","1997","8698","0.733172273507286","0.725361456100071","0.740983090914502"
"keinen Tag","1998","4047","0.271613321998589","0.2641428514702","0.279083792526978"
"Ja","1998","9571","0.728386678001411","0.720916207473022","0.7358571485298"
"keinen Tag","1999","4062","0.286415878817653","0.278674228021056","0.294157529614251"
"Ja","1999","9038","0.713584121182347","0.705842470385749","0.721325771978944"
"keinen Tag","2000","6914","0.283601218270603","0.277809723125805","0.289392713415401"
"Ja","2000","16355","0.716398781729397","0.710607286584599","0.722190276874195"
"keinen Tag","2001","6360","0.287794637726537","0.281708366687771","0.293880908765303"
"Ja","2001","14896","0.712205362273463","0.706119091234697","0.718291633312228"
"keinen Tag","2002","6912","0.283395791902018","0.277476188330596","0.28931539547344"
"Ja","2002","15351","0.716604208097982","0.71068460452656","0.722523811669404"
"keinen Tag","2003","6523","0.280329846637819","0.274324454049335","0.286335239226302"
"Ja","2003","14966","0.719670153362181","0.713664760773698","0.725675545950665"
"keinen Tag","2004","6418","0.280549786274798","0.274474145443055","0.286625427106542"
"Ja","2004","14587","0.719450213725202","0.713374572893458","0.725525854556945"
"keinen Tag","2005","6102","0.283301712663106","0.277084874912322","0.289518550413889"
"Ja","2005","14079","0.716698287336894","0.710481449586111","0.722915125087678"
"keinen Tag","2006","6503","0.287533371315205","0.28147307585492","0.293593666775489"
"Ja","2006","14924","0.712466628684795","0.706406333224511","0.71852692414508"
"keinen Tag","2007","5971","0.285752005499565","0.279483198271461","0.292020812727669"
"Ja","2007","13980","0.714247994500435","0.707979187272331","0.720516801728539"
"keinen Tag","2008","5459","0.278376830714957","0.271991564959009","0.284762096470905"
"Ja","2008","13468","0.721623169285043","0.715237903529095","0.728008435040991"
"keinen Tag","2009","4920","0.271320619565489","0.264757178724454","0.277884060406523"
"Ja","2009","12710","0.728679380434512","0.722115939593477","0.735242821275546"
"keinen Tag","2010","6926","0.273103855055985","0.267428966462816","0.278778743649153"
"Ja","2010","16754","0.726896144944015","0.721221256350847","0.732571033537184"
"keinen Tag","2011","4896","0.194337542687259","0.188978800967311","0.199696284407206"
"Ja","2011","16049","0.805662457312741","0.800303715592794","0.811021199032689"
"keinen Tag","2012","7511","0.260697072246782","0.255488989494074","0.26590515499949"
"Ja","2012","19785","0.739302927753218","0.73409484500051","0.744511010505926"
"keinen Tag","2013","8251","0.248123095075522","0.243257516381038","0.252988673770006"
"Ja","2013","22021","0.751876904924478","0.747011326229994","0.756742483618962"
"keinen Tag","2014","8135","0.274744679306957","0.269390280681929","0.280099077931985"
"Ja","2014","18564","0.725255320693043","0.719900922068015","0.730609719318071"
"keinen Tag","2015","7151","0.253099582839499","0.247859415452555","0.258339750226443"
"Ja","2015","19295","0.746900417160501","0.741660249773557","0.752140584547445"
"keinen Tag","2016","6367","0.254878979416151","0.249361511812912","0.26039644701939"
"Ja","2016","17598","0.745121020583849","0.73960355298061","0.750638488187088"
"keinen Tag","2017","6613","0.241912441278271","0.236730750244927","0.247094132311615"
"Ja","2017","19625","0.758087558721729","0.752905867688385","0.763269249755073"
"keinen Tag","2018","6258","0.232906412244535","0.227703580912366","0.238109243576704"
"Ja","2018","19096","0.767093587755465","0.761890756423296","0.772296419087634"
"keinen Tag","2019","6678","0.230330402849257","0.225161081015104","0.235499724683411"
"Ja","2019","18807","0.769669597150743","0.764500275316589","0.774838918984896"
"keinen Tag","2020","8282","0.235945265789938","0.230956439594887","0.240934091984988"
"Ja","2020","19543","0.764054734210062","0.759065908015012","0.769043560405113"
