"ple0044_h","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"keinen Tag","1985","17-34","maennlich","1227","0.583147473441303","0.562025042685213","0.604269904197393"
"keinen Tag","1985","17-34","weiblich","1223","0.560407381418921","0.539051565944836","0.581763196893006"
"keinen Tag","1985","35-65","maennlich","1617","0.577018169896201","0.5589689557918","0.595067384000602"
"keinen Tag","1985","35-65","weiblich","1796","0.634781558798587","0.617175231217812","0.652387886379363"
"keinen Tag","1985","66 +","maennlich","304","0.680723633407736","0.63731111019754","0.724136156617933"
"keinen Tag","1985","66 +","weiblich","444","0.667876778644122","0.632053787637548","0.703699769650696"
"Ja","1985","17-34","maennlich","866","0.416852526558697","0.395730095802607","0.437974957314787"
"Ja","1985","17-34","weiblich","852","0.439592618581079","0.418236803106994","0.460948434055164"
"Ja","1985","35-65","maennlich","1261","0.422981830103799","0.404932615999398","0.4410310442082"
"Ja","1985","35-65","weiblich","1077","0.365218441201413","0.347612113620637","0.382824768782188"
"Ja","1985","66 +","maennlich","139","0.319276366592264","0.275863843382067","0.36268888980246"
"Ja","1985","66 +","weiblich","220","0.332123221355878","0.296300230349304","0.367946212362452"
"keinen Tag","1986","17-34","maennlich","822","0.402164401477564","0.380902279450985","0.423426523504143"
"keinen Tag","1986","17-34","weiblich","618","0.314176836012929","0.293704957451648","0.33464871457421"
"keinen Tag","1986","35-65","maennlich","1284","0.490415187854975","0.471516848102471","0.509313527607479"
"keinen Tag","1986","35-65","weiblich","763","0.276846972946129","0.259972866174431","0.293721079717827"
"keinen Tag","1986","66 +","maennlich","35","0.0775739349353002","0.0519300603586303","0.10321780951197"
"keinen Tag","1986","66 +","weiblich","39","0.0611750576125739","0.04214154484097","0.0802085703841778"
"Ja","1986","17-34","maennlich","1221","0.597835598522436","0.576573476495857","0.619097720549015"
"Ja","1986","17-34","weiblich","1357","0.685823163987071","0.66535128542579","0.706295042548352"
"Ja","1986","35-65","maennlich","1404","0.509584812145025","0.490686472392521","0.528483151897529"
"Ja","1986","35-65","weiblich","1938","0.723153027053871","0.706278920282173","0.740027133825569"
