"ple0044_h","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1989","AkademikerIn","Westdeutschland","372","0.557943144711193","0.521047295636886","0.5948389937855"
"Ja","1989","AkademikerIn","Ostdeutschland","","","",""
"keinen Tag","1990","(noch) kein Abschluss","Westdeutschland","","","",""
"keinen Tag","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"keinen Tag","1990","Hauptschule","Westdeutschland","","","",""
"keinen Tag","1990","Hauptschule","Ostdeutschland","","","",""
"keinen Tag","1990","Realschule","Westdeutschland","","","",""
"keinen Tag","1990","Realschule","Ostdeutschland","","","",""
"keinen Tag","1990","(Fach-)Abitur","Westdeutschland","","","",""
"keinen Tag","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"keinen Tag","1990","AkademikerIn","Westdeutschland","","","",""
"keinen Tag","1990","AkademikerIn","Ostdeutschland","","","",""
"Ja","1990","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","1990","Hauptschule","Westdeutschland","","","",""
"Ja","1990","Hauptschule","Ostdeutschland","","","",""
"Ja","1990","Realschule","Westdeutschland","","","",""
"Ja","1990","Realschule","Ostdeutschland","","","",""
"Ja","1990","(Fach-)Abitur","Westdeutschland","","","",""
"Ja","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","1990","AkademikerIn","Westdeutschland","","","",""
"Ja","1990","AkademikerIn","Ostdeutschland","","","",""
"keinen Tag","1991","(noch) kein Abschluss","Westdeutschland","161","","",""
"keinen Tag","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"keinen Tag","1991","Hauptschule","Westdeutschland","1458","","",""
"keinen Tag","1991","Hauptschule","Ostdeutschland","","","",""
"keinen Tag","1991","Realschule","Westdeutschland","498","0.288808196220608","0.266927173562479","0.310689218878738"
"keinen Tag","1991","Realschule","Ostdeutschland","","","",""
"keinen Tag","1991","(Fach-)Abitur","Westdeutschland","218","","",""
"keinen Tag","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"keinen Tag","1991","AkademikerIn","Westdeutschland","292","","",""
"keinen Tag","1991","AkademikerIn","Ostdeutschland","","","",""
"Ja","1991","(noch) kein Abschluss","Westdeutschland","659","0.834330950852717","0.808884276503357","0.859777625202076"
"Ja","1991","(noch) kein Abschluss","Ostdeutschland","54","1","1","1"
"Ja","1991","Hauptschule","Westdeutschland","3770","0.753753916560224","0.742075613042424","0.765432220078024"
"Ja","1991","Hauptschule","Ostdeutschland","1496","","",""
"Ja","1991","Realschule","Westdeutschland","1150","","",""
"Ja","1991","Realschule","Ostdeutschland","1496","","",""
"Ja","1991","(Fach-)Abitur","Westdeutschland","551","0.720429366468976","0.688709861554368","0.752148871383584"
"Ja","1991","(Fach-)Abitur","Ostdeutschland","116","","",""
"Ja","1991","AkademikerIn","Westdeutschland","427","0.603651348430812","0.56789810664536","0.639404590216264"
"Ja","1991","AkademikerIn","Ostdeutschland","954","1","1","1"
"keinen Tag","1992","(noch) kein Abschluss","Westdeutschland","131","","",""
"keinen Tag","1992","(noch) kein Abschluss","Ostdeutschland","8","0.123902440573761","0.0467205812185628","0.20108429992896"
"keinen Tag","1992","Hauptschule","Westdeutschland","1328","","",""
"keinen Tag","1992","Hauptschule","Ostdeutschland","513","0.320078096078537","0.295676286664124","0.344479905492951"
"keinen Tag","1992","Realschule","Westdeutschland","520","0.292604617881332","0.270678990126065","0.3145302456366"
"keinen Tag","1992","Realschule","Ostdeutschland","720","0.488998301776792","0.463016866433323","0.514979737120261"
"keinen Tag","1992","(Fach-)Abitur","Westdeutschland","221","","",""
"keinen Tag","1992","(Fach-)Abitur","Ostdeutschland","44","0.390727624053237","0.301938065120338","0.479517182986135"
"keinen Tag","1992","AkademikerIn","Westdeutschland","301","0.397672762054296","0.362193990271037","0.433151533837555"
"keinen Tag","1992","AkademikerIn","Ostdeutschland","474","0.494374147173705","0.461907950581897","0.526840343765513"
"Ja","1992","(noch) kein Abschluss","Westdeutschland","661","0.841195855023168","0.815741331079961","0.866650378966375"
"Ja","1992","(noch) kein Abschluss","Ostdeutschland","62","0.876097559426239","0.79891570007104","0.953279418781437"
"Ja","1992","Hauptschule","Westdeutschland","3728","0.756584737224266","0.744755758534094","0.768413715914438"
"Ja","1992","Hauptschule","Ostdeutschland","891","0.679921903921463","0.655520094507049","0.704323713335876"
"Ja","1992","Realschule","Westdeutschland","1134","","",""
"Ja","1992","Realschule","Ostdeutschland","702","0.511001698223208","0.485020262879739","0.536983133566677"
"Ja","1992","(Fach-)Abitur","Westdeutschland","548","0.697073614671752","0.664595351647471","0.729551877696033"
"Ja","1992","(Fach-)Abitur","Ostdeutschland","72","0.609272375946764","0.520482817013865","0.698061934879662"
"Ja","1992","AkademikerIn","Westdeutschland","430","0.602327237945704","0.566848466162445","0.637806009728963"
"Ja","1992","AkademikerIn","Ostdeutschland","437","0.505625852826295","0.473159656234487","0.538092049418103"
"keinen Tag","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"keinen Tag","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"keinen Tag","1993","Hauptschule","Westdeutschland","","","",""
"keinen Tag","1993","Hauptschule","Ostdeutschland","","","",""
"keinen Tag","1993","Realschule","Westdeutschland","","","",""
"keinen Tag","1993","Realschule","Ostdeutschland","","","",""
"keinen Tag","1993","(Fach-)Abitur","Westdeutschland","","","",""
"keinen Tag","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"keinen Tag","1993","AkademikerIn","Westdeutschland","","","",""
"keinen Tag","1993","AkademikerIn","Ostdeutschland","","","",""
"Ja","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","1993","Hauptschule","Westdeutschland","","","",""
"Ja","1993","Hauptschule","Ostdeutschland","","","",""
"Ja","1993","Realschule","Westdeutschland","","","",""
"Ja","1993","Realschule","Ostdeutschland","","","",""
"Ja","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Ja","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","1993","AkademikerIn","Westdeutschland","","","",""
"Ja","1993","AkademikerIn","Ostdeutschland","","","",""
"keinen Tag","1994","(noch) kein Abschluss","Westdeutschland","119","","",""
"keinen Tag","1994","(noch) kein Abschluss","Ostdeutschland","7","0.0681049896934484","0.0187284046745247","0.117481574712372"
"keinen Tag","1994","Hauptschule","Westdeutschland","1311","","",""
"keinen Tag","1994","Hauptschule","Ostdeutschland","267","","",""
"keinen Tag","1994","Realschule","Westdeutschland","523","0.291577936862449","0.26973428053914","0.313421593185757"
"keinen Tag","1994","Realschule","Ostdeutschland","547","0.358890795412426","0.333444244142274","0.384337346682579"
"keinen Tag","1994","(Fach-)Abitur","Westdeutschland","238","","",""
"keinen Tag","1994","(Fach-)Abitur","Ostdeutschland","49","0.381903820303376","0.300547211322022","0.463260429284731"
"keinen Tag","1994","AkademikerIn","Westdeutschland","304","0.375271730230253","0.341400437919852","0.409143022540654"
"keinen Tag","1994","AkademikerIn","Ostdeutschland","392","0.445072259341116","0.411740929863646","0.478403588818586"
"Ja","1994","(noch) kein Abschluss","Westdeutschland","623","0.863864229489515","0.839189351669161","0.88853910730987"
"Ja","1994","(noch) kein Abschluss","Ostdeutschland","93","0.931895010306552","0.882518425287628","0.981271595325475"
"Ja","1994","Hauptschule","Westdeutschland","3464","0.754340994502166","0.742131108680646","0.766550880323687"
"Ja","1994","Hauptschule","Ostdeutschland","1005","","",""
"Ja","1994","Realschule","Westdeutschland","1140","","",""
"Ja","1994","Realschule","Ostdeutschland","818","0.641109204587574","0.615662653317421","0.666555755857726"
"Ja","1994","(Fach-)Abitur","Westdeutschland","537","0.707071040224869","0.675029755627245","0.739112324822493"
"Ja","1994","(Fach-)Abitur","Ostdeutschland","88","0.618096179696624","0.53673957071527","0.699452788677978"
"Ja","1994","AkademikerIn","Westdeutschland","481","0.624728269769747","0.590856977459347","0.658599562080148"
"Ja","1994","AkademikerIn","Ostdeutschland","462","0.554927740658884","0.521596411181414","0.588259070136354"
"keinen Tag","1995","(noch) kein Abschluss","Westdeutschland","126","","",""
"keinen Tag","1995","(noch) kein Abschluss","Ostdeutschland","4","0.0379616147939395","0.00288124161443572","0.0730419879734432"
"keinen Tag","1995","Hauptschule","Westdeutschland","1255","","",""
"keinen Tag","1995","Hauptschule","Ostdeutschland","275","","",""
"keinen Tag","1995","Realschule","Westdeutschland","576","0.310445834522034","0.288637238588212","0.332254430455856"
"keinen Tag","1995","Realschule","Ostdeutschland","526","0.387225274215661","0.360837027376042","0.41361352105528"
"keinen Tag","1995","(Fach-)Abitur","Westdeutschland","261","","",""
"keinen Tag","1995","(Fach-)Abitur","Ostdeutschland","54","0.357822263653431","0.280066433040298","0.435578094266564"
"keinen Tag","1995","AkademikerIn","Westdeutschland","353","0.393748072916482","0.361649267181693","0.42584687865127"
"keinen Tag","1995","AkademikerIn","Ostdeutschland","371","0.424060499197472","0.3900897471702","0.458031251224743"
"Ja","1995","(noch) kein Abschluss","Westdeutschland","619","0.857802567570034","0.832723608716924","0.882881526423144"
"Ja","1995","(noch) kein Abschluss","Ostdeutschland","110","","",""
"Ja","1995","Hauptschule","Westdeutschland","3478","0.770707564293807","0.758731351240106","0.782683777347509"
"Ja","1995","Hauptschule","Ostdeutschland","918","0.811558005851401","0.789367025031002","0.8337489866718"
"Ja","1995","Realschule","Westdeutschland","1153","","",""
"Ja","1995","Realschule","Ostdeutschland","783","0.612774725784339","0.58638647894472","0.639162972623958"
"Ja","1995","(Fach-)Abitur","Westdeutschland","613","0.711610030069828","0.681576700559804","0.741643359579851"
"Ja","1995","(Fach-)Abitur","Ostdeutschland","92","0.642177736346569","0.564421905733436","0.719933566959702"
"Ja","1995","AkademikerIn","Westdeutschland","537","0.606251927083518","0.57415312134873","0.638350732818307"
"Ja","1995","AkademikerIn","Ostdeutschland","442","0.575939500802528","0.541968748775256","0.6099102528298"
"keinen Tag","1996","(noch) kein Abschluss","Westdeutschland","93","0.0990412226383261","0.0770377149703607","0.121044730306292"
"keinen Tag","1996","(noch) kein Abschluss","Ostdeutschland","6","0.0473352185378511","0.00852362993624051","0.0861468071394617"
"keinen Tag","1996","Hauptschule","Westdeutschland","1228","","",""
"keinen Tag","1996","Hauptschule","Ostdeutschland","235","","",""
"keinen Tag","1996","Realschule","Westdeutschland","552","0.306628194612699","0.284837403401911","0.328418985823486"
"keinen Tag","1996","Realschule","Ostdeutschland","445","0.341578310379323","0.315288328186397","0.367868292572248"
"keinen Tag","1996","(Fach-)Abitur","Westdeutschland","259","","",""
"keinen Tag","1996","(Fach-)Abitur","Ostdeutschland","40","0.253016609526473","0.183211864466554","0.322821354586391"
"keinen Tag","1996","AkademikerIn","Westdeutschland","362","0.390785472064737","0.358783503650293","0.422787440479181"
"keinen Tag","1996","AkademikerIn","Ostdeutschland","348","0.392701590623198","0.359174050674921","0.426229130571475"
"Ja","1996","(noch) kein Abschluss","Westdeutschland","615","0.900958777361674","0.878955269693708","0.922962285029639"
"Ja","1996","(noch) kein Abschluss","Ostdeutschland","109","","",""
"Ja","1996","Hauptschule","Westdeutschland","3365","0.763687468431012","0.751401735317819","0.775973201544204"
"Ja","1996","Hauptschule","Ostdeutschland","912","0.837422807730588","0.816069331591776","0.8587762838694"
"Ja","1996","Realschule","Westdeutschland","1168","","",""
"Ja","1996","Realschule","Ostdeutschland","805","0.658421689620677","0.632131707427752","0.684711671813603"
"Ja","1996","(Fach-)Abitur","Westdeutschland","564","0.692152655407352","0.66061591349159","0.723689397323114"
"Ja","1996","(Fach-)Abitur","Ostdeutschland","109","","",""
"Ja","1996","AkademikerIn","Westdeutschland","531","0.609214527935263","0.577212559520819","0.641216496349707"
"Ja","1996","AkademikerIn","Ostdeutschland","467","0.607298409376802","0.573770869428525","0.640825949325079"
"keinen Tag","1997","(noch) kein Abschluss","Westdeutschland","101","","",""
"keinen Tag","1997","(noch) kein Abschluss","Ostdeutschland","6","0.0455334007567799","0.00969721110165729","0.0813695904119026"
"keinen Tag","1997","Hauptschule","Westdeutschland","1158","","",""
"keinen Tag","1997","Hauptschule","Ostdeutschland","220","","",""
"keinen Tag","1997","Realschule","Westdeutschland","539","0.28677135123021","0.265342180877029","0.308200521583391"
"keinen Tag","1997","Realschule","Ostdeutschland","512","0.400565320468206","0.373180926058411","0.427949714878001"
"keinen Tag","1997","(Fach-)Abitur","Westdeutschland","251","","",""
"keinen Tag","1997","(Fach-)Abitur","Ostdeutschland","47","0.319614788324712","0.248461170880826","0.390768405768597"
"keinen Tag","1997","AkademikerIn","Westdeutschland","370","0.398264557525774","0.366138732498378","0.43039038255317"
"keinen Tag","1997","AkademikerIn","Ostdeutschland","321","0.341176782473015","0.308282468925204","0.374071096020827"
"Ja","1997","(noch) kein Abschluss","Westdeutschland","579","0.86595152416573","0.840343777466738","0.891559270864723"
"Ja","1997","(noch) kein Abschluss","Ostdeutschland","124","","",""
"Ja","1997","Hauptschule","Westdeutschland","3299","0.775022984611068","0.7627640383658","0.787281930856337"
"Ja","1997","Hauptschule","Ostdeutschland","883","0.847597218822849","0.826386687752775","0.868807749892923"
"Ja","1997","Realschule","Westdeutschland","1172","","",""
"Ja","1997","Realschule","Ostdeutschland","718","0.599434679531794","0.572050285121999","0.62681907394159"
"Ja","1997","(Fach-)Abitur","Westdeutschland","563","0.682095061549904","0.65010559643874","0.714084526661067"
"Ja","1997","(Fach-)Abitur","Ostdeutschland","118","","",""
"Ja","1997","AkademikerIn","Westdeutschland","522","0.601735442474226","0.56960961744683","0.633861267501622"
"Ja","1997","AkademikerIn","Ostdeutschland","477","0.658823217526984","0.625928903979173","0.691717531074796"
"keinen Tag","1998","(noch) kein Abschluss","Westdeutschland","96","0.133611973075078","0.107849378487567","0.159374567662588"
"keinen Tag","1998","(noch) kein Abschluss","Ostdeutschland","8","0.0702141997900872","0.0259505688480701","0.114477830732104"
"keinen Tag","1998","Hauptschule","Westdeutschland","1253","","",""
"keinen Tag","1998","Hauptschule","Ostdeutschland","226","","",""
"keinen Tag","1998","Realschule","Westdeutschland","624","0.298503984031424","0.278014170362018","0.31899379770083"
"keinen Tag","1998","Realschule","Ostdeutschland","533","0.384181361415087","0.358021007582879","0.410341715247295"
"keinen Tag","1998","(Fach-)Abitur","Westdeutschland","278","","",""
"keinen Tag","1998","(Fach-)Abitur","Ostdeutschland","58","0.326425893037611","0.254878945249649","0.397972840825574"
"keinen Tag","1998","AkademikerIn","Westdeutschland","444","0.400575153995619","0.371076341542997","0.43007396644824"
"keinen Tag","1998","AkademikerIn","Ostdeutschland","342","0.387876598523336","0.354727224982753","0.42102597206392"
"Ja","1998","(noch) kein Abschluss","Westdeutschland","574","0.866388026924922","0.840625432337412","0.892150621512433"
"Ja","1998","(noch) kein Abschluss","Ostdeutschland","120","","",""
"Ja","1998","Hauptschule","Westdeutschland","3553","0.769451446387407","0.757543742703913","0.781359150070902"
"Ja","1998","Hauptschule","Ostdeutschland","908","0.843245603273675","0.822084979195514","0.864406227351836"
"Ja","1998","Realschule","Westdeutschland","1292","","",""
"Ja","1998","Realschule","Ostdeutschland","795","0.615818638584913","0.589658284752705","0.641978992417121"
"Ja","1998","(Fach-)Abitur","Westdeutschland","644","0.714556797815239","0.685405300901317","0.743708294729161"
"Ja","1998","(Fach-)Abitur","Ostdeutschland","107","","",""
"Ja","1998","AkademikerIn","Westdeutschland","616","0.599424846004382","0.56992603355176","0.628923658457003"
"Ja","1998","AkademikerIn","Ostdeutschland","488","0.612123401476664","0.57897402793608","0.645272775017247"
"keinen Tag","1999","(noch) kein Abschluss","Westdeutschland","111","","",""
"keinen Tag","1999","(noch) kein Abschluss","Ostdeutschland","18","","",""
"keinen Tag","1999","Hauptschule","Westdeutschland","1231","","",""
"keinen Tag","1999","Hauptschule","Ostdeutschland","233","","",""
"keinen Tag","1999","Realschule","Westdeutschland","697","0.338986329788593","0.317779612962126","0.360193046615061"
"keinen Tag","1999","Realschule","Ostdeutschland","506","0.377622575762887","0.351578139956928","0.403667011568847"
"keinen Tag","1999","(Fach-)Abitur","Westdeutschland","299","","",""
"keinen Tag","1999","(Fach-)Abitur","Ostdeutschland","68","0.361872874684923","0.292439096504933","0.431306652864912"
"keinen Tag","1999","AkademikerIn","Westdeutschland","440","0.385968217242169","0.356689163947785","0.415247270536553"
"keinen Tag","1999","AkademikerIn","Ostdeutschland","338","0.375544068842655","0.342618830287176","0.408469307398134"
"Ja","1999","(noch) kein Abschluss","Westdeutschland","527","0.825816717405112","0.796387221565251","0.855246213244973"
"Ja","1999","(noch) kein Abschluss","Ostdeutschland","104","","",""
"Ja","1999","Hauptschule","Westdeutschland","3430","0.7635091362091","0.751310175221075","0.775708097197124"
"Ja","1999","Hauptschule","Ostdeutschland","869","0.827173375917657","0.80484994766576","0.849496804169555"
"Ja","1999","Realschule","Westdeutschland","1217","","",""
"Ja","1999","Realschule","Ostdeutschland","825","0.622377424237113","0.596332988431153","0.648421860043072"
"Ja","1999","(Fach-)Abitur","Westdeutschland","594","0.671792589497945","0.640995182151741","0.702589996844148"
"Ja","1999","(Fach-)Abitur","Ostdeutschland","116","","",""
"Ja","1999","AkademikerIn","Westdeutschland","622","0.614031782757831","0.584752729463447","0.643310836052215"
"Ja","1999","AkademikerIn","Ostdeutschland","493","0.624455931157345","0.591530692601866","0.657381169712824"
"keinen Tag","2000","(noch) kein Abschluss","Westdeutschland","94","0.128448463254221","0.104292445509124","0.152604480999317"
"keinen Tag","2000","(noch) kein Abschluss","Ostdeutschland","14","","",""
"keinen Tag","2000","Hauptschule","Westdeutschland","2139","","",""
"keinen Tag","2000","Hauptschule","Ostdeutschland","289","","",""
"keinen Tag","2000","Realschule","Westdeutschland","1289","","",""
"keinen Tag","2000","Realschule","Ostdeutschland","879","0.401048896859751","0.380394420982276","0.421703372737226"
"keinen Tag","2000","(Fach-)Abitur","Westdeutschland","618","0.313965218373135","0.293227575364766","0.334702861381504"
"keinen Tag","2000","(Fach-)Abitur","Ostdeutschland","110","","",""
"keinen Tag","2000","AkademikerIn","Westdeutschland","997","0.405040230835843","0.385586059090154","0.424494402581532"
"keinen Tag","2000","AkademikerIn","Ostdeutschland","479","0.356531660333977","0.330010947195408","0.383052373472546"
"Ja","2000","(noch) kein Abschluss","Westdeutschland","643","0.871551536745779","0.847395519000683","0.895707554490875"
"Ja","2000","(noch) kein Abschluss","Ostdeutschland","145","","",""
"Ja","2000","Hauptschule","Westdeutschland","6449","0.766757277640226","0.75781320994929","0.775701345331163"
"Ja","2000","Hauptschule","Ostdeutschland","1445","","",""
"Ja","2000","Realschule","Westdeutschland","2586","","",""
"Ja","2000","Realschule","Ostdeutschland","1284","","",""
"Ja","2000","(Fach-)Abitur","Westdeutschland","1306","","",""
"Ja","2000","(Fach-)Abitur","Ostdeutschland","237","","",""
"Ja","2000","AkademikerIn","Westdeutschland","1449","","",""
"Ja","2000","AkademikerIn","Ostdeutschland","774","0.643468339666023","0.616947626527454","0.669989052804592"
"keinen Tag","2001","(noch) kein Abschluss","Westdeutschland","108","","",""
"keinen Tag","2001","(noch) kein Abschluss","Ostdeutschland","17","","",""
"keinen Tag","2001","Hauptschule","Westdeutschland","1935","","",""
"keinen Tag","2001","Hauptschule","Ostdeutschland","238","","",""
"keinen Tag","2001","Realschule","Westdeutschland","1237","","",""
"keinen Tag","2001","Realschule","Ostdeutschland","740","0.364014334404092","0.342853081600846","0.385175587207338"
"keinen Tag","2001","(Fach-)Abitur","Westdeutschland","602","0.320949884837199","0.299496231081664","0.342403538592734"
"keinen Tag","2001","(Fach-)Abitur","Ostdeutschland","110","","",""
"keinen Tag","2001","AkademikerIn","Westdeutschland","873","0.389197034760439","0.369095500742546","0.409298568778332"
"keinen Tag","2001","AkademikerIn","Ostdeutschland","472","0.358197476264545","0.331046737378301","0.385348215150789"
"Ja","2001","(noch) kein Abschluss","Westdeutschland","573","0.841431502208636","0.813997297512046","0.868865706905227"
"Ja","2001","(noch) kein Abschluss","Ostdeutschland","154","","",""
