year,quintil_oecd_hh,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Very Inexpensive,0.04536,50,913,0.03186,0.05887
1984,1st Quintile,Inexpensive,0.15776,198,913,0.13411,0.18142
1984,1st Quintile,Reasonable,0.32691,420,913,0.29646,0.35735
1984,1st Quintile,Slightly Expensive,0.10446,171,913,0.08461,0.12431
1984,1st Quintile,Too Expensive,0.04120,74,913,0.02830,0.05410
1984,2nd Quintile,Very Inexpensive,0.04918,58,797,0.03416,0.06421
1984,2nd Quintile,Inexpensive,0.14969,201,797,0.12490,0.17447
1984,2nd Quintile,Reasonable,0.26144,326,797,0.23091,0.29197
1984,2nd Quintile,Slightly Expensive,0.10257,159,797,0.08149,0.12364
1984,2nd Quintile,Too Expensive,0.03279,53,797,0.02042,0.04517
1984,3rd Quintile,Very Inexpensive,0.05062,63,744,0.03486,0.06639
1984,3rd Quintile,Inexpensive,0.18699,215,744,0.15895,0.21502
1984,3rd Quintile,Reasonable,0.23138,299,744,0.20105,0.26170
1984,3rd Quintile,Slightly Expensive,0.09259,136,744,0.07175,0.11344
1984,3rd Quintile,Too Expensive,0.01990,31,744,0.00986,0.02994
1984,4th Quintile,Very Inexpensive,0.05104,54,718,0.03493,0.06715
1984,4th Quintile,Inexpensive,0.15961,191,718,0.13280,0.18641
1984,4th Quintile,Reasonable,0.23955,321,718,0.20831,0.27079
1984,4th Quintile,Slightly Expensive,0.07598,118,718,0.05658,0.09537
1984,4th Quintile,Too Expensive,0.02446,34,718,0.01315,0.03577
1984,5th Quintile,Very Inexpensive,0.04604,55,495,0.02756,0.06452
1984,5th Quintile,Inexpensive,0.11079,129,495,0.08311,0.13847
1984,5th Quintile,Reasonable,0.21464,244,495,0.17843,0.25084
1984,5th Quintile,Slightly Expensive,0.05475,67,495,0.03469,0.07482
1985,1st Quintile,Very Inexpensive,0.08183,68,836,0.06324,0.10042
1985,1st Quintile,Inexpensive,0.16642,182,836,0.14116,0.19169
1985,1st Quintile,Reasonable,0.30556,355,836,0.27432,0.33681
1985,1st Quintile,Slightly Expensive,0.12622,171,836,0.10369,0.14875
1985,1st Quintile,Too Expensive,0.03375,60,836,0.02150,0.04600
1985,2nd Quintile,Very Inexpensive,0.08446,80,745,0.06448,0.10444
1985,2nd Quintile,Inexpensive,0.17363,197,745,0.14641,0.20085
1985,2nd Quintile,Reasonable,0.27697,315,745,0.24481,0.30912
1985,2nd Quintile,Slightly Expensive,0.08705,111,745,0.06679,0.10731
1985,2nd Quintile,Too Expensive,0.02801,42,745,0.01615,0.03986
1985,3rd Quintile,Very Inexpensive,0.06108,63,691,0.04321,0.07895
1985,3rd Quintile,Inexpensive,0.15060,166,691,0.12391,0.17729
1985,3rd Quintile,Reasonable,0.26595,302,691,0.23298,0.29891
1985,3rd Quintile,Slightly Expensive,0.08497,118,691,0.06417,0.10578
1985,3rd Quintile,Too Expensive,0.02291,42,691,0.01174,0.03407
1985,4th Quintile,Very Inexpensive,0.05710,61,589,0.03834,0.07585
1985,4th Quintile,Inexpensive,0.14314,153,589,0.11483,0.17145
1985,4th Quintile,Reasonable,0.24180,271,589,0.20719,0.27641
1985,4th Quintile,Slightly Expensive,0.08433,104,589,0.06187,0.10679
1985,5th Quintile,Very Inexpensive,0.06482,65,468,0.04249,0.08715
1985,5th Quintile,Inexpensive,0.10502,109,468,0.07722,0.13283
1985,5th Quintile,Reasonable,0.21021,222,468,0.17325,0.24716
1985,5th Quintile,Slightly Expensive,0.06759,72,468,0.04483,0.09036
1986,1st Quintile,Very Inexpensive,0.07565,56,768,0.05694,0.09437
1986,1st Quintile,Inexpensive,0.19461,184,768,0.16659,0.22263
1986,1st Quintile,Reasonable,0.28523,317,768,0.25328,0.31719
1986,1st Quintile,Slightly Expensive,0.13593,154,768,0.11167,0.16018
1986,1st Quintile,Too Expensive,0.03953,57,768,0.02574,0.05332
1986,2nd Quintile,Very Inexpensive,0.06847,61,679,0.04946,0.08748
1986,2nd Quintile,Inexpensive,0.20156,197,679,0.17136,0.23175
1986,2nd Quintile,Reasonable,0.23426,258,679,0.20238,0.26614
1986,2nd Quintile,Slightly Expensive,0.08544,123,679,0.06440,0.10649
1986,2nd Quintile,Too Expensive,0.02660,40,679,0.01449,0.03871
1986,3rd Quintile,Very Inexpensive,0.07592,72,675,0.05593,0.09592
1986,3rd Quintile,Inexpensive,0.18338,197,675,0.15416,0.21260
1986,3rd Quintile,Reasonable,0.25711,276,675,0.22411,0.29010
1986,3rd Quintile,Slightly Expensive,0.07854,94,675,0.05823,0.09886
1986,3rd Quintile,Too Expensive,0.02679,36,675,0.01460,0.03899
1986,4th Quintile,Very Inexpensive,0.06200,64,610,0.04284,0.08115
1986,4th Quintile,Inexpensive,0.14873,149,610,0.12047,0.17699
1986,4th Quintile,Reasonable,0.26334,283,610,0.22836,0.29832
1986,4th Quintile,Slightly Expensive,0.06460,82,610,0.04508,0.08413
1986,4th Quintile,Too Expensive,0.02663,32,610,0.01384,0.03942
1986,5th Quintile,Very Inexpensive,0.05716,55,419,0.03491,0.07942
1986,5th Quintile,Inexpensive,0.11536,107,419,0.08473,0.14598
1986,5th Quintile,Reasonable,0.20288,202,419,0.16433,0.24144
1986,5th Quintile,Slightly Expensive,0.05346,55,419,0.03189,0.07502
1987,1st Quintile,Very Inexpensive,0.07435,59,718,0.05515,0.09356
1987,1st Quintile,Inexpensive,0.20880,194,718,0.17905,0.23855
1987,1st Quintile,Reasonable,0.26125,274,718,0.22909,0.29340
1987,1st Quintile,Slightly Expensive,0.11330,134,718,0.09010,0.13650
1987,1st Quintile,Too Expensive,0.04710,57,718,0.03159,0.06260
1987,2nd Quintile,Very Inexpensive,0.08424,65,701,0.06366,0.10481
1987,2nd Quintile,Inexpensive,0.19782,204,701,0.16831,0.22733
1987,2nd Quintile,Reasonable,0.27627,287,701,0.24314,0.30939
1987,2nd Quintile,Slightly Expensive,0.09034,108,701,0.06910,0.11158
1987,2nd Quintile,Too Expensive,0.02492,37,701,0.01337,0.03647
1987,3rd Quintile,Very Inexpensive,0.07382,66,630,0.05339,0.09426
1987,3rd Quintile,Inexpensive,0.16023,175,630,0.13157,0.18890
1987,3rd Quintile,Reasonable,0.27798,283,630,0.24297,0.31299
1987,3rd Quintile,Slightly Expensive,0.07097,106,630,0.05091,0.09104
1987,4th Quintile,Very Inexpensive,0.05585,51,569,0.03697,0.07474
1987,4th Quintile,Inexpensive,0.16287,171,569,0.13250,0.19324
1987,4th Quintile,Reasonable,0.23060,256,569,0.19596,0.26524
