year,sampreg,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Very Inexpensive,0.04861,282,3708,0.04169,0.05553
1984,West,Inexpensive,0.15298,937,3708,0.14139,0.16457
1984,West,Reasonable,0.25493,1617,3708,0.24090,0.26896
1984,West,Slightly Expensive,0.08609,653,3708,0.07706,0.09512
1984,West,Too Expensive,0.02696,219,3708,0.02175,0.03218
1985,West,Very Inexpensive,0.06977,337,3374,0.06118,0.07837
1985,West,Inexpensive,0.14786,809,3374,0.13588,0.15984
1985,West,Reasonable,0.26040,1467,3374,0.24559,0.27521
1985,West,Slightly Expensive,0.09002,577,3374,0.08036,0.09968
1985,West,Too Expensive,0.02368,184,3374,0.01855,0.02881
1986,West,Very Inexpensive,0.06779,308,3172,0.05904,0.07654
1986,West,Inexpensive,0.16883,836,3172,0.15579,0.18187
1986,West,Reasonable,0.24865,1337,3172,0.23361,0.26370
1986,West,Slightly Expensive,0.08360,509,3172,0.07396,0.09323
1986,West,Too Expensive,0.02761,182,3172,0.02190,0.03331
1987,West,Very Inexpensive,0.06997,301,3116,0.06101,0.07893
1987,West,Inexpensive,0.16602,847,3116,0.15295,0.17908
1987,West,Reasonable,0.25523,1310,3116,0.23992,0.27054
1987,West,Slightly Expensive,0.08230,498,3116,0.07265,0.09195
1987,West,Too Expensive,0.02461,160,3116,0.01917,0.03005
1988,West,Very Inexpensive,0.07137,311,2985,0.06213,0.08060
1988,West,Inexpensive,0.16504,794,2985,0.15172,0.17836
1988,West,Reasonable,0.25017,1271,2985,0.23463,0.26571
1988,West,Slightly Expensive,0.08659,476,2985,0.07650,0.09668
1988,West,Too Expensive,0.01947,133,2985,0.01451,0.02443
1989,West,Very Inexpensive,0.07597,323,2906,0.06633,0.08560
1989,West,Inexpensive,0.17157,838,2906,0.15786,0.18528
1989,West,Reasonable,0.24355,1166,2906,0.22794,0.25916
1989,West,Slightly Expensive,0.07808,457,2906,0.06832,0.08783
1989,West,Too Expensive,0.02110,122,2906,0.01587,0.02633
1990,West,Very Inexpensive,0.07827,336,2817,0.06835,0.08819
1990,West,Inexpensive,0.18243,873,2817,0.16816,0.19669
1990,West,Reasonable,0.23610,1115,2817,0.22041,0.25179
1990,West,Slightly Expensive,0.07135,379,2817,0.06184,0.08085
1990,West,Too Expensive,0.01761,114,2817,0.01275,0.02247
1990,East,Very Inexpensive,0.16513,350,1487,0.14625,0.18401
1990,East,Inexpensive,0.24055,493,1487,0.21882,0.26228
1990,East,Reasonable,0.27521,568,1487,0.25250,0.29791
1990,East,Slightly Expensive,0.04267,76,1487,0.03239,0.05294
1991,West,Very Inexpensive,0.09137,389,2857,0.08080,0.10194
1991,West,Inexpensive,0.18538,894,2857,0.17113,0.19964
1991,West,Reasonable,0.22571,1090,2857,0.21038,0.24105
1991,West,Slightly Expensive,0.06742,374,2857,0.05823,0.07662
1991,West,Too Expensive,0.01684,110,2857,0.01212,0.02156
1991,East,Very Inexpensive,0.16758,351,1354,0.14768,0.18748
1991,East,Inexpensive,0.30582,543,1354,0.28127,0.33038
1991,East,Reasonable,0.21624,409,1354,0.19431,0.23818
1991,East,Slightly Expensive,0.02835,51,1354,0.01951,0.03720
1992,West,Very Inexpensive,0.07879,338,2737,0.06869,0.08888
1992,West,Inexpensive,0.18183,907,2737,0.16738,0.19629
1992,West,Reasonable,0.21460,1033,2737,0.19922,0.22998
1992,West,Slightly Expensive,0.06342,373,2737,0.05429,0.07255
1992,West,Too Expensive,0.01130,86,2737,0.00734,0.01526
1992,East,Inexpensive,0.10516,188,1287,0.08839,0.12193
1992,East,Reasonable,0.36666,689,1287,0.34032,0.39300
1992,East,Slightly Expensive,0.19522,355,1287,0.17356,0.21688
1992,East,Too Expensive,0.02629,55,1287,0.01754,0.03503
1993,West,Very Inexpensive,0.07028,324,2746,0.06072,0.07984
1993,West,Inexpensive,0.18422,886,2746,0.16972,0.19873
1993,West,Reasonable,0.21263,1065,2746,0.19732,0.22794
1993,West,Slightly Expensive,0.06136,371,2746,0.05238,0.07033
1993,West,Too Expensive,0.01214,100,2746,0.00804,0.01623
1993,East,Inexpensive,0.06834,117,1244,0.05431,0.08237
1993,East,Reasonable,0.32070,561,1244,0.29475,0.34665
1993,East,Slightly Expensive,0.22727,437,1244,0.20398,0.25057
