year,bula_h,quintil_oecd_hh,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,1st Quintile,Reasonable,0.31718,46,46,0.18121,0.45316
1984,North Rhine-Westphalia,1st Quintile,Inexpensive,0.18139,66,276,0.13585,0.22694
1984,North Rhine-Westphalia,1st Quintile,Reasonable,0.37284,150,276,0.31568,0.42999
1984,North Rhine-Westphalia,1st Quintile,Slightly Expensive,0.12395,60,276,0.08501,0.16290
1984,North Rhine-Westphalia,2nd Quintile,Inexpensive,0.16900,60,216,0.11891,0.21909
1984,North Rhine-Westphalia,2nd Quintile,Reasonable,0.31063,107,216,0.24877,0.37248
1984,North Rhine-Westphalia,2nd Quintile,Slightly Expensive,0.12673,49,216,0.08226,0.17120
1984,North Rhine-Westphalia,3rd Quintile,Inexpensive,0.18193,51,137,0.11709,0.24677
1984,North Rhine-Westphalia,3rd Quintile,Reasonable,0.28989,86,137,0.21364,0.36615
1984,North Rhine-Westphalia,4th Quintile,Inexpensive,0.22439,70,161,0.15975,0.28904
1984,North Rhine-Westphalia,4th Quintile,Reasonable,0.27905,91,161,0.20955,0.34855
1984,North Rhine-Westphalia,5th Quintile,Reasonable,0.27033,76,76,0.16982,0.37085
1984,Hesse,1st Quintile,Reasonable,0.30661,43,43,0.16717,0.44606
1984,Hesse,4th Quintile,Reasonable,0.27143,35,35,0.12195,0.42091
1984,Hesse,5th Quintile,Reasonable,0.24294,34,34,0.09662,0.38926
1984,Baden-Wuerttemberg,1st Quintile,Inexpensive,0.17930,33,94,0.10133,0.25726
1984,Baden-Wuerttemberg,1st Quintile,Reasonable,0.29034,61,94,0.19809,0.38260
1984,Baden-Wuerttemberg,2nd Quintile,Reasonable,0.23928,58,58,0.12852,0.35004
1984,Baden-Wuerttemberg,3rd Quintile,Inexpensive,0.19442,42,98,0.11566,0.27318
1984,Baden-Wuerttemberg,3rd Quintile,Reasonable,0.15999,56,98,0.08703,0.23294
1984,Baden-Wuerttemberg,4th Quintile,Inexpensive,0.13216,31,88,0.06100,0.20333
1984,Baden-Wuerttemberg,4th Quintile,Reasonable,0.15984,57,88,0.08283,0.23684
1984,Baden-Wuerttemberg,5th Quintile,Reasonable,0.16148,43,43,0.05019,0.27277
1984,Bavaria,1st Quintile,Inexpensive,0.17408,34,89,0.09486,0.25331
1984,Bavaria,1st Quintile,Reasonable,0.27051,55,89,0.17769,0.36332
1984,Bavaria,2nd Quintile,Reasonable,0.24383,53,53,0.12712,0.36054
1984,Bavaria,3rd Quintile,Inexpensive,0.19625,42,83,0.11029,0.28221
1984,Bavaria,3rd Quintile,Reasonable,0.17304,41,83,0.09116,0.25491
1984,Bavaria,4th Quintile,Reasonable,0.21332,50,50,0.09862,0.32802
1985,Lower Saxony,1st Quintile,Reasonable,0.29273,35,35,0.13978,0.44568
1985,North Rhine-Westphalia,1st Quintile,Inexpensive,0.17555,63,240,0.12732,0.22379
1985,North Rhine-Westphalia,1st Quintile,Reasonable,0.38731,127,240,0.32555,0.44907
1985,North Rhine-Westphalia,1st Quintile,Slightly Expensive,0.13056,50,240,0.08785,0.17328
1985,North Rhine-Westphalia,2nd Quintile,Inexpensive,0.20378,71,177,0.14427,0.26329
1985,North Rhine-Westphalia,2nd Quintile,Reasonable,0.32355,106,177,0.25443,0.39267
1985,North Rhine-Westphalia,3rd Quintile,Inexpensive,0.17750,45,120,0.10885,0.24616
1985,North Rhine-Westphalia,3rd Quintile,Reasonable,0.30429,75,120,0.22162,0.38696
1985,North Rhine-Westphalia,4th Quintile,Inexpensive,0.19152,53,129,0.12335,0.25968
1985,North Rhine-Westphalia,4th Quintile,Reasonable,0.27655,76,129,0.19906,0.35404
1985,North Rhine-Westphalia,5th Quintile,Inexpensive,0.12015,31,91,0.05298,0.18732
1985,North Rhine-Westphalia,5th Quintile,Reasonable,0.21781,60,91,0.13254,0.30309
1985,Hesse,1st Quintile,Reasonable,0.24455,35,35,0.10007,0.38903
1985,Hesse,4th Quintile,Reasonable,0.22375,31,31,0.07462,0.37288
1985,Baden-Wuerttemberg,1st Quintile,Reasonable,0.20577,52,52,0.09482,0.31672
1985,Baden-Wuerttemberg,2nd Quintile,Inexpensive,0.21321,38,94,0.12997,0.29646
1985,Baden-Wuerttemberg,2nd Quintile,Reasonable,0.21276,56,94,0.12958,0.29594
1985,Baden-Wuerttemberg,3rd Quintile,Inexpensive,0.15644,40,99,0.08452,0.22837
1985,Baden-Wuerttemberg,3rd Quintile,Reasonable,0.19295,59,99,0.11482,0.27108
1985,Baden-Wuerttemberg,4th Quintile,Reasonable,0.21253,52,52,0.10025,0.32481
1985,Baden-Wuerttemberg,5th Quintile,Reasonable,0.19867,32,32,0.05821,0.33913
1985,Bavaria,1st Quintile,Reasonable,0.25601,38,38,0.11538,0.39663
1985,Bavaria,2nd Quintile,Reasonable,0.24338,47,47,0.11937,0.36739
1985,Bavaria,3rd Quintile,Reasonable,0.23387,41,41,0.10269,0.36505
1985,Bavaria,4th Quintile,Reasonable,0.21900,45,45,0.09680,0.34120
1985,Bavaria,5th Quintile,Reasonable,0.17021,37,37,0.04745,0.29298
1986,North Rhine-Westphalia,1st Quintile,Inexpensive,0.18888,59,222,0.13728,0.24049
1986,North Rhine-Westphalia,1st Quintile,Reasonable,0.35135,107,222,0.28841,0.41429
1986,North Rhine-Westphalia,1st Quintile,Slightly Expensive,0.16176,56,222,0.11321,0.21031
1986,North Rhine-Westphalia,2nd Quintile,Inexpensive,0.16624,48,169,0.10994,0.22253
1986,North Rhine-Westphalia,2nd Quintile,Reasonable,0.31820,87,169,0.24776,0.38863
1986,North Rhine-Westphalia,2nd Quintile,Slightly Expensive,0.09988,34,169,0.05454,0.14522
1986,North Rhine-Westphalia,3rd Quintile,Inexpensive,0.21321,61,143,0.14585,0.28058
1986,North Rhine-Westphalia,3rd Quintile,Reasonable,0.30218,82,143,0.22665,0.37771
1986,North Rhine-Westphalia,4th Quintile,Inexpensive,0.16686,49,127,0.10176,0.23197
1986,North Rhine-Westphalia,4th Quintile,Reasonable,0.27840,78,127,0.20014,0.35666
1986,North Rhine-Westphalia,5th Quintile,Reasonable,0.29781,71,71,0.19068,0.40493
1986,Hesse,1st Quintile,Reasonable,0.21405,32,32,0.06966,0.35843
1986,Baden-Wuerttemberg,1st Quintile,Reasonable,0.25042,53,53,0.13266,0.36817
1986,Baden-Wuerttemberg,2nd Quintile,Reasonable,0.28593,62,62,0.17253,0.39932
1986,Baden-Wuerttemberg,3rd Quintile,Inexpensive,0.18879,39,95,0.10968,0.26791
1986,Baden-Wuerttemberg,3rd Quintile,Reasonable,0.22084,56,95,0.13698,0.30470
