year,rentown,sampreg,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Tenant,West,Very Inexpensive,0.08119,282,3708,0.07240,0.08998
1984,Tenant,West,Inexpensive,0.25552,937,3708,0.24148,0.26956
1984,Tenant,West,Reasonable,0.42580,1617,3708,0.40988,0.44171
1984,Tenant,West,Slightly Expensive,0.14379,653,3708,0.13250,0.15509
1984,Tenant,West,Too Expensive,0.04504,219,3708,0.03836,0.05171
1985,Tenant,West,Very Inexpensive,0.11617,337,3374,0.10535,0.12698
1985,Tenant,West,Inexpensive,0.24617,809,3374,0.23163,0.26071
1985,Tenant,West,Reasonable,0.43354,1467,3374,0.41682,0.45027
1985,Tenant,West,Slightly Expensive,0.14988,577,3374,0.13783,0.16192
1985,Tenant,West,Too Expensive,0.03942,184,3374,0.03286,0.04599
1986,Tenant,West,Very Inexpensive,0.11248,308,3172,0.10149,0.12348
1986,Tenant,West,Inexpensive,0.28014,836,3172,0.26451,0.29577
1986,Tenant,West,Reasonable,0.41259,1337,3172,0.39545,0.42972
1986,Tenant,West,Slightly Expensive,0.13871,509,3172,0.12668,0.15074
1986,Tenant,West,Too Expensive,0.04581,182,3172,0.03853,0.05309
1987,Tenant,West,Very Inexpensive,0.11564,301,3116,0.10441,0.12687
1987,Tenant,West,Inexpensive,0.27437,847,3116,0.25870,0.29004
1987,Tenant,West,Reasonable,0.42181,1310,3116,0.40447,0.43915
1987,Tenant,West,Slightly Expensive,0.13601,498,3116,0.12397,0.14804
1987,Tenant,West,Too Expensive,0.04067,160,3116,0.03373,0.04760
1988,Tenant,West,Very Inexpensive,0.11844,311,2985,0.10685,0.13004
1988,Tenant,West,Inexpensive,0.27390,794,2985,0.25790,0.28991
1988,Tenant,West,Reasonable,0.41519,1271,2985,0.39751,0.43287
1988,Tenant,West,Slightly Expensive,0.14371,476,2985,0.13112,0.15629
1988,Tenant,West,Too Expensive,0.03231,133,2985,0.02597,0.03866
1989,Tenant,West,Very Inexpensive,0.12697,323,2906,0.11486,0.13908
1989,Tenant,West,Inexpensive,0.28676,838,2906,0.27032,0.30321
1989,Tenant,West,Reasonable,0.40709,1166,2906,0.38922,0.42495
1989,Tenant,West,Slightly Expensive,0.13050,457,2906,0.11825,0.14275
1989,Tenant,West,Too Expensive,0.03527,122,2906,0.02856,0.04198
1990,Tenant,West,Very Inexpensive,0.13155,336,2817,0.11906,0.14403
1990,Tenant,West,Inexpensive,0.30661,873,2817,0.28958,0.32364
1990,Tenant,West,Reasonable,0.39682,1115,2817,0.37875,0.41489
1990,Tenant,West,Slightly Expensive,0.11991,379,2817,0.10792,0.13191
1990,Tenant,West,Too Expensive,0.02960,114,2817,0.02334,0.03586
1990,Tenant,East,Very Inexpensive,0.22332,350,1487,0.20214,0.24449
1990,Tenant,East,Inexpensive,0.32532,493,1487,0.30150,0.34914
1990,Tenant,East,Reasonable,0.37218,568,1487,0.34761,0.39676
1990,Tenant,East,Slightly Expensive,0.05770,76,1487,0.04585,0.06956
1991,Tenant,West,Very Inexpensive,0.15369,389,2857,0.14047,0.16692
1991,Tenant,West,Inexpensive,0.31183,894,2857,0.29484,0.32882
1991,Tenant,West,Reasonable,0.37967,1090,2857,0.36187,0.39746
1991,Tenant,West,Slightly Expensive,0.11341,374,2857,0.10178,0.12504
1991,Tenant,West,Too Expensive,0.02832,110,2857,0.02224,0.03441
1991,Tenant,East,Very Inexpensive,0.22752,351,1354,0.20518,0.24986
1991,Tenant,East,Inexpensive,0.41521,543,1354,0.38896,0.44147
1991,Tenant,East,Reasonable,0.29359,409,1354,0.26933,0.31786
1991,Tenant,East,Slightly Expensive,0.03849,51,1354,0.02824,0.04875
1992,Tenant,West,Very Inexpensive,0.13422,338,2737,0.12145,0.14699
1992,Tenant,West,Inexpensive,0.30977,907,2737,0.29244,0.32710
1992,Tenant,West,Reasonable,0.36559,1033,2737,0.34755,0.38364
1992,Tenant,West,Slightly Expensive,0.10804,373,2737,0.09641,0.11967
1992,Tenant,West,Too Expensive,0.01925,86,2737,0.01410,0.02440
1992,Tenant,East,Inexpensive,0.14177,188,1287,0.12270,0.16083
1992,Tenant,East,Reasonable,0.49430,689,1287,0.46698,0.52163
1992,Tenant,East,Slightly Expensive,0.26318,355,1287,0.23911,0.28725
1992,Tenant,East,Too Expensive,0.03544,55,1287,0.02533,0.04554
1993,Tenant,West,Very Inexpensive,0.12058,324,2746,0.10840,0.13276
1993,Tenant,West,Inexpensive,0.31608,886,2746,0.29869,0.33347
1993,Tenant,West,Reasonable,0.36482,1065,2746,0.34681,0.38283
1993,Tenant,West,Slightly Expensive,0.10527,371,2746,0.09379,0.11675
1993,Tenant,West,Too Expensive,0.02082,100,2746,0.01548,0.02617
1993,Tenant,East,Inexpensive,0.09353,117,1244,0.07734,0.10971
1993,Tenant,East,Reasonable,0.43891,561,1244,0.41132,0.46650
1993,Tenant,East,Slightly Expensive,0.31104,437,1244,0.28531,0.33678
1993,Tenant,East,Too Expensive,0.09596,129,1244,0.07959,0.11234
1994,Tenant,West,Very Inexpensive,0.12026,310,2717,0.10802,0.13249
1994,Tenant,West,Inexpensive,0.29219,822,2717,0.27509,0.30929
1994,Tenant,West,Reasonable,0.38971,1101,2717,0.37137,0.40805
1994,Tenant,West,Slightly Expensive,0.10579,387,2717,0.09422,0.11736
