year,bula_h,hhtyp,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,Single-person household,Reasonable,0.33584,41,41,0.18948,0.48220
1984,Lower Saxony,Couple with children,Inexpensive,0.12806,34,81,0.05484,0.20129
1984,Lower Saxony,Couple with children,Reasonable,0.15119,47,81,0.07268,0.22969
1984,North Rhine-Westphalia,Single-person household,Inexpensive,0.20485,80,251,0.15482,0.25487
1984,North Rhine-Westphalia,Single-person household,Reasonable,0.36102,126,251,0.30148,0.42056
1984,North Rhine-Westphalia,Single-person household,Slightly Expensive,0.10858,45,251,0.07001,0.14714
1984,North Rhine-Westphalia,Couple without children,Inexpensive,0.16659,63,222,0.11746,0.21572
1984,North Rhine-Westphalia,Couple without children,Reasonable,0.32366,120,222,0.26198,0.38535
1984,North Rhine-Westphalia,Couple without children,Slightly Expensive,0.09186,39,222,0.05378,0.12994
1984,North Rhine-Westphalia,Couple with children,Very Inexpensive,0.04797,33,444,0.02807,0.06787
1984,North Rhine-Westphalia,Couple with children,Inexpensive,0.15315,113,444,0.11961,0.18669
1984,North Rhine-Westphalia,Couple with children,Reasonable,0.24727,222,444,0.20709,0.28744
1984,North Rhine-Westphalia,Couple with children,Slightly Expensive,0.05917,76,444,0.03720,0.08114
1984,Hesse,Single-person household,Reasonable,0.34813,41,41,0.20050,0.49576
1984,Hesse,Couple without children,Reasonable,0.22689,38,38,0.09194,0.36184
1984,Hesse,Couple with children,Inexpensive,0.13720,43,153,0.08251,0.19190
1984,Hesse,Couple with children,Reasonable,0.21812,72,153,0.15247,0.28377
1984,Hesse,Couple with children,Slightly Expensive,0.07339,38,153,0.03193,0.11485
1984,Baden-Wuerttemberg,Single-person household,Inexpensive,0.17050,41,101,0.09679,0.24421
1984,Baden-Wuerttemberg,Single-person household,Reasonable,0.27662,60,101,0.18894,0.36429
1984,Baden-Wuerttemberg,Couple without children,Reasonable,0.16153,47,47,0.05518,0.26789
1984,Baden-Wuerttemberg,Couple with children,Inexpensive,0.15180,84,284,0.10999,0.19360
1984,Baden-Wuerttemberg,Couple with children,Reasonable,0.14566,138,284,0.10456,0.18676
1984,Baden-Wuerttemberg,Couple with children,Slightly Expensive,0.03925,62,284,0.01663,0.06188
1984,Bavaria,Single-person household,Inexpensive,0.17114,33,82,0.08912,0.25316
1984,Bavaria,Single-person household,Reasonable,0.24261,49,82,0.14926,0.33596
1984,Bavaria,Couple without children,Inexpensive,0.14202,36,88,0.06867,0.21537
1984,Bavaria,Couple without children,Reasonable,0.18994,52,88,0.10752,0.27237
1984,Bavaria,Couple with children,Inexpensive,0.09877,59,206,0.05793,0.13961
1984,Bavaria,Couple with children,Reasonable,0.17040,100,206,0.11893,0.22187
1984,Bavaria,Couple with children,Slightly Expensive,0.06321,47,206,0.02990,0.09652
1985,Lower Saxony,Single-person household,Reasonable,0.35750,39,39,0.20512,0.50989
1985,Lower Saxony,Couple without children,Reasonable,0.25583,35,35,0.10916,0.40249
1985,Lower Saxony,Couple with children,Reasonable,0.13785,35,35,0.02197,0.25374
1985,North Rhine-Westphalia,Single-person household,Very Inexpensive,0.10460,32,260,0.06733,0.14187
1985,North Rhine-Westphalia,Single-person household,Inexpensive,0.20043,64,260,0.15168,0.24919
1985,North Rhine-Westphalia,Single-person household,Reasonable,0.38105,125,260,0.32191,0.44020
1985,North Rhine-Westphalia,Single-person household,Slightly Expensive,0.09830,39,260,0.06204,0.13456
1985,North Rhine-Westphalia,Couple without children,Inexpensive,0.18176,59,196,0.12764,0.23589
1985,North Rhine-Westphalia,Couple without children,Reasonable,0.31668,105,196,0.25139,0.38197
1985,North Rhine-Westphalia,Couple without children,Slightly Expensive,0.08488,32,196,0.04576,0.12399
1985,North Rhine-Westphalia,Couple with children,Very Inexpensive,0.05170,33,384,0.02952,0.07387
1985,North Rhine-Westphalia,Couple with children,Inexpensive,0.16525,126,384,0.12805,0.20244
1985,North Rhine-Westphalia,Couple with children,Reasonable,0.21097,168,384,0.17011,0.25184
1985,North Rhine-Westphalia,Couple with children,Slightly Expensive,0.06084,57,384,0.03690,0.08478
1985,Hesse,Couple without children,Reasonable,0.19538,31,31,0.05350,0.33726
1985,Hesse,Couple with children,Inexpensive,0.15034,39,104,0.08132,0.21937
1985,Hesse,Couple with children,Reasonable,0.17871,65,104,0.10473,0.25270
1985,"Rhineland-Palatinate, Saarland",Couple with children,Reasonable,0.15924,31,31,0.02830,0.29017
1985,Baden-Wuerttemberg,Single-person household,Inexpensive,0.19590,35,83,0.11000,0.28181
1985,Baden-Wuerttemberg,Single-person household,Reasonable,0.25909,48,83,0.16426,0.35393
1985,Baden-Wuerttemberg,Couple without children,Reasonable,0.21910,52,52,0.10557,0.33262
1985,Baden-Wuerttemberg,Couple with children,Inexpensive,0.12576,71,256,0.08506,0.16646
1985,Baden-Wuerttemberg,Couple with children,Reasonable,0.15085,132,256,0.10692,0.19478
1985,Baden-Wuerttemberg,Couple with children,Slightly Expensive,0.06781,53,256,0.03695,0.09867
1985,Bavaria,Single-person household,Inexpensive,0.18171,32,88,0.10068,0.26274
1985,Bavaria,Single-person household,Reasonable,0.34007,56,88,0.24053,0.43962
1985,Bavaria,Couple without children,Inexpensive,0.15279,32,88,0.07718,0.22839
1985,Bavaria,Couple without children,Reasonable,0.22114,56,88,0.13393,0.30835
1985,Bavaria,Couple with children,Inexpensive,0.07503,39,172,0.03555,0.11452
1985,Bavaria,Couple with children,Reasonable,0.14569,82,172,0.09281,0.19857
1985,Bavaria,Couple with children,Slightly Expensive,0.08328,51,172,0.04187,0.12469
1985,Berlin,Single-person household,Reasonable,0.50694,37,37,0.34362,0.67025
1986,Lower Saxony,Couple without children,Reasonable,0.25373,40,40,0.11716,0.39030
1986,North Rhine-Westphalia,Single-person household,Inexpensive,0.17900,53,211,0.12715,0.23085
1986,North Rhine-Westphalia,Single-person household,Reasonable,0.40197,110,211,0.33565,0.46828
1986,North Rhine-Westphalia,Single-person household,Slightly Expensive,0.12667,48,211,0.08169,0.17166
1986,North Rhine-Westphalia,Couple without children,Inexpensive,0.23047,75,174,0.16771,0.29323
1986,North Rhine-Westphalia,Couple without children,Reasonable,0.27703,99,174,0.21034,0.34372
1986,North Rhine-Westphalia,Couple with children,Very Inexpensive,0.06668,36,372,0.04130,0.09207
1986,North Rhine-Westphalia,Couple with children,Inexpensive,0.13743,99,372,0.10240,0.17247
1986,North Rhine-Westphalia,Couple with children,Reasonable,0.22999,171,372,0.18717,0.27281
1986,North Rhine-Westphalia,Couple with children,Slightly Expensive,0.07302,66,372,0.04655,0.09950
1986,Hesse,Single-person household,Reasonable,0.29324,32,32,0.13298,0.45349
1986,Hesse,Couple with children,Inexpensive,0.21399,44,122,0.14091,0.28707
1986,Hesse,Couple with children,Reasonable,0.13419,46,122,0.07345,0.19492
1986,Hesse,Couple with children,Slightly Expensive,0.08743,32,122,0.03710,0.13776
1986,Baden-Wuerttemberg,Single-person household,Reasonable,0.26910,51,51,0.14617,0.39203
1986,Baden-Wuerttemberg,Couple without children,Reasonable,0.22997,52,52,0.11447,0.34546
1986,Baden-Wuerttemberg,Couple with children,Inexpensive,0.15086,73,243,0.10577,0.19596
1986,Baden-Wuerttemberg,Couple with children,Reasonable,0.17977,125,243,0.13139,0.22815
1986,Baden-Wuerttemberg,Couple with children,Slightly Expensive,0.04830,45,243,0.02129,0.07532
1986,Bavaria,Single-person household,Inexpensive,0.25314,40,87,0.16124,0.34504
1986,Bavaria,Single-person household,Reasonable,0.26290,47,87,0.16986,0.35593
1986,Bavaria,Couple without children,Inexpensive,0.17968,38,75,0.09220,0.26715
1986,Bavaria,Couple without children,Reasonable,0.15655,37,75,0.07376,0.23935
1986,Bavaria,Couple with children,Inexpensive,0.13925,54,121,0.07731,0.20120
1986,Bavaria,Couple with children,Reasonable,0.12351,67,121,0.06464,0.18238
1986,Berlin,Single-person household,Reasonable,0.53088,37,37,0.36786,0.69390
1987,Lower Saxony,Single-person household,Reasonable,0.33319,34,34,0.17236,0.49401
1987,Lower Saxony,Couple with children,Reasonable,0.14871,31,31,0.02139,0.27604
1987,North Rhine-Westphalia,Single-person household,Inexpensive,0.24076,72,212,0.18307,0.29845
1987,North Rhine-Westphalia,Single-person household,Reasonable,0.36000,105,212,0.29523,0.42476
1987,North Rhine-Westphalia,Single-person household,Slightly Expensive,0.10226,35,212,0.06138,0.14315
1987,North Rhine-Westphalia,Couple without children,Inexpensive,0.14491,52,151,0.08858,0.20125
1987,North Rhine-Westphalia,Couple without children,Reasonable,0.30899,99,151,0.23504,0.38294
1987,North Rhine-Westphalia,Couple with children,Inexpensive,0.15928,104,334,0.11998,0.19859
1987,North Rhine-Westphalia,Couple with children,Reasonable,0.22461,169,334,0.17978,0.26943
1987,North Rhine-Westphalia,Couple with children,Slightly Expensive,0.07942,61,334,0.05038,0.10846
1987,Hesse,Single-person household,Reasonable,0.37569,34,34,0.21045,0.54093
1987,Hesse,Couple without children,Reasonable,0.25488,31,31,0.09893,0.41082
1987,Hesse,Couple with children,Inexpensive,0.12566,38,102,0.06102,0.19031
1987,Hesse,Couple with children,Reasonable,0.24642,64,102,0.16238,0.33046
1987,Baden-Wuerttemberg,Single-person household,Inexpensive,0.18771,33,71,0.09624,0.27919
1987,Baden-Wuerttemberg,Single-person household,Reasonable,0.21528,38,71,0.11899,0.31157
1987,Baden-Wuerttemberg,Couple without children,Inexpensive,0.17236,34,69,0.08259,0.26213
1987,Baden-Wuerttemberg,Couple without children,Reasonable,0.14605,35,69,0.06211,0.22999
1987,Baden-Wuerttemberg,Couple with children,Inexpensive,0.14091,78,238,0.09661,0.18521
1987,Baden-Wuerttemberg,Couple with children,Reasonable,0.20039,119,238,0.14943,0.25135
1987,Baden-Wuerttemberg,Couple with children,Slightly Expensive,0.04847,41,238,0.02113,0.07581
1987,Bavaria,Single-person household,Inexpensive,0.17787,31,86,0.09658,0.25917
1987,Bavaria,Single-person household,Reasonable,0.30721,55,86,0.20914,0.40529
1987,Bavaria,Couple without children,Inexpensive,0.20617,43,86,0.12016,0.29217
1987,Bavaria,Couple without children,Reasonable,0.20876,43,86,0.12236,0.29516
1987,Bavaria,Couple with children,Inexpensive,0.12481,58,125,0.06664,0.18299
1987,Bavaria,Couple with children,Reasonable,0.13306,67,125,0.07328,0.19284
1987,Berlin,Single-person household,Reasonable,0.58587,38,38,0.42716,0.74459
1988,Lower Saxony,Single-person household,Reasonable,0.39602,38,38,0.23843,0.55361
1988,Lower Saxony,Couple without children,Reasonable,0.25204,35,35,0.10609,0.39798
1988,North Rhine-Westphalia,Single-person household,Inexpensive,0.20792,58,188,0.14975,0.26608
1988,North Rhine-Westphalia,Single-person household,Reasonable,0.33082,89,188,0.26339,0.39826
1988,North Rhine-Westphalia,Single-person household,Slightly Expensive,0.13441,41,188,0.08553,0.18330
1988,North Rhine-Westphalia,Couple without children,Inexpensive,0.19865,62,170,0.13850,0.25881
1988,North Rhine-Westphalia,Couple without children,Reasonable,0.31922,108,170,0.24894,0.38951
1988,North Rhine-Westphalia,Couple with children,Very Inexpensive,0.06523,35,340,0.03895,0.09152
1988,North Rhine-Westphalia,Couple with children,Inexpensive,0.15328,90,340,0.11493,0.19164
1988,North Rhine-Westphalia,Couple with children,Reasonable,0.23217,164,340,0.18722,0.27712
1988,North Rhine-Westphalia,Couple with children,Slightly Expensive,0.05120,51,340,0.02773,0.07466
1988,Hesse,Couple with children,Inexpensive,0.17811,44,96,0.10117,0.25505
1988,Hesse,Couple with children,Reasonable,0.17795,52,96,0.10104,0.25486
1988,Baden-Wuerttemberg,Single-person household,Inexpensive,0.18770,36,80,0.10159,0.27381
1988,Baden-Wuerttemberg,Single-person household,Reasonable,0.24987,44,80,0.15440,0.34534
1988,Baden-Wuerttemberg,Couple without children,Inexpensive,0.15489,39,81,0.07561,0.23417
1988,Baden-Wuerttemberg,Couple without children,Reasonable,0.16337,42,81,0.08236,0.24439
