year,bula_h,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Niedersachsen,inadequately,48,2.221133755513654,1.5700140413869703,2.8722534696403375,0.0,0.0,3.0,0.0,7.5,0.0,-2.0,0.0
1985,Niedersachsen,general elemantary,299,0.4447789851310615,0.3469679173535586,0.5425900529085644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Niedersachsen,middle vocational,541,1.1880390609732299,1.0761993044586615,1.2998788174877982,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1985,Niedersachsen,vocational + Abi,,,,,,,,,,,,
1985,Niedersachsen,higher vocational,72,0.9836583493909363,0.7237008118730566,1.243615886908816,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1985,Niedersachsen,higher education,74,1.4172374561018934,1.0462050303966228,1.788269881807164,0.0,0.0,1.7189962331349886,0.0,4.297490582837471,0.0,0.0,0.0
1985,Bremen,inadequately,,,,,,,,,,,,
1985,Bremen,general elemantary,35,0.558963735569109,0.27213207372026404,0.8457953974179541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Bremen,middle vocational,66,0.5364636472014721,0.369029368758538,0.7038979256444062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Bremen,vocational + Abi,,,,,,,,,,,,
1985,Bremen,higher vocational,,,,,,,,,,,,
1985,Bremen,higher education,,,,,,,,,,,,
1985,Nordrhein-Westfalen,in school,33,0.28003854319517685,0.09141934543416505,0.4686577409561886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Nordrhein-Westfalen,inadequately,250,1.8440168998148678,1.605166011478345,2.0828677881513906,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1985,Nordrhein-Westfalen,general elemantary,719,0.7984653718092678,0.7194298759421727,0.8775008676763629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Nordrhein-Westfalen,middle vocational,1393,1.0637060953811104,0.9984094073732299,1.1290027833889908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Nordrhein-Westfalen,vocational + Abi,86,0.6378709348680274,0.4248558382549587,0.850886031481096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Nordrhein-Westfalen,higher vocational,151,1.700287982490199,1.4349882237448282,1.96558774123557,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1985,Nordrhein-Westfalen,higher education,222,1.3555182204979794,1.1714948884803367,1.5395415525156222,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1985,Hessen,in school,,,,,,,,,,,,
1985,Hessen,inadequately,90,1.3162170439582164,1.0826664368436298,1.549767651072803,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1985,Hessen,general elemantary,313,0.7026254646117746,0.5772294114286389,0.8280215177949102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Hessen,middle vocational,516,1.0398237846037677,0.9285962817660782,1.1510512874414571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Hessen,vocational + Abi,30,1.4737345394943941,0.8699929724259372,2.077476106562851,0.0,0.0,0.1152391791582715,0.0,0.2880979478956788,0.0,0.0,0.0
1985,Hessen,higher vocational,52,1.2704799035548522,0.8834965935270341,1.6574632135826701,0.0,0.0,0.8332995411933115,0.0,2.083248852983279,0.0,0.0,0.0
1985,Hessen,higher education,91,1.2797283973925948,0.9849805805605021,1.5744762142246875,0.0,0.0,1.0184950850614827,0.0,2.5462377126537064,0.0,0.0,0.0
1985,"Rheinland-Pfalz,Saarland",in school,,,,,,,,,,,,
1985,"Rheinland-Pfalz,Saarland",inadequately,51,1.2510463356667594,0.882689853153942,1.6194028181795768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,"Rheinland-Pfalz,Saarland",general elemantary,252,0.7190642250616145,0.6009655063614879,0.837162943761741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,"Rheinland-Pfalz,Saarland",middle vocational,353,0.8104880404667263,0.7049374376662992,0.9160386432671533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,"Rheinland-Pfalz,Saarland",vocational + Abi,,,,,,,,,,,,
1985,"Rheinland-Pfalz,Saarland",higher vocational,35,1.5399367841778204,0.9747302560320031,2.1051433123236376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,"Rheinland-Pfalz,Saarland",higher education,36,1.7145605503566097,1.1629636814730606,2.266157419240159,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1985,Baden-Württemberg,in school,,,,,,,,,,,,
1985,Baden-Württemberg,inadequately,242,1.9456661623479443,1.7604303257647294,2.1309019989311593,0.0,0.0,3.0,0.0,7.5,0.0,-1.0,0.0
1985,Baden-Württemberg,general elemantary,577,0.8047134616533801,0.7175541107288451,0.8918728125779151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Baden-Württemberg,middle vocational,860,1.1344228012584783,1.0403217681087433,1.2285238344082132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Baden-Württemberg,vocational + Abi,48,0.8133624639732421,0.509766734648708,1.1169581932977761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Baden-Württemberg,higher vocational,109,1.0478634538112672,0.8129778766446574,1.282749030977877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Baden-Württemberg,higher education,112,1.1018966518784774,0.929094469770435,1.2746988339865197,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1985,Bayern,in school,,,,,,,,,,,,
1985,Bayern,inadequately,77,1.1560843297719359,0.8703039275886948,1.441864731955177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Bayern,general elemantary,508,0.8195566492667243,0.724056284528794,0.9150570140046547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
