year,pgisced97,quintil_oecd,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,-5,-6,,,,,,,,,,,,
1984,-5,1. Quintil,,,,,,,,,,,,
1984,-1,-6,,,,,,,,,,,,
1984,-1,1. Quintil,,,,,,,,,,,,
1984,-1,2. Quintil,,,,,,,,,,,,
1984,-1,3. Quintil,,,,,,,,,,,,
1984,-1,4. Quintil,,,,,,,,,,,,
1984,-1,5. Quintil,,,,,,,,,,,,
1984,in school,-6,,,,,,,,,,,,
1984,in school,1. Quintil,,,,,,,,,,,,
1984,in school,2. Quintil,,,,,,,,,,,,
1984,in school,3. Quintil,,,,,,,,,,,,
1984,in school,4. Quintil,,,,,,,,,,,,
1984,in school,5. Quintil,,,,,,,,,,,,
1984,inadequately,-6,,,,,,,,,,,,
1984,inadequately,1. Quintil,,,,,,,,,,,,
1984,inadequately,2. Quintil,,,,,,,,,,,,
1984,inadequately,3. Quintil,,,,,,,,,,,,
1984,inadequately,4. Quintil,,,,,,,,,,,,
1984,inadequately,5. Quintil,,,,,,,,,,,,
1984,general elemantary,-6,,,,,,,,,,,,
1984,general elemantary,1. Quintil,,,,,,,,,,,,
1984,general elemantary,2. Quintil,,,,,,,,,,,,
1984,general elemantary,3. Quintil,,,,,,,,,,,,
1984,general elemantary,4. Quintil,,,,,,,,,,,,
1984,general elemantary,5. Quintil,,,,,,,,,,,,
1984,middle vocational,-6,,,,,,,,,,,,
1984,middle vocational,1. Quintil,,,,,,,,,,,,
1984,middle vocational,2. Quintil,,,,,,,,,,,,
1984,middle vocational,3. Quintil,,,,,,,,,,,,
1984,middle vocational,4. Quintil,,,,,,,,,,,,
1984,middle vocational,5. Quintil,,,,,,,,,,,,
1984,vocational + Abi,1. Quintil,,,,,,,,,,,,
1984,vocational + Abi,2. Quintil,,,,,,,,,,,,
1984,vocational + Abi,3. Quintil,,,,,,,,,,,,
1984,vocational + Abi,4. Quintil,,,,,,,,,,,,
1984,vocational + Abi,5. Quintil,,,,,,,,,,,,
1984,higher vocational,1. Quintil,,,,,,,,,,,,
1984,higher vocational,2. Quintil,,,,,,,,,,,,
1984,higher vocational,3. Quintil,,,,,,,,,,,,
1984,higher vocational,4. Quintil,,,,,,,,,,,,
1984,higher vocational,5. Quintil,,,,,,,,,,,,
1984,higher education,1. Quintil,,,,,,,,,,,,
1984,higher education,2. Quintil,,,,,,,,,,,,
1984,higher education,3. Quintil,,,,,,,,,,,,
1984,higher education,4. Quintil,,,,,,,,,,,,
1984,higher education,5. Quintil,,,,,,,,,,,,
1985,-5,-6,,,,,,,,,,,,
1985,-1,-6,,,,,,,,,,,,
1985,-1,1. Quintil,0.7204449535314407,0.5083685925992867,0.9325213144635947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
1985,-1,2. Quintil,,,,,,,,,,,,
1985,-1,3. Quintil,,,,,,,,,,,,
1985,-1,4. Quintil,,,,,,,,,,,,
1985,-1,5. Quintil,,,,,,,,,,,,
1985,in school,-6,,,,,,,,,,,,
1985,in school,1. Quintil,0.024536480940020217,-0.0038939264747471745,0.052966888354787606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
1985,in school,2. Quintil,,,,,,,,,,,,
1985,in school,3. Quintil,,,,,,,,,,,,
1985,in school,4. Quintil,,,,,,,,,,,,
1985,inadequately,-6,,,,,,,,,,,,
1985,inadequately,1. Quintil,1.9869702944847911,1.8436104781476053,2.130330110821977,0.0,0.0,3.0,0.0,7.5,0.0,0.0,0.0,605.0
1985,inadequately,2. Quintil,0.6886844025706684,0.551645308242054,0.8257234968992828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0
1985,inadequately,3. Quintil,0.5844569700865543,0.3715820312966185,0.7973319088764901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
1985,inadequately,4. Quintil,,,,,,,,,,,,
1985,general elemantary,-6,,,,,,,,,,,,
1985,general elemantary,1. Quintil,0.8184850069931524,0.7712821451263694,0.8656878688599354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024.0
1985,general elemantary,2. Quintil,0.5928101896915074,0.5139563612569473,0.6716640181260676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0
1985,general elemantary,3. Quintil,0.4194156733099573,0.3115172912275169,0.5273140553923977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0
1985,general elemantary,4. Quintil,0.033295723860350096,0.007980945242105134,0.05861050247859506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
1985,general elemantary,5. Quintil,,,,,,,,,,,,
1985,middle vocational,-6,,,,,,,,,,,,
1985,middle vocational,1. Quintil,1.235187764292375,1.185905161880805,1.284470366703945,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,2729.0
1985,middle vocational,2. Quintil,0.9939003191693095,0.9296816749477558,1.0581189633908632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0
1985,middle vocational,3. Quintil,0.5935718881014344,0.5239686524730712,0.6631751237297975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0
1985,middle vocational,4. Quintil,0.387104730941915,0.28537723074540366,0.48883223113842633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0
1985,middle vocational,5. Quintil,1.431777019511675,0.9989606633687137,1.8645933756546365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0
