"religion","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","16-34 Jahre alt","maennlich","794","0.344252332088279","0.326294268179473","0.362210395997084"
"katholisch","1990","16-34 Jahre alt","weiblich","782","0.353457706997783","0.335236188634932","0.371679225360633"
"katholisch","1990","35-65 Jahre alt","maennlich","1021","0.323555118939586","0.308108960474103","0.33900127740507"
"katholisch","1990","35-65 Jahre alt","weiblich","1080","0.354054448723826","0.338314195712264","0.369794701735388"
"katholisch","1990","66 und älter","maennlich","188","0.366409531681951","0.326431750136055","0.406387313227847"
"katholisch","1990","66 und älter","weiblich","286","0.342906419363847","0.312496757817028","0.373316080910666"
"evangelisch","1990","16-34 Jahre alt","maennlich","753","0.370941818181854","0.352683910964544","0.389199725399165"
"evangelisch","1990","16-34 Jahre alt","weiblich","801","0.387326532141156","0.368758301325666","0.405894762956647"
"evangelisch","1990","35-65 Jahre alt","maennlich","1047","0.376003396141306","0.360010867471544","0.391995924811069"
"evangelisch","1990","35-65 Jahre alt","weiblich","1231","0.420722561041148","0.40447381191775","0.436971310164545"
"evangelisch","1990","66 und älter","maennlich","254","0.471584728420582","0.430165830575593","0.513003626265571"
"evangelisch","1990","66 und älter","weiblich","498","0.537790517408745","0.505850425438109","0.56973060937938"
"islamische Religionsgemeinschaft","1990","16-34 Jahre alt","maennlich","246","0.0318161212910207","0.025182430411291","0.0384498121707504"
"islamische Religionsgemeinschaft","1990","16-34 Jahre alt","weiblich","207","0.0289641058995492","0.0225716892960936","0.0353565225030048"
"islamische Religionsgemeinschaft","1990","35-65 Jahre alt","maennlich","202","0.0244598727163966","0.0193597596227135","0.0295599858100797"
"islamische Religionsgemeinschaft","1990","35-65 Jahre alt","weiblich","187","0.0200860148013996","0.0154683798937629","0.0247036497090364"
"islamische Religionsgemeinschaft","1990","66 und älter","maennlich","","","",""
"islamische Religionsgemeinschaft","1990","66 und älter","weiblich","","","",""
"konfessionslos","1990","16-34 Jahre alt","maennlich","785","0.235626612626535","0.21958612232872","0.251667102924349"
"konfessionslos","1990","16-34 Jahre alt","weiblich","721","0.204450914805142","0.18907838353948","0.219823446070803"
"konfessionslos","1990","35-65 Jahre alt","maennlich","1029","0.245447006978971","0.231238322035815","0.259655691922126"
"konfessionslos","1990","35-65 Jahre alt","weiblich","840","0.176117114044215","0.163579576506689","0.188654651581741"
"konfessionslos","1990","66 und älter","maennlich","109","0.157970677099179","0.12770970750281","0.188231646695548"
