"religion","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"katholisch","2019","66 und älter","1411","0.284648654962301","0.27246095004734","0.296836359877263"
"evangelisch","2019","16-34 Jahre alt","1576","0.276948327460661","0.266651972768428","0.287244682152895"
"evangelisch","2019","35-65 Jahre alt","4006","0.250542626042554","0.244023594738862","0.257061657346247"
"evangelisch","2019","66 und älter","1837","0.380012603076539","0.366902741854846","0.393122464298232"
"islamische Religionsgemeinschaft","2019","16-34 Jahre alt","1770","0.0964308442188913","0.0896389934161731","0.103222695021609"
"islamische Religionsgemeinschaft","2019","35-65 Jahre alt","2004","0.0485209668934126","0.0452885071868117","0.0517534266000134"
"islamische Religionsgemeinschaft","2019","66 und älter","55","0.0109517228335393","0.00814074363962882","0.0137627020274498"
"konfessionslos","2019","16-34 Jahre alt","1927","0.32557648095138","0.314794654925596","0.336358306977163"
"konfessionslos","2019","35-65 Jahre alt","6174","0.398986399733489","0.391619411413058","0.406353388053921"
"konfessionslos","2019","66 und älter","1831","0.293227577508917","0.280931973507542","0.305523181510293"
"andere","2019","16-34 Jahre alt","589","0.0400377233739253","0.035526843884636","0.0445486028632147"
"andere","2019","35-65 Jahre alt","951","0.0429351449682086","0.0398855234983434","0.0459847664380739"
"andere","2019","66 und älter","132","0.0311594416187032","0.0264666782831976","0.0358522049542088"
