"religion","year","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","4151","0.344175072797256","0.336276657231525","0.352073488362986"
"evangelisch","1990","4585","0.412359212887047","0.404175504786015","0.420542920988079"
"islamische Religionsgemeinschaft","1990","848","0.021230334746672","0.018833848257035","0.023626821236309"
"konfessionslos","1990","3623","0.198839624203448","0.192204218050049","0.205475030356846"
"andere","1990","692","0.0233957553655778","0.0208828035974968","0.0259087071336589"
"katholisch","1991","212","0.0543571252837388","0.0474848614391793","0.0612293891282984"
"evangelisch","1991","1125","0.285563657918084","0.271872466432745","0.299254849403423"
"islamische Religionsgemeinschaft","1991","","","",""
"konfessionslos","1991","2815","0.653217318901378","0.638790667009365","0.667643970793391"
"andere","1991","","","",""
"katholisch","1992","","","",""
"evangelisch","1992","","","",""
"islamische Religionsgemeinschaft","1992","","","",""
"konfessionslos","1992","","","",""
"andere","1992","","","",""
"katholisch","1993","","","",""
"evangelisch","1993","","","",""
"islamische Religionsgemeinschaft","1993","","","",""
"konfessionslos","1993","","","",""
"andere","1993","","","",""
"katholisch","1994","","","",""
"evangelisch","1994","","","",""
"islamische Religionsgemeinschaft","1994","","","",""
"konfessionslos","1994","","","",""
"andere","1994","","","",""
"katholisch","1995","","","",""
"evangelisch","1995","","","",""
"islamische Religionsgemeinschaft","1995","","","",""
"konfessionslos","1995","","","",""
"andere","1995","","","",""
"katholisch","1996","","","",""
"evangelisch","1996","","","",""
"islamische Religionsgemeinschaft","1996","","","",""
"konfessionslos","1996","","","",""
"andere","1996","","","",""
"katholisch","1997","3795","0.329925782202681","0.321788954401012","0.338062610004349"
"evangelisch","1997","3857","0.359304465481118","0.35100131900216","0.367607611960077"
"islamische Religionsgemeinschaft","1997","","","",""
"konfessionslos","1997","3839","0.25476293565257","0.247222422719371","0.262303448585768"
"andere","1997","1336","0.0560068166636314","0.052027665689491","0.0599859676377718"
"katholisch","1998","","","",""
"evangelisch","1998","","","",""
"islamische Religionsgemeinschaft","1998","","","",""
"konfessionslos","1998","","","",""
"andere","1998","","","",""
"katholisch","1999","","","",""
"evangelisch","1999","","","",""
"islamische Religionsgemeinschaft","1999","","","",""
"konfessionslos","1999","","","",""
"andere","1999","","","",""
"katholisch","2000","","","",""
"evangelisch","2000","","","",""
"islamische Religionsgemeinschaft","2000","","","",""
"konfessionslos","2000","","","",""
"andere","2000","","","",""
"katholisch","2001","","","",""
"evangelisch","2001","","","",""
"islamische Religionsgemeinschaft","2001","","","",""
"konfessionslos","2001","","","",""
"andere","2001","","","",""
"katholisch","2002","","","",""
"evangelisch","2002","","","",""
"islamische Religionsgemeinschaft","2002","","","",""
"konfessionslos","2002","","","",""
"andere","2002","","","",""
"katholisch","2003","6620","0.315946158662166","0.30982457348702","0.322067743837312"
"evangelisch","2003","7424","0.35272684630635","0.346435041094378","0.359018651518323"
"islamische Religionsgemeinschaft","2003","","","",""
"konfessionslos","2003","6732","0.27365354207424","0.267782912713546","0.279524171434934"
"andere","2003","1379","0.057673452957244","0.0546037178307755","0.0607431880837125"
"katholisch","2004","","","",""
"evangelisch","2004","","","",""
"islamische Religionsgemeinschaft","2004","","","",""
"konfessionslos","2004","","","",""
"andere","2004","","","",""
"katholisch","2005","","","",""
"evangelisch","2005","","","",""
"islamische Religionsgemeinschaft","2005","","","",""
"konfessionslos","2005","","","",""
"andere","2005","","","",""
"katholisch","2006","","","",""
"evangelisch","2006","","","",""
"islamische Religionsgemeinschaft","2006","","","",""
"konfessionslos","2006","","","",""
"andere","2006","","","",""
"katholisch","2007","5979","0.304476262265378","0.2981882863836","0.310764238147156"
"evangelisch","2007","7142","0.348786133696305","0.34227405568992","0.355298211702689"
"islamische Religionsgemeinschaft","2007","626","0.0359507193572589","0.0334069274639941","0.0384945112505236"
