"religion","year","sex","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","maennlich","2003","0.33622207218519","0.324971306836253","0.347472837534127"
"katholisch","1990","weiblich","2148","0.351429228067281","0.340344557058159","0.362513899076402"
"evangelisch","1990","maennlich","2055","0.386274099938935","0.374678517347368","0.397869682530502"
"evangelisch","1990","weiblich","2530","0.436152177177112","0.424638205460755","0.44766614889347"
"islamische Religionsgemeinschaft","1990","maennlich","453","0.0242925930346855","0.0206260710660959","0.0279591150032752"
"islamische Religionsgemeinschaft","1990","weiblich","395","0.0184371629387294","0.0153137364972593","0.0215605893801996"
"konfessionslos","1990","maennlich","1923","0.230812698033905","0.220778019710515","0.240847376357295"
"konfessionslos","1990","weiblich","1700","0.16967608539091","0.160961248297819","0.178390922484"
"andere","1990","maennlich","339","0.0223985368072845","0.0188744361937547","0.0259226374208143"
"andere","1990","weiblich","353","0.0243053464259677","0.0207298771345641","0.0278808157173714"
"katholisch","1991","maennlich","103","0.054462495877701","0.0445071587322111","0.0644178330231909"
"katholisch","1991","weiblich","109","0.0542605161689745","0.0447621241213553","0.0637589082165938"
"evangelisch","1991","maennlich","451","0.23087975281371","0.212393117706531","0.249366387920888"
"evangelisch","1991","weiblich","674","0.335700640783359","0.315899948606817","0.3555013329599"
"islamische Religionsgemeinschaft","1991","maennlich","","","",""
"islamische Religionsgemeinschaft","1991","weiblich","","","",""
"konfessionslos","1991","maennlich","1429","0.707806598930318","0.687855798334593","0.727757399526043"
"konfessionslos","1991","weiblich","1386","0.603167093113467","0.582653344486789","0.623680841740146"
"andere","1991","maennlich","","","",""
"andere","1991","weiblich","","","",""
"katholisch","1992","maennlich","","","",""
"katholisch","1992","weiblich","","","",""
"evangelisch","1992","maennlich","","","",""
"evangelisch","1992","weiblich","","","",""
"islamische Religionsgemeinschaft","1992","maennlich","","","",""
"islamische Religionsgemeinschaft","1992","weiblich","","","",""
"konfessionslos","1992","maennlich","","","",""
"konfessionslos","1992","weiblich","","","",""
"andere","1992","maennlich","","","",""
"andere","1992","weiblich","","","",""
"katholisch","1993","maennlich","","","",""
"katholisch","1993","weiblich","","","",""
"evangelisch","1993","maennlich","","","",""
"evangelisch","1993","weiblich","","","",""
"islamische Religionsgemeinschaft","1993","maennlich","","","",""
"islamische Religionsgemeinschaft","1993","weiblich","","","",""
"konfessionslos","1993","maennlich","","","",""
"konfessionslos","1993","weiblich","","","",""
"andere","1993","maennlich","","","",""
"andere","1993","weiblich","","","",""
"katholisch","1994","maennlich","","","",""
"katholisch","1994","weiblich","","","",""
"evangelisch","1994","maennlich","","","",""
"evangelisch","1994","weiblich","","","",""
"islamische Religionsgemeinschaft","1994","maennlich","","","",""
"islamische Religionsgemeinschaft","1994","weiblich","","","",""
"konfessionslos","1994","maennlich","","","",""
"konfessionslos","1994","weiblich","","","",""
"andere","1994","maennlich","","","",""
"andere","1994","weiblich","","","",""
"katholisch","1995","maennlich","","","",""
"katholisch","1995","weiblich","","","",""
"evangelisch","1995","maennlich","","","",""
"evangelisch","1995","weiblich","","","",""
"islamische Religionsgemeinschaft","1995","maennlich","","","",""
"islamische Religionsgemeinschaft","1995","weiblich","","","",""
"konfessionslos","1995","maennlich","","","",""
"konfessionslos","1995","weiblich","","","",""
"andere","1995","maennlich","","","",""
"andere","1995","weiblich","","","",""
"katholisch","1996","maennlich","","","",""
"katholisch","1996","weiblich","","","",""
"evangelisch","1996","maennlich","","","",""
"evangelisch","1996","weiblich","","","",""
"islamische Religionsgemeinschaft","1996","maennlich","","","",""
"islamische Religionsgemeinschaft","1996","weiblich","","","",""
"konfessionslos","1996","maennlich","","","",""
"konfessionslos","1996","weiblich","","","",""
"andere","1996","maennlich","","","",""
"andere","1996","weiblich","","","",""
"katholisch","1997","maennlich","1816","0.324151667775407","0.312490646087101","0.335812689463714"
"katholisch","1997","weiblich","1979","0.335233751743356","0.323877426653013","0.3465900768337"
