"religion","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","16-34 Jahre alt","Schleswig-Holstein","","","",""
"katholisch","1990","16-34 Jahre alt","Hamburg","","","",""
"katholisch","1990","16-34 Jahre alt","Niedersachsen","56","0.1059721846265","0.0743516754921184","0.137592693760882"
"katholisch","1990","16-34 Jahre alt","Bremen","","","",""
"katholisch","1990","16-34 Jahre alt","Nordrhein-Westfalen","413","0.463629384040166","0.43276798642959","0.494490781650742"
"katholisch","1990","16-34 Jahre alt","Hessen","104","0.266339048436399","0.22092789600236","0.311750200870438"
"katholisch","1990","16-34 Jahre alt","Rheinland-Pfalz,Saarland","163","0.609001538278925","0.550688097158966","0.667314979398884"
"katholisch","1990","16-34 Jahre alt","Baden-Wuerttemberg","351","0.502724052153597","0.466601972766215","0.538846131540978"
"katholisch","1990","16-34 Jahre alt","Bayern","385","0.68428837687139","0.647373254549215","0.721203499193565"
"katholisch","1990","16-34 Jahre alt","Saarland","","","",""
"katholisch","1990","16-34 Jahre alt","Berlin","","","",""
"katholisch","1990","16-34 Jahre alt","Brandenburg","","","",""
"katholisch","1990","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"katholisch","1990","16-34 Jahre alt","Sachsen","","","",""
"katholisch","1990","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"katholisch","1990","16-34 Jahre alt","Thueringen","","","",""
"katholisch","1990","35-65 Jahre alt","Schleswig-Holstein","","","",""
"katholisch","1990","35-65 Jahre alt","Hamburg","","","",""
"katholisch","1990","35-65 Jahre alt","Niedersachsen","97","0.16847237233128","0.135466797271685","0.201477947390875"
"katholisch","1990","35-65 Jahre alt","Bremen","","","",""
"katholisch","1990","35-65 Jahre alt","Nordrhein-Westfalen","568","0.447577100672784","0.420691473358894","0.474462727986673"
"katholisch","1990","35-65 Jahre alt","Hessen","168","0.292020978338618","0.252750906396299","0.331291050280937"
"katholisch","1990","35-65 Jahre alt","Rheinland-Pfalz,Saarland","175","0.56387842261974","0.508852501761664","0.618904343477815"
"katholisch","1990","35-65 Jahre alt","Baden-Wuerttemberg","415","0.459782469309374","0.427204141716092","0.492360796902656"
"katholisch","1990","35-65 Jahre alt","Bayern","467","0.649371602617276","0.615970542632019","0.682772662602532"
"katholisch","1990","35-65 Jahre alt","Saarland","","","",""
"katholisch","1990","35-65 Jahre alt","Berlin","30","0.0913887362969173","0.0601081643591666","0.122669308234668"
"katholisch","1990","35-65 Jahre alt","Brandenburg","","","",""
"katholisch","1990","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"katholisch","1990","35-65 Jahre alt","Sachsen","40","0.060256742558886","0.042603364824098","0.077910120293674"
"katholisch","1990","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"katholisch","1990","35-65 Jahre alt","Thueringen","50","0.134338105941079","0.100185608716892","0.168490603165267"
"katholisch","1990","66 und älter","Schleswig-Holstein","","","",""
"katholisch","1990","66 und älter","Hamburg","","","",""
"katholisch","1990","66 und älter","Niedersachsen","","","",""
"katholisch","1990","66 und älter","Bremen","","","",""
"katholisch","1990","66 und älter","Nordrhein-Westfalen","133","0.542565388070259","0.480183918327516","0.604946857813003"
"katholisch","1990","66 und älter","Hessen","35","0.31204911298957","0.22466622238591","0.399432003593231"
"katholisch","1990","66 und älter","Rheinland-Pfalz,Saarland","45","0.465249858531389","0.362200470922728","0.56829924614005"
"katholisch","1990","66 und älter","Baden-Wuerttemberg","72","0.430399876636703","0.355079036865136","0.505720716408271"
"katholisch","1990","66 und älter","Bayern","119","0.590675379262128","0.52269893700821","0.658651821516046"
"katholisch","1990","66 und älter","Saarland","","","",""
"katholisch","1990","66 und älter","Berlin","","","",""
"katholisch","1990","66 und älter","Brandenburg","","","",""
