"religion","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","Schleswig-Holstein","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1990","Schleswig-Holstein","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Hamburg","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1990","Hamburg","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Niedersachsen","Westdeutschland, alte Bundeslaender","174","0.152972253678487","0.130424052756723","0.17552045460025"
"katholisch","1990","Niedersachsen","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Bremen","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1990","Bremen","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Nordrhein-Westfalen","Westdeutschland, alte Bundeslaender","1114","0.467373932511636","0.448057930593575","0.486689934429697"
"katholisch","1990","Nordrhein-Westfalen","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Hessen","Westdeutschland, alte Bundeslaender","307","0.288616703343403","0.260348248053978","0.316885158632827"
"katholisch","1990","Hessen","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Rheinland-Pfalz,Saarland","Westdeutschland, alte Bundeslaender","383","0.561231638733056","0.523712558836109","0.598750718630002"
"katholisch","1990","Rheinland-Pfalz,Saarland","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Baden-Wuerttemberg","Westdeutschland, alte Bundeslaender","838","0.470283322108567","0.447232158846036","0.493334485371099"
"katholisch","1990","Baden-Wuerttemberg","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Bayern","Westdeutschland, alte Bundeslaender","971","0.648933999404692","0.625502580808074","0.67236541800131"
"katholisch","1990","Bayern","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Saarland","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1990","Saarland","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Berlin","Westdeutschland, alte Bundeslaender","46","0.137336766442205","0.100086856891152","0.174586675993259"
"katholisch","1990","Berlin","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Brandenburg","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1990","Brandenburg","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Mecklenburg-Vorpommern","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1990","Mecklenburg-Vorpommern","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Sachsen","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1990","Sachsen","Ostdeutschland, neue Bundeslaender","68","0.0567383787366429","0.0443146911495864","0.0691620663236995"
"katholisch","1990","Sachsen-Anhalt","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1990","Sachsen-Anhalt","Ostdeutschland, neue Bundeslaender","50","0.0622959970146548","0.0457027169989024","0.0788892770304073"
"katholisch","1990","Thueringen","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1990","Thueringen","Ostdeutschland, neue Bundeslaender","88","0.129190292296076","0.105089118492929","0.153291466099224"
"evangelisch","1990","Schleswig-Holstein","Westdeutschland, alte Bundeslaender","190","0.725434526267598","0.673252972811912","0.777616079723284"
"evangelisch","1990","Schleswig-Holstein","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1990","Hamburg","Westdeutschland, alte Bundeslaender","68","0.536631092932609","0.46122701898876","0.612035166876458"
"evangelisch","1990","Hamburg","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1990","Niedersachsen","Westdeutschland, alte Bundeslaender","614","0.695464883760426","0.666636981728743","0.72429278579211"
"evangelisch","1990","Niedersachsen","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1990","Bremen","Westdeutschland, alte Bundeslaender","63","0.690202572613063","0.600901501295808","0.779503643930318"
