"religion","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1506","0.429367230362965","0.413289284814652","0.445445175911277"
"katholisch","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","70","0.0420854786511453","0.0325184422677885","0.0516525150345022"
"katholisch","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1957","0.405759778909708","0.391833616638041","0.419685941181375"
"katholisch","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","144","0.0641338669756798","0.0541084611156912","0.0741592728356685"
"katholisch","1990","66 und älter","Westdeutschland, alte Bundeslaender","438","0.40822947975911","0.378598948217018","0.437860011301202"
"katholisch","1990","66 und älter","Ostdeutschland, neue Bundeslaender","36","0.0866830339985697","0.0603024025267867","0.113063665470353"
"evangelisch","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1214","0.426531977721184","0.410467442959349","0.442596512483019"
"evangelisch","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","340","0.197743803832592","0.178765565612831","0.216722042052352"
"evangelisch","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1591","0.421204164889294","0.40720104009946","0.435207289679128"
"evangelisch","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","687","0.304965989133067","0.286126023045892","0.323805955220242"
"evangelisch","1990","66 und älter","Westdeutschland, alte Bundeslaender","529","0.515060321388195","0.484931405514739","0.54518923726165"
"evangelisch","1990","66 und älter","Ostdeutschland, neue Bundeslaender","223","0.514622678135579","0.467763833819339","0.561481522451819"
"islamische Religionsgemeinschaft","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","453","0.0384377505781862","0.0321931389116814","0.0446823622446909"
"islamische Religionsgemeinschaft","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","389","0.0276874790643315","0.0230341841410446","0.0323407739876184"
"islamische Religionsgemeinschaft","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1990","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1990","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","237","0.0803944493817863","0.0715626015846692","0.0892262971789035"
"konfessionslos","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","1269","0.753216342968102","0.73267324313051","0.773759442805693"
"konfessionslos","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","427","0.110132500620123","0.101254066944453","0.119010934295793"
"konfessionslos","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1442","0.623470267029679","0.603643180775979","0.643297353283378"
"konfessionslos","1990","66 und älter","Westdeutschland, alte Bundeslaender","71","0.0655613316478923","0.0506399210435068","0.0804827422522777"
"konfessionslos","1990","66 und älter","Ostdeutschland, neue Bundeslaender","177","0.397595152209159","0.351710003678477","0.443480300739841"
"andere","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","231","0.0252685919558794","0.0201709332821366","0.0303662506296222"
"andere","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","412","0.0352160765165437","0.0299884873965756","0.0404436656365118"
"andere","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1990","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"andere","1990","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1991","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1991","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","62","0.0447653678098381","0.0343422342257394","0.0551885013939368"
"katholisch","1991","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1991","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","117","0.0538276311054924","0.0444462641480187","0.0632089980629661"
"katholisch","1991","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1991","66 und älter","Ostdeutschland, neue Bundeslaender","32","0.0783233164459105","0.0522526073194245","0.104394025572396"
"evangelisch","1991","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1991","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","286","0.183776700095929","0.164254807730318","0.20329859246154"
"evangelisch","1991","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1991","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","632","0.285615268467938","0.266837881700479","0.304392655235397"
"evangelisch","1991","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1991","66 und älter","Ostdeutschland, neue Bundeslaender","199","0.49097616877996","0.442467732658294","0.539484604901627"
"islamische Religionsgemeinschaft","1991","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1991","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1991","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","1156","0.767137323808609","0.745833444445655","0.788441203171562"
"konfessionslos","1991","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1991","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1458","0.654730302549788","0.634965666908234","0.674494938191342"
"konfessionslos","1991","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1991","66 und älter","Ostdeutschland, neue Bundeslaender","173","0.415981101894097","0.368154639292693","0.463807564495502"
"andere","1991","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"andere","1991","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1991","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"andere","1991","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1991","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"andere","1991","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1992","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
