year,age_gr,migback,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Yes,0.09102,216,2341,0.07936,0.10267
1984,17-29 y.,No migration background,No,0.90527,2125,2341,0.89340,0.91713
1984,17-29 y.,Direct migration background,Yes,0.13016,117,994,0.10923,0.15108
1984,17-29 y.,Direct migration background,No,0.86307,877,994,0.84168,0.88445
1984,17-29 y.,Indirect migration background,No,0.98062,86,86,0.95132,1.00993
1984,30-45 y.,No migration background,Yes,0.10298,264,2493,0.09105,0.11492
1984,30-45 y.,No migration background,No,0.89461,2229,2493,0.88255,0.90667
1984,30-45 y.,Direct migration background,Yes,0.11282,153,1387,0.09616,0.12947
1984,30-45 y.,Direct migration background,No,0.88569,1234,1387,0.86894,0.90244
1984,46-65 y.,No migration background,Yes,0.11344,291,2592,0.10123,0.12565
1984,46-65 y.,No migration background,No,0.88533,2301,2592,0.87306,0.89760
1984,46-65 y.,Direct migration background,Yes,0.11515,128,945,0.09479,0.13552
1984,46-65 y.,Direct migration background,No,0.88068,817,945,0.86000,0.90136
1984,66 and older,No migration background,Yes,0.14995,186,1227,0.12996,0.16993
1984,66 and older,No migration background,No,0.84829,1041,1227,0.82821,0.86837
1985,17-29 y.,No migration background,Yes,0.10011,230,2203,0.08758,0.11265
1985,17-29 y.,No migration background,No,0.89922,1973,2203,0.88665,0.91179
1985,17-29 y.,Direct migration background,Yes,0.10392,97,824,0.08307,0.12477
1985,17-29 y.,Direct migration background,No,0.89525,727,824,0.87432,0.91617
1985,17-29 y.,Indirect migration background,No,0.83247,95,95,0.75697,0.90797
1985,30-45 y.,No migration background,Yes,0.09807,233,2270,0.08583,0.11031
1985,30-45 y.,No migration background,No,0.89835,2037,2270,0.88591,0.91078
1985,30-45 y.,Direct migration background,Yes,0.09964,130,1180,0.08254,0.11673
1985,30-45 y.,Direct migration background,No,0.89983,1050,1180,0.88269,0.91697
1985,46-65 y.,No migration background,Yes,0.11022,270,2428,0.09776,0.12268
1985,46-65 y.,No migration background,No,0.88905,2158,2428,0.87655,0.90154
1985,46-65 y.,Direct migration background,Yes,0.10800,105,861,0.08725,0.12874
1985,46-65 y.,Direct migration background,No,0.89076,756,861,0.86991,0.91160
1985,66 and older,No migration background,Yes,0.16000,169,1062,0.13794,0.18206
1985,66 and older,No migration background,No,0.83608,893,1062,0.81380,0.85835
1985,66 and older,Direct migration background,No,0.89602,34,34,0.79188,1.00016
1986,17-29 y.,No migration background,Yes,0.11152,235,2132,0.09815,0.12488
1986,17-29 y.,No migration background,No,0.88792,1897,2132,0.87453,0.90132
1986,17-29 y.,Direct migration background,Yes,0.14501,113,798,0.12057,0.16946
1986,17-29 y.,Direct migration background,No,0.85263,685,798,0.82802,0.87724
1986,17-29 y.,Indirect migration background,No,0.77064,107,107,0.69060,0.85067
1986,30-45 y.,No migration background,Yes,0.09823,220,2144,0.08563,0.11083
1986,30-45 y.,No migration background,No,0.89895,1924,2144,0.88619,0.91171
1986,30-45 y.,Direct migration background,Yes,0.10442,131,1098,0.08632,0.12251
1986,30-45 y.,Direct migration background,No,0.89277,967,1098,0.87446,0.91108
1986,46-65 y.,No migration background,Yes,0.11416,261,2337,0.10127,0.12706
1986,46-65 y.,No migration background,No,0.88298,2076,2337,0.86995,0.89602
1986,46-65 y.,Direct migration background,Yes,0.14731,133,873,0.12379,0.17084
1986,46-65 y.,Direct migration background,No,0.85234,740,873,0.82879,0.87589
1986,66 and older,No migration background,Yes,0.17788,174,969,0.15379,0.20197
1986,66 and older,No migration background,No,0.81291,795,969,0.78834,0.83748
1986,66 and older,Direct migration background,No,0.84214,43,43,0.73186,0.95241
1987,17-29 y.,No migration background,Yes,0.11185,236,2067,0.09826,0.12544
1987,17-29 y.,No migration background,No,0.88554,1831,2067,0.87181,0.89927
1987,17-29 y.,Direct migration background,Yes,0.14928,106,793,0.12446,0.17410
1987,17-29 y.,Direct migration background,No,0.84234,687,793,0.81696,0.86772
1987,17-29 y.,Indirect migration background,No,0.83525,126,126,0.77021,0.90028
1987,30-45 y.,No migration background,Yes,0.10330,224,2089,0.09025,0.11636
1987,30-45 y.,No migration background,No,0.89210,1865,2089,0.87879,0.90541
1987,30-45 y.,Direct migration background,Yes,0.09135,101,1052,0.07393,0.10877
1987,30-45 y.,Direct migration background,No,0.90865,951,1052,0.89123,0.92607
1987,46-65 y.,No migration background,Yes,0.10687,245,2276,0.09417,0.11956
1987,46-65 y.,No migration background,No,0.88723,2031,2276,0.87423,0.90023
1987,46-65 y.,Direct migration background,Yes,0.11173,104,909,0.09124,0.13222
1987,46-65 y.,Direct migration background,No,0.88808,805,909,0.86757,0.90859
1987,66 and older,No migration background,Yes,0.19847,195,1006,0.17381,0.22313
1987,66 and older,No migration background,No,0.79625,811,1006,0.77134,0.82115
1987,66 and older,Direct migration background,No,0.82813,49,49,0.72139,0.93486
1988,17-29 y.,No migration background,Yes,0.11236,230,1912,0.09820,0.12652
1988,17-29 y.,No migration background,No,0.88559,1682,1912,0.87132,0.89986
1988,17-29 y.,Direct migration background,Yes,0.12125,83,767,0.09813,0.14436
1988,17-29 y.,Direct migration background,No,0.87677,684,767,0.85350,0.90005
1988,17-29 y.,Indirect migration background,No,0.89641,173,173,0.85087,0.94195
1988,30-45 y.,No migration background,Yes,0.10547,213,1996,0.09199,0.11895
1988,30-45 y.,No migration background,No,0.89185,1783,1996,0.87823,0.90548
1988,30-45 y.,Direct migration background,Yes,0.11596,105,931,0.09538,0.13654
1988,30-45 y.,Direct migration background,No,0.87999,826,931,0.85910,0.90088
1988,46-65 y.,No migration background,Yes,0.11912,258,2184,0.10553,0.13271
1988,46-65 y.,No migration background,No,0.87439,1926,2184,0.86049,0.88829
1988,46-65 y.,Direct migration background,Yes,0.10130,106,899,0.08156,0.12103
1988,46-65 y.,Direct migration background,No,0.89649,793,899,0.87657,0.91642
1988,66 and older,No migration background,Yes,0.18490,180,967,0.16042,0.20938
1988,66 and older,No migration background,No,0.81142,787,967,0.78675,0.83609
1988,66 and older,Direct migration background,No,0.84814,55,55,0.75242,0.94386
1989,17-29 y.,No migration background,Yes,0.11224,223,1863,0.09791,0.12658
1989,17-29 y.,No migration background,No,0.88655,1640,1863,0.87215,0.90096
1989,17-29 y.,Direct migration background,Yes,0.09805,84,734,0.07652,0.11957
1989,17-29 y.,Direct migration background,No,0.89539,650,734,0.87323,0.91755
1989,17-29 y.,Indirect migration background,No,0.89614,203,203,0.85406,0.93821
1989,30-45 y.,No migration background,Yes,0.10099,202,1945,0.08759,0.11438
1989,30-45 y.,No migration background,No,0.89815,1743,1945,0.88471,0.91160
1989,30-45 y.,Direct migration background,Yes,0.10826,94,872,0.08763,0.12890
1989,30-45 y.,Direct migration background,No,0.88690,778,872,0.86587,0.90793
1989,46-65 y.,No migration background,Yes,0.11252,229,2058,0.09887,0.12618
1989,46-65 y.,No migration background,No,0.88364,1829,2058,0.86978,0.89749
1989,46-65 y.,Direct migration background,Yes,0.11405,106,899,0.09326,0.13484
1989,46-65 y.,Direct migration background,No,0.88433,793,899,0.86342,0.90525
1989,66 and older,No migration background,Yes,0.19238,177,934,0.16708,0.21767
1989,66 and older,No migration background,No,0.80072,757,934,0.77509,0.82635
1989,66 and older,Direct migration background,No,0.88318,62,62,0.80257,0.96379
1991,17-29 y.,No migration background,Yes,0.11257,249,1716,0.09761,0.12753
1991,17-29 y.,No migration background,No,0.64842,1467,1716,0.62583,0.67102
