year,age_gr,quintil_oecd,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Yes,0.10959,98,803,0.08797,0.13121
1984,17-29 y.,1st Quintile,No,0.88810,705,803,0.86628,0.90992
1984,17-29 y.,2nd Quintile,Yes,0.09407,66,669,0.07193,0.11620
1984,17-29 y.,2nd Quintile,No,0.89929,603,669,0.87647,0.92211
1984,17-29 y.,3rd Quintile,Yes,0.07981,55,660,0.05912,0.10050
1984,17-29 y.,3rd Quintile,No,0.91773,605,660,0.89675,0.93871
1984,17-29 y.,4th Quintile,Yes,0.09514,67,730,0.07384,0.11644
1984,17-29 y.,4th Quintile,No,0.90226,663,730,0.88070,0.92382
1984,17-29 y.,5th Quintile,Yes,0.09615,52,551,0.07151,0.12078
1984,17-29 y.,5th Quintile,No,0.89728,499,551,0.87191,0.92265
1984,30-45 y.,1st Quintile,Yes,0.10929,91,781,0.08740,0.13119
1984,30-45 y.,1st Quintile,No,0.88392,690,781,0.86144,0.90640
1984,30-45 y.,2nd Quintile,Yes,0.09703,85,786,0.07633,0.11774
1984,30-45 y.,2nd Quintile,No,0.90108,701,786,0.88020,0.92197
1984,30-45 y.,3rd Quintile,Yes,0.11231,81,750,0.08970,0.13492
1984,30-45 y.,3rd Quintile,No,0.88581,669,750,0.86304,0.90859
1984,30-45 y.,4th Quintile,Yes,0.11016,88,795,0.08838,0.13193
1984,30-45 y.,4th Quintile,No,0.88984,707,795,0.86807,0.91162
1984,30-45 y.,5th Quintile,Yes,0.09357,72,785,0.07318,0.11395
1984,30-45 y.,5th Quintile,No,0.90467,713,785,0.88412,0.92523
1984,46-65 y.,1st Quintile,Yes,0.11892,75,548,0.09179,0.14605
1984,46-65 y.,1st Quintile,No,0.88108,473,548,0.85395,0.90821
1984,46-65 y.,2nd Quintile,Yes,0.14071,90,656,0.11408,0.16734
1984,46-65 y.,2nd Quintile,No,0.85737,566,656,0.83058,0.88415
1984,46-65 y.,3rd Quintile,Yes,0.09992,75,707,0.07780,0.12204
1984,46-65 y.,3rd Quintile,No,0.89812,632,707,0.87581,0.92044
1984,46-65 y.,4th Quintile,Yes,0.09858,77,760,0.07737,0.11979
1984,46-65 y.,4th Quintile,No,0.89787,683,760,0.87633,0.91942
1984,46-65 y.,5th Quintile,Yes,0.11013,99,873,0.08935,0.13091
1984,46-65 y.,5th Quintile,No,0.88987,774,873,0.86909,0.91065
1984,66 and older,1st Quintile,Yes,0.16413,57,350,0.12527,0.20299
1984,66 and older,1st Quintile,No,0.83587,293,350,0.79701,0.87473
1984,66 and older,2nd Quintile,Yes,0.14447,38,270,0.10246,0.18649
1984,66 and older,2nd Quintile,No,0.85553,232,270,0.81351,0.89754
1984,66 and older,3rd Quintile,Yes,0.17575,43,240,0.12750,0.22401
1984,66 and older,3rd Quintile,No,0.82087,197,240,0.77226,0.86949
1984,66 and older,4th Quintile,No,0.87659,182,182,0.82868,0.92451
1984,66 and older,5th Quintile,No,0.86740,167,167,0.81580,0.91899
1985,17-29 y.,1st Quintile,Yes,0.11232,98,775,0.09007,0.13457
1985,17-29 y.,1st Quintile,No,0.88734,677,775,0.86506,0.90961
1985,17-29 y.,2nd Quintile,Yes,0.10324,68,590,0.07867,0.12781
1985,17-29 y.,2nd Quintile,No,0.89676,522,590,0.87219,0.92133
1985,17-29 y.,3rd Quintile,Yes,0.10363,71,649,0.08016,0.12710
1985,17-29 y.,3rd Quintile,No,0.89637,578,649,0.87290,0.91984
1985,17-29 y.,4th Quintile,Yes,0.10601,69,628,0.08191,0.13010
1985,17-29 y.,4th Quintile,No,0.89124,559,628,0.86687,0.91561
1985,17-29 y.,5th Quintile,Yes,0.07768,36,492,0.05400,0.10136
1985,17-29 y.,5th Quintile,No,0.92232,456,492,0.89864,0.94600
1985,30-45 y.,1st Quintile,Yes,0.10942,81,680,0.08594,0.13291
1985,30-45 y.,1st Quintile,No,0.88490,599,680,0.86089,0.90890
1985,30-45 y.,2nd Quintile,Yes,0.10907,89,737,0.08655,0.13159
1985,30-45 y.,2nd Quintile,No,0.88728,648,737,0.86444,0.91013
1985,30-45 y.,3rd Quintile,Yes,0.09786,71,648,0.07496,0.12075
1985,30-45 y.,3rd Quintile,No,0.89992,577,648,0.87679,0.92304
1985,30-45 y.,4th Quintile,Yes,0.09176,58,672,0.06991,0.11360
1985,30-45 y.,4th Quintile,No,0.90449,614,672,0.88225,0.92673
1985,30-45 y.,5th Quintile,Yes,0.08867,66,727,0.06800,0.10935
1985,30-45 y.,5th Quintile,No,0.90989,661,727,0.88906,0.93072
1985,46-65 y.,1st Quintile,Yes,0.14290,73,534,0.11319,0.17262
1985,46-65 y.,1st Quintile,No,0.85461,461,534,0.82469,0.88454
1985,46-65 y.,2nd Quintile,Yes,0.13378,74,571,0.10583,0.16173
1985,46-65 y.,2nd Quintile,No,0.86401,497,571,0.83587,0.89215
1985,46-65 y.,3rd Quintile,Yes,0.09827,73,682,0.07591,0.12063
1985,46-65 y.,3rd Quintile,No,0.90152,609,682,0.87914,0.92390
1985,46-65 y.,4th Quintile,Yes,0.09010,73,724,0.06923,0.11098
1985,46-65 y.,4th Quintile,No,0.90990,651,724,0.88902,0.93077
1985,46-65 y.,5th Quintile,Yes,0.10081,81,786,0.07975,0.12187
1985,46-65 y.,5th Quintile,No,0.89919,705,786,0.87813,0.92025
1985,66 and older,1st Quintile,Yes,0.14351,36,255,0.10039,0.18662
1985,66 and older,1st Quintile,No,0.85437,219,255,0.81099,0.89775
1985,66 and older,2nd Quintile,Yes,0.17102,44,252,0.12443,0.21760
1985,66 and older,2nd Quintile,No,0.81963,208,252,0.77207,0.86720
1985,66 and older,3rd Quintile,Yes,0.15178,33,225,0.10479,0.19877
1985,66 and older,3rd Quintile,No,0.84822,192,225,0.80123,0.89521
1985,66 and older,4th Quintile,Yes,0.16445,33,202,0.11320,0.21570
1985,66 and older,4th Quintile,No,0.83555,169,202,0.78430,0.88680
1985,66 and older,5th Quintile,No,0.82882,142,142,0.76665,0.89099
1986,17-29 y.,1st Quintile,Yes,0.13844,90,661,0.11209,0.16479
1986,17-29 y.,1st Quintile,No,0.86125,571,661,0.83487,0.88762
1986,17-29 y.,2nd Quintile,Yes,0.14725,95,608,0.11906,0.17544
1986,17-29 y.,2nd Quintile,No,0.84956,513,608,0.82112,0.87801
1986,17-29 y.,3rd Quintile,Yes,0.11344,72,615,0.08836,0.13853
1986,17-29 y.,3rd Quintile,No,0.88614,543,615,0.86101,0.91126
1986,17-29 y.,4th Quintile,Yes,0.09683,59,664,0.07432,0.11934
1986,17-29 y.,4th Quintile,No,0.90317,605,664,0.88066,0.92568
1986,17-29 y.,5th Quintile,Yes,0.08944,47,499,0.06437,0.11450
1986,17-29 y.,5th Quintile,No,0.91056,452,499,0.88550,0.93563
1986,30-45 y.,1st Quintile,Yes,0.12197,78,602,0.09580,0.14813
1986,30-45 y.,1st Quintile,No,0.87712,524,602,0.85087,0.90337
1986,30-45 y.,2nd Quintile,Yes,0.08456,64,682,0.06367,0.10546
1986,30-45 y.,2nd Quintile,No,0.90755,618,682,0.88580,0.92931
1986,30-45 y.,3rd Quintile,Yes,0.11910,83,656,0.09429,0.14390
1986,30-45 y.,3rd Quintile,No,0.87700,573,656,0.85185,0.90216
1986,30-45 y.,4th Quintile,Yes,0.09993,68,640,0.07667,0.12318
1986,30-45 y.,4th Quintile,No,0.89839,572,640,0.87496,0.92181
1986,30-45 y.,5th Quintile,Yes,0.07763,58,679,0.05749,0.09778
1986,30-45 y.,5th Quintile,No,0.92212,621,679,0.90195,0.94230
1986,46-65 y.,1st Quintile,Yes,0.13262,83,552,0.10430,0.16094
1986,46-65 y.,1st Quintile,No,0.86254,469,552,0.83379,0.89130
1986,46-65 y.,2nd Quintile,Yes,0.11879,62,539,0.09145,0.14613
1986,46-65 y.,2nd Quintile,No,0.88121,477,539,0.85387,0.90855
1986,46-65 y.,3rd Quintile,Yes,0.12763,84,618,0.10131,0.15396
1986,46-65 y.,3rd Quintile,No,0.86647,534,618,0.83963,0.89331
1986,46-65 y.,4th Quintile,Yes,0.10944,87,743,0.08698,0.13191
1986,46-65 y.,4th Quintile,No,0.88903,656,743,0.86643,0.91163
1986,46-65 y.,5th Quintile,Yes,0.10698,79,769,0.08512,0.12884
1986,46-65 y.,5th Quintile,No,0.89159,690,769,0.86960,0.91358
1986,66 and older,1st Quintile,Yes,0.15348,38,253,0.10897,0.19798
1986,66 and older,1st Quintile,No,0.84652,215,253,0.80202,0.89103
1986,66 and older,2nd Quintile,Yes,0.16486,42,246,0.11840,0.21132
1986,66 and older,2nd Quintile,No,0.83224,204,246,0.78545,0.87903
1986,66 and older,3rd Quintile,Yes,0.16690,33,210,0.11634,0.21745
1986,66 and older,3rd Quintile,No,0.80834,177,210,0.75498,0.86170
1986,66 and older,4th Quintile,Yes,0.21035,35,163,0.14759,0.27311
1986,66 and older,4th Quintile,No,0.78642,128,163,0.72330,0.84953
1986,66 and older,5th Quintile,Yes,0.23595,34,149,0.16754,0.30436
1986,66 and older,5th Quintile,No,0.74342,115,149,0.67306,0.81379
1987,17-29 y.,1st Quintile,Yes,0.15339,93,642,0.12549,0.18128
1987,17-29 y.,1st Quintile,No,0.84276,549,642,0.81458,0.87094
1987,17-29 y.,2nd Quintile,Yes,0.15469,96,617,0.12613,0.18325
1987,17-29 y.,2nd Quintile,No,0.84264,521,617,0.81389,0.87140
1987,17-29 y.,3rd Quintile,Yes,0.08215,55,605,0.06025,0.10404
1987,17-29 y.,3rd Quintile,No,0.91320,550,605,0.89075,0.93566
1987,17-29 y.,4th Quintile,Yes,0.08698,60,654,0.06537,0.10860
1987,17-29 y.,4th Quintile,No,0.91062,594,654,0.88874,0.93250
1987,17-29 y.,5th Quintile,Yes,0.11254,51,480,0.08423,0.14084
1987,17-29 y.,5th Quintile,No,0.88523,429,480,0.85668,0.91377
1987,30-45 y.,1st Quintile,Yes,0.10418,59,555,0.07874,0.12962
1987,30-45 y.,1st Quintile,No,0.88884,496,555,0.86267,0.91502
1987,30-45 y.,2nd Quintile,Yes,0.12105,79,660,0.09614,0.14595
1987,30-45 y.,2nd Quintile,No,0.87895,581,660,0.85405,0.90386
1987,30-45 y.,3rd Quintile,Yes,0.10339,66,646,0.07989,0.12689
1987,30-45 y.,3rd Quintile,No,0.89428,580,646,0.87055,0.91801
1987,30-45 y.,4th Quintile,Yes,0.09525,58,617,0.07207,0.11843
1987,30-45 y.,4th Quintile,No,0.89584,559,617,0.87172,0.91997
1987,30-45 y.,5th Quintile,Yes,0.09025,65,680,0.06870,0.11181
1987,30-45 y.,5th Quintile,No,0.90758,615,680,0.88580,0.92937
1987,46-65 y.,1st Quintile,Yes,0.12278,71,514,0.09438,0.15118
1987,46-65 y.,1st Quintile,No,0.87173,443,514,0.84279,0.90066
1987,46-65 y.,2nd Quintile,Yes,0.10614,57,540,0.08014,0.13214
1987,46-65 y.,2nd Quintile,No,0.89038,483,540,0.86401,0.91676
1987,46-65 y.,3rd Quintile,Yes,0.12409,73,631,0.09835,0.14984
1987,46-65 y.,3rd Quintile,No,0.86675,558,631,0.84021,0.89329
1987,46-65 y.,4th Quintile,Yes,0.09441,70,749,0.07346,0.11537
1987,46-65 y.,4th Quintile,No,0.90418,679,749,0.88309,0.92528
1987,46-65 y.,5th Quintile,Yes,0.09739,78,763,0.07634,0.11844
1987,46-65 y.,5th Quintile,No,0.89594,685,763,0.87426,0.91762
1987,66 and older,1st Quintile,Yes,0.22848,68,309,0.18159,0.27537
1987,66 and older,1st Quintile,No,0.76391,241,309,0.71648,0.81134
1987,66 and older,2nd Quintile,Yes,0.20092,43,229,0.14891,0.25293
1987,66 and older,2nd Quintile,No,0.79908,186,229,0.74707,0.85109
1987,66 and older,3rd Quintile,Yes,0.19283,39,210,0.13934,0.24632
1987,66 and older,3rd Quintile,No,0.80008,171,210,0.74586,0.85430
1987,66 and older,4th Quintile,No,0.87428,144,144,0.81993,0.92862
1987,66 and older,5th Quintile,No,0.79489,120,120,0.72234,0.86744
1988,17-29 y.,1st Quintile,Yes,0.11141,72,639,0.08699,0.13582
1988,17-29 y.,1st Quintile,No,0.88859,567,639,0.86418,0.91301
1988,17-29 y.,2nd Quintile,Yes,0.14152,78,563,0.11271,0.17034
1988,17-29 y.,2nd Quintile,No,0.85811,485,563,0.82926,0.88696
1988,17-29 y.,3rd Quintile,Yes,0.11148,73,605,0.08638,0.13658
1988,17-29 y.,3rd Quintile,No,0.88306,532,605,0.85744,0.90869
1988,17-29 y.,4th Quintile,Yes,0.09442,63,626,0.07149,0.11734
1988,17-29 y.,4th Quintile,No,0.90558,563,626,0.88266,0.92851
1988,17-29 y.,5th Quintile,Yes,0.10832,42,434,0.07904,0.13759
1988,17-29 y.,5th Quintile,No,0.88778,392,434,0.85805,0.91751
1988,30-45 y.,1st Quintile,Yes,0.16707,79,537,0.13549,0.19865
1988,30-45 y.,1st Quintile,No,0.83028,458,537,0.79850,0.86206
1988,30-45 y.,2nd Quintile,Yes,0.10404,71,645,0.08046,0.12762
1988,30-45 y.,2nd Quintile,No,0.89300,574,645,0.86913,0.91688
1988,30-45 y.,3rd Quintile,Yes,0.09600,54,595,0.07231,0.11969
1988,30-45 y.,3rd Quintile,No,0.90006,541,595,0.87594,0.92418
1988,30-45 y.,4th Quintile,Yes,0.10853,59,556,0.08265,0.13441
1988,30-45 y.,4th Quintile,No,0.89082,497,556,0.86487,0.91677
1988,30-45 y.,5th Quintile,Yes,0.08122,57,611,0.05954,0.10290
1988,30-45 y.,5th Quintile,No,0.91497,554,611,0.89284,0.93711
1988,46-65 y.,1st Quintile,Yes,0.13534,63,503,0.10541,0.16526
