year,migback,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Yes,0.09438,957,8653,0.08822,0.10054
1984,No migration background,No,0.74561,7696,8653,0.73644,0.75479
1984,Direct migration background,Yes,0.10719,403,3361,0.09673,0.11765
1984,Direct migration background,No,0.77491,2958,3361,0.76079,0.78903
1984,Indirect migration background,No,0.11716,119,119,0.05913,0.17518
1985,No migration background,Yes,0.09738,902,7963,0.09087,0.10389
1985,No migration background,No,0.75501,7061,7963,0.74556,0.76446
1985,Direct migration background,Yes,0.09445,335,2902,0.08380,0.10509
1985,Direct migration background,No,0.81550,2567,2902,0.80138,0.82961
1985,Indirect migration background,No,0.12781,123,123,0.06857,0.18706
1986,No migration background,Yes,0.10370,890,7582,0.09684,0.11057
1986,No migration background,No,0.74712,6692,7582,0.73733,0.75690
1986,Direct migration background,Yes,0.12122,384,2819,0.10917,0.13327
1986,Direct migration background,No,0.79555,2435,2819,0.78066,0.81044
1986,Indirect migration background,No,0.11981,136,136,0.06503,0.17458
1987,No migration background,Yes,0.10653,900,7438,0.09952,0.11354
1987,No migration background,No,0.74154,6538,7438,0.73159,0.75149
1987,Direct migration background,Yes,0.10931,318,2810,0.09777,0.12085
1987,Direct migration background,No,0.82185,2492,2810,0.80770,0.83600
1987,Indirect migration background,No,0.12762,156,156,0.07509,0.18015
1988,No migration background,Yes,0.10814,881,7059,0.10090,0.11539
1988,No migration background,No,0.74071,6178,7059,0.73048,0.75093
1988,Direct migration background,Yes,0.10557,301,2659,0.09389,0.11725
1988,Direct migration background,No,0.82571,2358,2659,0.81129,0.84014
1988,Indirect migration background,No,0.15385,201,201,0.10385,0.20386
1989,No migration background,Yes,0.10664,831,6800,0.09930,0.11397
1989,No migration background,No,0.74445,5969,6800,0.73408,0.75482
1989,Direct migration background,Yes,0.10306,291,2574,0.09131,0.11480
1989,Direct migration background,No,0.83937,2283,2574,0.82518,0.85355
1989,Indirect migration background,No,0.17254,233,233,0.12392,0.22117
1991,No migration background,Yes,0.08802,861,6560,0.08117,0.09488
1991,No migration background,No,0.55916,5699,6560,0.54714,0.57117
1991,Direct migration background,Yes,0.10639,282,2473,0.09424,0.11855
1991,Direct migration background,No,0.77902,2191,2473,0.76266,0.79538
1991,Indirect migration background,No,0.18819,319,319,0.14523,0.23115
1992,No migration background,Yes,0.10165,1164,10316,0.09582,0.10749
1992,No migration background,No,0.72819,9152,10316,0.71961,0.73678
1992,Direct migration background,Yes,0.11330,280,2541,0.10098,0.12563
1992,Direct migration background,No,0.86330,2261,2541,0.84994,0.87666
1992,Indirect migration background,Yes,0.03396,39,404,0.01627,0.05164
1992,Indirect migration background,No,0.22042,365,404,0.17994,0.26089
1994,No migration background,Yes,0.10949,1192,9997,0.10337,0.11561
1994,No migration background,No,0.71730,8805,9997,0.70848,0.72613
1994,Direct migration background,Yes,0.11018,258,2350,0.09752,0.12284
1994,Direct migration background,No,0.87434,2092,2350,0.86094,0.88775
1994,Indirect migration background,Yes,0.03962,47,486,0.02226,0.05698
1994,Indirect migration background,No,0.28389,439,486,0.24376,0.32402
1995,No migration background,Yes,0.10649,1205,9948,0.10043,0.11255
1995,No migration background,No,0.71972,8743,9948,0.71090,0.72855
1995,Direct migration background,Yes,0.11125,319,2765,0.09953,0.12297
1995,Direct migration background,No,0.82275,2446,2765,0.80851,0.83698
1995,Indirect migration background,Yes,0.01915,43,502,0.00715,0.03115
1995,Indirect migration background,No,0.29980,459,502,0.25968,0.33992
1996,No migration background,Yes,0.10669,1209,9873,0.10060,0.11278
1996,No migration background,No,0.72238,8664,9873,0.71355,0.73122
