year,regtyp,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Yes,0.09232,965,8641,0.08622,0.09843
1985,Urban regions,No,0.74815,7676,8641,0.73899,0.75730
1985,Rural regions,Yes,0.10225,289,2364,0.09004,0.11447
1985,Rural regions,No,0.72449,2075,2364,0.70648,0.74251
1986,Urban regions,Yes,0.10432,1021,8307,0.09774,0.11089
1986,Urban regions,No,0.73492,7286,8307,0.72543,0.74441
1986,Rural regions,Yes,0.09854,270,2247,0.08622,0.11087
1986,Rural regions,No,0.72271,1977,2247,0.70419,0.74122
1987,Urban regions,Yes,0.10397,959,8202,0.09737,0.11058
1987,Urban regions,No,0.73346,7243,8202,0.72389,0.74303
1987,Rural regions,Yes,0.10294,275,2218,0.09029,0.11559
1987,Rural regions,No,0.71074,1943,2218,0.69187,0.72962
1988,Urban regions,Yes,0.10678,960,7861,0.09995,0.11361
1988,Urban regions,No,0.73089,6901,7861,0.72109,0.74070
1988,Rural regions,Yes,0.09779,241,2077,0.08501,0.11057
1988,Rural regions,No,0.71669,1836,2077,0.69730,0.73607
1989,Urban regions,Yes,0.10008,892,7657,0.09336,0.10681
1989,Urban regions,No,0.73951,6765,7657,0.72967,0.74934
1989,Rural regions,Yes,0.11165,253,1973,0.09775,0.12555
1989,Rural regions,No,0.70520,1720,1973,0.68507,0.72532
1991,Urban regions,Yes,0.09788,908,7385,0.09110,0.10465
1991,Urban regions,No,0.64060,6477,7385,0.62966,0.65155
1991,Rural regions,Yes,0.06543,261,1993,0.05457,0.07629
1991,Rural regions,No,0.41412,1732,1993,0.39249,0.43575
1992,Urban regions,Yes,0.10002,978,8617,0.09368,0.10635
1992,Urban regions,No,0.72363,7639,8617,0.71418,0.73307
1992,Rural regions,Yes,0.09988,486,4525,0.09114,0.10862
1992,Rural regions,No,0.71312,4039,4525,0.69994,0.72630
1994,Urban regions,Yes,0.10820,995,8429,0.10157,0.11483
1994,Urban regions,No,0.71348,7434,8429,0.70383,0.72313
1994,Rural regions,Yes,0.10182,502,4404,0.09289,0.11075
1994,Rural regions,No,0.70897,3902,4404,0.69555,0.72239
1995,Urban regions,Yes,0.10210,1002,8671,0.09573,0.10847
1995,Urban regions,No,0.71897,7669,8671,0.70950,0.72843
1995,Rural regions,Yes,0.10516,565,4544,0.09624,0.11408
1995,Rural regions,No,0.70098,3979,4544,0.68766,0.71429
1996,Urban regions,Yes,0.10218,1017,8493,0.09574,0.10862
1996,Urban regions,No,0.71861,7476,8493,0.70905,0.72817
1996,Rural regions,Yes,0.11146,571,4511,0.10227,0.12064
1996,Rural regions,No,0.69991,3940,4511,0.68653,0.71328
1997,Urban regions,Yes,0.10476,998,8332,0.09818,0.11134
1997,Urban regions,No,0.71893,7334,8332,0.70928,0.72859
1997,Rural regions,Yes,0.10644,551,4444,0.09737,0.11551
1997,Rural regions,No,0.70596,3893,4444,0.69256,0.71935
1998,Urban regions,Yes,0.10200,1081,9258,0.09583,0.10816
1998,Urban regions,No,0.72768,8177,9258,0.71862,0.73675
1998,Rural regions,Yes,0.11112,652,4960,0.10237,0.11987
1998,Rural regions,No,0.70131,4308,4960,0.68857,0.71405
1999,Urban regions,Yes,0.10599,1063,8860,0.09958,0.11240
1999,Urban regions,No,0.72445,7797,8860,0.71515,0.73376
1999,Rural regions,Yes,0.11056,606,4794,0.10168,0.11944
1999,Rural regions,No,0.70689,4188,4794,0.69400,0.71977
2000,Urban regions,Yes,0.09573,1797,15670,0.09112,0.10033
2000,Urban regions,No,0.73118,13873,15670,0.72424,0.73812
2000,Rural regions,Yes,0.10950,1058,8384,0.10281,0.11618
2000,Rural regions,No,0.71256,7326,8384,0.70288,0.72225
2001,Urban regions,Yes,0.09803,1653,14252,0.09315,0.10291
2001,Urban regions,No,0.72722,12599,14252,0.71991,0.73453
2001,Rural regions,Yes,0.11241,968,7600,0.10531,0.11951
2001,Rural regions,No,0.71448,6632,7600,0.70433,0.72464
2002,Urban regions,Yes,0.10095,1740,15237,0.09616,0.10573
2002,Urban regions,No,0.72787,13497,15237,0.72080,0.73494
2002,Rural regions,Yes,0.11026,960,7742,0.10329,0.11724
2002,Rural regions,No,0.71839,6782,7742,0.70837,0.72841
2003,Urban regions,Yes,0.10011,1706,14669,0.09525,0.10497
2003,Urban regions,No,0.72661,12963,14669,0.71940,0.73383
2003,Rural regions,Yes,0.10774,910,7415,0.10069,0.11480
2003,Rural regions,No,0.72509,6505,7415,0.71492,0.73525
2004,Urban regions,Yes,0.10458,1681,14305,0.09957,0.10960
2004,Urban regions,No,0.72661,12624,14305,0.71931,0.73392
2004,Rural regions,Yes,0.10993,895,7245,0.10272,0.11713
2004,Rural regions,No,0.72941,6350,7245,0.71918,0.73964
2005,Urban regions,Yes,0.09511,1460,13714,0.09020,0.10002
2005,Urban regions,No,0.74170,12254,13714,0.73437,0.74902
2005,Rural regions,Yes,0.10448,820,6911,0.09727,0.11170
2005,Rural regions,No,0.73295,6091,6911,0.72252,0.74339
2006,Urban regions,Yes,0.09946,1639,14415,0.09458,0.10435
2006,Urban regions,No,0.73350,12776,14415,0.72628,0.74072
2006,Rural regions,Yes,0.11024,913,7514,0.10315,0.11732
2006,Rural regions,No,0.72088,6601,7514,0.71073,0.73102
2007,Urban regions,Yes,0.09999,1552,13402,0.09491,0.10507
2007,Urban regions,No,0.72948,11850,13402,0.72195,0.73700
2007,Rural regions,Yes,0.10714,883,7050,0.09992,0.11436
2007,Rural regions,No,0.72985,6167,7050,0.71948,0.74021
2008,Urban regions,Yes,0.09161,1401,12619,0.08658,0.09665
2008,Urban regions,No,0.74204,11218,12619,0.73441,0.74967
2008,Rural regions,Yes,0.10869,844,6631,0.10119,0.11618
2008,Rural regions,No,0.73239,5787,6631,0.72173,0.74304
2009,Urban regions,Yes,0.10261,1428,11655,0.09710,0.10812
2009,Urban regions,No,0.73636,10227,11655,0.72836,0.74436
2009,Rural regions,Yes,0.11936,865,6321,0.11136,0.12735
2009,Rural regions,No,0.72586,5456,6321,0.71486,0.73686
2010,Urban regions,Yes,0.10651,2115,15588,0.10167,0.11135
2010,Urban regions,No,0.73485,13473,15588,0.72792,0.74178
2010,Rural regions,Yes,0.10684,1156,8335,0.10021,0.11347
2010,Rural regions,No,0.74103,7179,8335,0.73162,0.75043
2011,Urban regions,Yes,0.10935,2437,18148,0.10481,0.11389
2011,Urban regions,No,0.72624,15711,18148,0.71976,0.73273
2011,Rural regions,Yes,0.12123,1463,10204,0.11490,0.12757
2011,Rural regions,No,0.72077,8741,10204,0.71206,0.72947
2012,Urban regions,Yes,0.11301,2275,17459,0.10831,0.11770
2012,Urban regions,No,0.72163,15184,17459,0.71498,0.72828
2012,Rural regions,Yes,0.12572,1449,10121,0.11926,0.13218
2012,Rural regions,No,0.71821,8672,10121,0.70945,0.72698
2013,Urban regions,Yes,0.10634,2121,16275,0.10161,0.11108
2013,Urban regions,No,0.64578,14154,16275,0.63843,0.65312
2013,Rural regions,Yes,0.12248,1324,9377,0.11585,0.12912
2013,Rural regions,No,0.68294,8053,9377,0.67353,0.69236
2014,Urban regions,Yes,0.10971,2254,17597,0.10509,0.11432
2014,Urban regions,No,0.72603,15343,17597,0.71944,0.73262
2014,Rural regions,Yes,0.12867,1297,9432,0.12192,0.13543
2014,Rural regions,No,0.72079,8135,9432,0.71173,0.72984
2015,Urban regions,Yes,0.10804,2043,16138,0.10325,0.11283
2015,Urban regions,No,0.70992,14095,16138,0.70292,0.71693
2015,Rural regions,Yes,0.13042,1275,8854,0.12340,0.13743
2015,Rural regions,No,0.70330,7579,8854,0.69378,0.71281
2016,Urban regions,Yes,0.10886,1979,15641,0.10397,0.11374
2016,Urban regions,No,0.72163,13662,15641,0.71460,0.72865
2016,Rural regions,Yes,0.11949,1205,8479,0.11259,0.12639
2016,Rural regions,No,0.71857,7274,8479,0.70900,0.72814
2017,Urban regions,Yes,0.11478,2254,17033,0.11000,0.11957
2017,Urban regions,No,0.71240,14779,17033,0.70560,0.71920
2017,Rural regions,Yes,0.12457,1303,9349,0.11788,0.13127
2017,Rural regions,No,0.70867,8046,9349,0.69946,0.71788
2018,Urban regions,Yes,0.11434,2160,16576,0.10949,0.11918
2018,Urban regions,No,0.71676,14416,16576,0.70990,0.72362
2018,Rural regions,Yes,0.12400,1259,8943,0.11717,0.13083
2018,Rural regions,No,0.71209,7684,8943,0.70271,0.72148
2019,Urban regions,Yes,0.11326,2149,16333,0.10840,0.11812
2019,Urban regions,No,0.71408,14184,16333,0.70715,0.72101
2019,Rural regions,Yes,0.12080,1203,8789,0.11399,0.12762
2019,Rural regions,No,0.71065,7586,8789,0.70117,0.72013
2020,Urban regions,Yes,0.11771,2394,18995,0.11313,0.12230
2020,Urban regions,No,0.71454,16601,18995,0.70812,0.72097
2020,Rural regions,Yes,0.11968,1277,9363,0.11311,0.12626
2020,Rural regions,No,0.71067,8086,9363,0.70148,0.71985
2021,Urban regions,Yes,0.09982,1330,11367,0.09431,0.10533
2021,Urban regions,No,0.71703,10037,11367,0.70875,0.72531
2021,Rural regions,Yes,0.11103,744,5797,0.10294,0.11912
2021,Rural regions,No,0.71711,5053,5797,0.70552,0.72871
