year,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Yes,0.08161,581,5941,0.07465,0.08857
1984,male,No,0.72922,5360,5941,0.71792,0.74052
1984,female,Yes,0.10349,785,6198,0.09591,0.11108
1984,female,No,0.73368,5413,6198,0.72267,0.74469
1985,male,Yes,0.07594,496,5405,0.06888,0.08301
1985,male,No,0.75008,4909,5405,0.73854,0.76162
1985,female,Yes,0.11200,758,5600,0.10374,0.12027
1985,female,No,0.73508,4842,5600,0.72352,0.74664
1986,male,Yes,0.09114,566,5222,0.08333,0.09895
1986,male,No,0.73612,4656,5222,0.72416,0.74807
1986,female,Yes,0.11364,725,5332,0.10512,0.12216
1986,female,No,0.72803,4607,5332,0.71608,0.73997
1987,male,Yes,0.08110,478,5158,0.07365,0.08855
1987,male,No,0.73954,4680,5158,0.72756,0.75151
1987,female,Yes,0.12457,756,5262,0.11565,0.13350
1987,female,No,0.71714,4506,5262,0.70497,0.72931
1988,male,Yes,0.09035,499,4918,0.08233,0.09836
1988,male,No,0.73285,4419,4918,0.72048,0.74522
1988,female,Yes,0.11785,702,5020,0.10893,0.12677
1988,female,No,0.72243,4318,5020,0.71005,0.73482
1989,male,Yes,0.08365,449,4747,0.07577,0.09152
1989,male,No,0.74082,4298,4747,0.72835,0.75328
1989,female,Yes,0.12069,696,4883,0.11156,0.12983
1989,female,No,0.72260,4187,4883,0.71004,0.73516
1991,male,Yes,0.06934,467,4621,0.06202,0.07667
1991,male,No,0.57341,4154,4621,0.55915,0.58767
1991,female,Yes,0.10345,702,4757,0.09479,0.11211
1991,female,No,0.55599,4055,4757,0.54187,0.57011
1992,male,Yes,0.08370,600,6442,0.07694,0.09047
1992,male,No,0.72711,5842,6442,0.71623,0.73799
1992,female,Yes,0.11528,883,6819,0.10770,0.12286
1992,female,No,0.71292,5936,6819,0.70218,0.72366
1994,male,Yes,0.08414,568,6198,0.07723,0.09105
1994,male,No,0.72288,5630,6198,0.71174,0.73402
1994,female,Yes,0.12714,929,6635,0.11912,0.13515
1994,female,No,0.70179,5706,6635,0.69078,0.71279
1995,male,Yes,0.08292,616,6379,0.07615,0.08968
1995,male,No,0.72214,5763,6379,0.71115,0.73314
1995,female,Yes,0.12227,951,6836,0.11450,0.13003
1995,female,No,0.70470,5885,6836,0.69388,0.71551
1996,male,Yes,0.08847,621,6275,0.08144,0.09549
1996,male,No,0.71890,5654,6275,0.70778,0.73003
1996,female,Yes,0.12095,967,6729,0.11316,0.12874
1996,female,No,0.70686,5762,6729,0.69598,0.71774
1997,male,Yes,0.08781,616,6184,0.08075,0.09486
1997,male,No,0.72244,5568,6184,0.71128,0.73360
1997,female,Yes,0.12196,933,6593,0.11406,0.12986
1997,female,No,0.70768,5660,6593,0.69670,0.71866
1998,male,Yes,0.08283,685,6880,0.07632,0.08934
1998,male,No,0.73282,6195,6880,0.72237,0.74328
1998,female,Yes,0.12598,1048,7338,0.11839,0.13357
1998,female,No,0.70640,6290,7338,0.69598,0.71682
1999,male,Yes,0.08897,688,6604,0.08210,0.09584
1999,male,No,0.73090,5916,6604,0.72020,0.74160
1999,female,Yes,0.12509,981,7050,0.11737,0.13282
1999,female,No,0.70746,6069,7050,0.69684,0.71808
2000,male,Yes,0.08666,1192,11553,0.08153,0.09179
2000,male,No,0.72906,10361,11553,0.72095,0.73716
2000,female,Yes,0.11304,1663,12501,0.10749,0.11859
2000,female,No,0.72155,10838,12501,0.71369,0.72941
2001,male,Yes,0.08710,1077,10495,0.08171,0.09250
2001,male,No,0.73104,9418,10495,0.72256,0.73953
2001,female,Yes,0.11748,1544,11357,0.11156,0.12341
2001,female,No,0.71561,9813,11357,0.70731,0.72391
2002,male,Yes,0.09243,1199,11111,0.08705,0.09782
2002,male,No,0.72844,9912,11111,0.72017,0.73671
2002,female,Yes,0.11498,1501,11868,0.10924,0.12072
2002,female,No,0.72136,10367,11868,0.71329,0.72942
2003,male,Yes,0.08967,1128,10637,0.08424,0.09510
2003,male,No,0.73174,9509,10637,0.72332,0.74016
2003,female,Yes,0.11491,1488,11447,0.10906,0.12075
2003,female,No,0.72073,9959,11447,0.71251,0.72895
2004,male,Yes,0.09385,1090,10342,0.08823,0.09947
2004,male,No,0.73216,9252,10342,0.72363,0.74070
2004,female,Yes,0.11823,1486,11208,0.11225,0.12420
2004,female,No,0.72300,9722,11208,0.71472,0.73129
2005,male,Yes,0.08579,988,9865,0.08026,0.09131
2005,male,No,0.74324,8877,9865,0.73462,0.75186
2005,female,Yes,0.10990,1292,10760,0.10399,0.11581
2005,female,No,0.73478,9468,10760,0.72644,0.74312
2006,male,Yes,0.09152,1095,10452,0.08599,0.09705
2006,male,No,0.73280,9357,10452,0.72431,0.74128
2006,female,Yes,0.11393,1457,11477,0.10812,0.11974
2006,female,No,0.72619,10020,11477,0.71804,0.73435
2007,male,Yes,0.09281,1074,9742,0.08705,0.09857
2007,male,No,0.72982,8668,9742,0.72100,0.73864
2007,female,Yes,0.11143,1361,10710,0.10547,0.11739
2007,female,No,0.72937,9349,10710,0.72096,0.73779
2008,male,Yes,0.08866,1002,9170,0.08284,0.09448
2008,male,No,0.73919,8168,9170,0.73020,0.74817
2008,female,Yes,0.10516,1243,10080,0.09917,0.11115
2008,female,No,0.73874,8837,10080,0.73017,0.74732
2009,male,Yes,0.09641,1027,8576,0.09016,0.10266
2009,male,No,0.73690,7549,8576,0.72758,0.74622
2009,female,Yes,0.11925,1266,9400,0.11270,0.12580
2009,female,No,0.72916,8134,9400,0.72017,0.73814
2010,male,Yes,0.09954,1193,10886,0.09391,0.10516
2010,male,No,0.73707,9693,10886,0.72880,0.74534
2010,female,Yes,0.11345,2078,13037,0.10801,0.11890
2010,female,No,0.73657,10959,13037,0.72900,0.74413
2011,male,Yes,0.10004,1485,12843,0.09485,0.10523
2011,male,No,0.72928,11358,12843,0.72160,0.73697
2011,female,Yes,0.12586,2415,15509,0.12064,0.13108
2011,female,No,0.71988,13094,15509,0.71281,0.72694
2012,male,Yes,0.10856,1579,12525,0.10311,0.11401
2012,male,No,0.72220,10946,12525,0.71436,0.73005
2012,female,Yes,0.12542,2145,15055,0.12013,0.13071
2012,female,No,0.71891,12910,15055,0.71173,0.72609
2013,male,Yes,0.10494,1459,11612,0.09937,0.11051
2013,male,No,0.65343,10153,11612,0.64477,0.66208
2013,female,Yes,0.11803,1986,14040,0.11270,0.12337
2013,female,No,0.66221,12054,14040,0.65439,0.67004
2014,male,Yes,0.10601,1477,12414,0.10059,0.11143
2014,male,No,0.72888,10937,12414,0.72106,0.73670
2014,female,Yes,0.12529,2074,14615,0.11993,0.13066
2014,female,No,0.72000,12541,14615,0.71272,0.72728
2015,male,Yes,0.10655,1429,11435,0.10089,0.11220
2015,male,No,0.70830,10006,11435,0.69997,0.71663
2015,female,Yes,0.12362,1889,13557,0.11808,0.12916
2015,female,No,0.70735,11668,13557,0.69969,0.71501
2016,male,Yes,0.10168,1310,11042,0.09604,0.10732
2016,male,No,0.72299,9732,11042,0.71464,0.73134
2016,female,Yes,0.12266,1874,13078,0.11703,0.12828
2016,female,No,0.71863,11204,13078,0.71092,0.72634
2017,male,Yes,0.10965,1545,12193,0.10410,0.11519
2017,male,No,0.71064,10648,12193,0.70259,0.71869
2017,female,Yes,0.12593,2012,14189,0.12047,0.13139
2017,female,No,0.71186,12177,14189,0.70441,0.71931
