year,age_gr,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Yes,0.09424,338,3426,0.08446,0.10403
1984,17-29 y.,No,0.90177,3088,3426,0.89181,0.91174
1984,30-45 y.,Yes,0.10401,417,3899,0.09443,0.11360
1984,30-45 y.,No,0.89371,3482,3899,0.88403,0.90338
1984,46-65 y.,Yes,0.11333,419,3549,0.10290,0.12376
1984,46-65 y.,No,0.88515,3130,3549,0.87466,0.89564
1984,66 and older,Yes,0.15054,192,1265,0.13083,0.17025
1984,66 and older,No,0.84774,1073,1265,0.82793,0.86755
1985,17-29 y.,Yes,0.10124,342,3137,0.09068,0.11180
1985,17-29 y.,No,0.89809,2795,3137,0.88750,0.90868
1985,30-45 y.,Yes,0.09827,365,3466,0.08835,0.10818
1985,30-45 y.,No,0.89857,3101,3466,0.88852,0.90863
1985,46-65 y.,Yes,0.10970,375,3300,0.09903,0.12036
1985,46-65 y.,No,0.88952,2925,3300,0.87882,0.90022
1985,66 and older,Yes,0.15807,172,1102,0.13652,0.17961
1985,66 and older,No,0.83813,930,1102,0.81637,0.85989
1986,17-29 y.,Yes,0.11600,363,3052,0.10463,0.12736
1986,17-29 y.,No,0.88329,2689,3052,0.87190,0.89469
1986,30-45 y.,Yes,0.09877,351,3260,0.08852,0.10901
1986,30-45 y.,No,0.89842,2909,3260,0.88805,0.90879
1986,46-65 y.,Yes,0.11738,395,3221,0.10626,0.12850
1986,46-65 y.,No,0.88004,2826,3221,0.86882,0.89126
1986,66 and older,Yes,0.17808,182,1021,0.15460,0.20156
1986,66 and older,No,0.81310,839,1021,0.78918,0.83703
1987,17-29 y.,Yes,0.11601,356,3000,0.10455,0.12747
1987,17-29 y.,No,0.88083,2644,3000,0.86924,0.89243
1987,30-45 y.,Yes,0.10179,327,3159,0.09125,0.11234
1987,30-45 y.,No,0.89428,2832,3159,0.88356,0.90501
1987,46-65 y.,Yes,0.10705,349,3197,0.09633,0.11777
1987,46-65 y.,No,0.88773,2848,3197,0.87679,0.89868
1987,66 and older,Yes,0.19690,202,1064,0.17300,0.22081
1987,66 and older,No,0.79805,862,1064,0.77392,0.82218
1988,17-29 y.,Yes,0.11300,329,2868,0.10141,0.12459
1988,17-29 y.,No,0.88500,2539,2868,0.87332,0.89668
1988,30-45 y.,Yes,0.10700,320,2945,0.09584,0.11817
1988,30-45 y.,No,0.89015,2625,2945,0.87886,0.90145
1988,46-65 y.,Yes,0.11670,365,3094,0.10538,0.12801
1988,46-65 y.,No,0.87733,2729,3094,0.86577,0.88889
1988,66 and older,Yes,0.18192,187,1031,0.15836,0.20548
1988,66 and older,No,0.81354,844,1031,0.78976,0.83733
1989,17-29 y.,Yes,0.11055,327,2820,0.09898,0.12213
1989,17-29 y.,No,0.88766,2493,2820,0.87600,0.89931
1989,30-45 y.,Yes,0.10217,299,2836,0.09102,0.11332
1989,30-45 y.,No,0.89645,2537,2836,0.88523,0.90766
1989,46-65 y.,Yes,0.11230,335,2969,0.10094,0.12365
1989,46-65 y.,No,0.88416,2634,2969,0.87264,0.89567
1989,66 and older,Yes,0.18777,184,1005,0.16361,0.21193
1989,66 and older,No,0.80572,821,1005,0.78125,0.83019
1991,17-29 y.,Yes,0.11216,350,2681,0.10021,0.12411
1991,17-29 y.,No,0.67356,2331,2681,0.65581,0.69132
1991,30-45 y.,Yes,0.07738,277,2810,0.06750,0.08726
1991,30-45 y.,No,0.71686,2533,2810,0.70020,0.73353
1991,46-65 y.,Yes,0.09020,331,2842,0.07967,0.10074
1991,46-65 y.,No,0.68600,2511,2842,0.66893,0.70307
1991,66 and older,Yes,0.16858,211,1045,0.14587,0.19129
1991,66 and older,No,0.64827,834,1045,0.61930,0.67723
1992,17-29 y.,Yes,0.11275,395,3567,0.10237,0.12313
1992,17-29 y.,No,0.88527,3172,3567,0.87481,0.89573
1992,30-45 y.,Yes,0.09780,401,4243,0.08887,0.10674
1992,30-45 y.,No,0.89756,3842,4243,0.88843,0.90668
1992,46-65 y.,Yes,0.10211,409,4017,0.09274,0.11147
1992,46-65 y.,No,0.89391,3608,4017,0.88439,0.90344
1992,66 and older,Yes,0.20346,278,1434,0.18262,0.22431
1992,66 and older,No,0.78453,1156,1434,0.76324,0.80581
1994,17-29 y.,Yes,0.10213,343,3334,0.09185,0.11241
1994,17-29 y.,No,0.89532,2991,3334,0.88493,0.90572
1994,30-45 y.,Yes,0.09480,397,4140,0.08588,0.10373
1994,30-45 y.,No,0.90248,3743,4140,0.89344,0.91152
1994,46-65 y.,Yes,0.12085,441,3875,0.11058,0.13111
1994,46-65 y.,No,0.87278,3434,3875,0.86229,0.88327
1994,66 and older,Yes,0.22807,316,1484,0.20672,0.24943
1994,66 and older,No,0.76294,1168,1484,0.74130,0.78459
1995,17-29 y.,Yes,0.10669,362,3339,0.09621,0.11716
1995,17-29 y.,No,0.88880,2977,3339,0.87813,0.89946
1995,30-45 y.,Yes,0.09417,434,4421,0.08556,0.10278
1995,30-45 y.,No,0.89970,3987,4421,0.89084,0.90856
1995,46-65 y.,Yes,0.12238,474,3940,0.11214,0.13261
1995,46-65 y.,No,0.87011,3466,3940,0.85961,0.88061
1995,66 and older,Yes,0.20113,297,1515,0.18094,0.22132
1995,66 and older,No,0.79181,1218,1515,0.77136,0.81226
1996,17-29 y.,Yes,0.09729,330,3156,0.08695,0.10763
1996,17-29 y.,No,0.89948,2826,3156,0.88899,0.90998
1996,30-45 y.,Yes,0.09851,456,4424,0.08973,0.10729
1996,30-45 y.,No,0.89850,3968,4424,0.88960,0.90740
1996,46-65 y.,Yes,0.12268,483,3885,0.11237,0.13300
1996,46-65 y.,No,0.86773,3402,3885,0.85708,0.87838
1996,66 and older,Yes,0.21325,319,1539,0.19278,0.23372
1996,66 and older,No,0.77891,1220,1539,0.75817,0.79965
1997,17-29 y.,Yes,0.10565,318,3016,0.09468,0.11663
1997,17-29 y.,No,0.89085,2698,3016,0.87972,0.90198
1997,30-45 y.,Yes,0.09977,446,4348,0.09086,0.10868
1997,30-45 y.,No,0.89657,3902,4348,0.88752,0.90562
1997,46-65 y.,Yes,0.12349,475,3839,0.11308,0.13389
1997,46-65 y.,No,0.87210,3364,3839,0.86153,0.88267
1997,66 and older,Yes,0.19990,310,1574,0.18013,0.21966
1997,66 and older,No,0.79086,1264,1574,0.77076,0.81096
1998,17-29 y.,Yes,0.10565,338,3160,0.09493,0.11636
1998,17-29 y.,No,0.89237,2822,3160,0.88157,0.90318
1998,30-45 y.,Yes,0.10101,492,4821,0.09250,0.10952
1998,30-45 y.,No,0.89563,4329,4821,0.88700,0.90426
1998,46-65 y.,Yes,0.12369,540,4386,0.11395,0.13343
1998,46-65 y.,No,0.87434,3846,4386,0.86453,0.88415
1998,66 and older,Yes,0.19355,363,1851,0.17555,0.21156
1998,66 and older,No,0.80412,1488,1851,0.78604,0.82221
1999,17-29 y.,Yes,0.09366,281,2971,0.08318,0.10414
1999,17-29 y.,No,0.90527,2690,2971,0.89474,0.91580
1999,30-45 y.,Yes,0.10129,476,4711,0.09268,0.10991
1999,30-45 y.,No,0.89786,4235,4711,0.88921,0.90651
1999,46-65 y.,Yes,0.13254,557,4176,0.12226,0.14283
1999,46-65 y.,No,0.86416,3619,4176,0.85377,0.87456
1999,66 and older,Yes,0.20189,355,1796,0.18332,0.22046
1999,66 and older,No,0.79585,1441,1796,0.77720,0.81450
2000,17-29 y.,Yes,0.09383,455,4561,0.08537,0.10230
2000,17-29 y.,No,0.90003,4106,4561,0.89133,0.90874
2000,30-45 y.,Yes,0.08864,740,8150,0.08247,0.09481
2000,30-45 y.,No,0.90913,7410,8150,0.90289,0.91537
2000,46-65 y.,Yes,0.12209,966,7751,0.11480,0.12938
2000,46-65 y.,No,0.87514,6785,7751,0.86778,0.88250
2000,66 and older,Yes,0.19283,694,3592,0.17992,0.20573
2000,66 and older,No,0.80546,2898,3592,0.79252,0.81841
2001,17-29 y.,Yes,0.09282,404,4087,0.08392,0.10171
2001,17-29 y.,No,0.90385,3683,4087,0.89481,0.91289
2001,30-45 y.,Yes,0.09361,700,7316,0.08694,0.10029
2001,30-45 y.,No,0.90408,6616,7316,0.89733,0.91083
2001,46-65 y.,Yes,0.12311,860,7063,0.11545,0.13078
2001,46-65 y.,No,0.87136,6203,7063,0.86355,0.87917
2001,66 and older,Yes,0.19592,657,3386,0.18255,0.20929
2001,66 and older,No,0.79969,2729,3386,0.78621,0.81318
2002,17-29 y.,Yes,0.08885,366,4133,0.08017,0.09752
2002,17-29 y.,No,0.90752,3767,4133,0.89869,0.91636
2002,30-45 y.,Yes,0.08683,645,7426,0.08042,0.09323
2002,30-45 y.,No,0.91059,6781,7426,0.90410,0.91708
2002,46-65 y.,Yes,0.12329,950,7839,0.11601,0.13056
2002,46-65 y.,No,0.87439,6889,7839,0.86705,0.88172
2002,66 and older,Yes,0.21202,739,3581,0.19863,0.22541
2002,66 and older,No,0.78410,2842,3581,0.77062,0.79758
2003,17-29 y.,Yes,0.09019,356,3989,0.08130,0.09908
2003,17-29 y.,No,0.90441,3633,3989,0.89529,0.91354
2003,30-45 y.,Yes,0.09274,668,6914,0.08590,0.09958
2003,30-45 y.,No,0.90260,6246,6914,0.89561,0.90959
2003,46-65 y.,Yes,0.12359,910,7545,0.11617,0.13102
2003,46-65 y.,No,0.87130,6635,7545,0.86374,0.87885
2003,66 and older,Yes,0.19015,682,3636,0.17739,0.20290
2003,66 and older,No,0.80461,2954,3636,0.79172,0.81750
2004,17-29 y.,Yes,0.06964,303,3941,0.06169,0.07758
2004,17-29 y.,No,0.92488,3638,3941,0.91665,0.93312
2004,30-45 y.,Yes,0.09322,619,6513,0.08616,0.10028
2004,30-45 y.,No,0.90326,5894,6513,0.89608,0.91044
2004,46-65 y.,Yes,0.12391,884,7346,0.11637,0.13144
2004,46-65 y.,No,0.87225,6462,7346,0.86462,0.87989
2004,66 and older,Yes,0.21924,770,3750,0.20599,0.23248
2004,66 and older,No,0.77723,2980,3750,0.76391,0.79055
2005,17-29 y.,Yes,0.07111,260,3811,0.06294,0.07927
