year,age_gr,regtyp,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Yes,0.10057,268,2486,0.08875,0.11240
1985,17-29 y.,Urban regions,No,0.89905,2218,2486,0.88721,0.91090
1985,17-29 y.,Rural regions,Yes,0.10332,74,651,0.07992,0.12672
1985,17-29 y.,Rural regions,No,0.89508,577,651,0.87152,0.91864
1985,30-45 y.,Urban regions,Yes,0.09147,283,2743,0.08068,0.10226
1985,30-45 y.,Urban regions,No,0.90541,2460,2743,0.89445,0.91636
1985,30-45 y.,Rural regions,Yes,0.12019,82,723,0.09647,0.14391
1985,30-45 y.,Rural regions,No,0.87652,641,723,0.85252,0.90052
1985,46-65 y.,Urban regions,Yes,0.10693,288,2601,0.09505,0.11880
1985,46-65 y.,Urban regions,No,0.89204,2313,2601,0.88011,0.90397
1985,46-65 y.,Rural regions,Yes,0.11830,87,699,0.09434,0.14226
1985,46-65 y.,Rural regions,No,0.88170,612,699,0.85774,0.90566
1985,66 and older,Urban regions,Yes,0.15649,126,811,0.13147,0.18151
1985,66 and older,Urban regions,No,0.83827,685,811,0.81292,0.86363
1985,66 and older,Rural regions,Yes,0.16226,46,291,0.11982,0.20469
1985,66 and older,Rural regions,No,0.83774,245,291,0.79531,0.88018
1986,17-29 y.,Urban regions,Yes,0.11567,287,2411,0.10290,0.12844
1986,17-29 y.,Urban regions,No,0.88338,2124,2411,0.87057,0.89619
1986,17-29 y.,Rural regions,Yes,0.11697,76,641,0.09207,0.14187
1986,17-29 y.,Rural regions,No,0.88303,565,641,0.85813,0.90793
1986,30-45 y.,Urban regions,Yes,0.09926,281,2591,0.08775,0.11078
1986,30-45 y.,Urban regions,No,0.89811,2310,2591,0.88645,0.90976
1986,30-45 y.,Rural regions,Yes,0.09711,70,669,0.07466,0.11957
1986,30-45 y.,Rural regions,No,0.89947,599,669,0.87667,0.92228
1986,46-65 y.,Urban regions,Yes,0.11736,314,2549,0.10486,0.12986
1986,46-65 y.,Urban regions,No,0.88061,2235,2549,0.86802,0.89320
1986,46-65 y.,Rural regions,Yes,0.11744,81,672,0.09308,0.14180
1986,46-65 y.,Rural regions,No,0.87823,591,672,0.85349,0.90298
1986,66 and older,Urban regions,Yes,0.18619,139,756,0.15842,0.21395
1986,66 and older,Urban regions,No,0.80405,617,756,0.77574,0.83237
1986,66 and older,Rural regions,Yes,0.15552,43,265,0.11180,0.19924
1986,66 and older,Rural regions,No,0.83828,222,265,0.79386,0.88269
1987,17-29 y.,Urban regions,Yes,0.11183,273,2358,0.09911,0.12456
1987,17-29 y.,Urban regions,No,0.88430,2085,2358,0.87139,0.89721
1987,17-29 y.,Rural regions,Yes,0.12911,83,642,0.10315,0.15507
1987,17-29 y.,Rural regions,No,0.86997,559,642,0.84394,0.89601
