year,age_gr,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Yes,0.09424,338,3426,0.08446,0.10403
1984,17-29 y.,West,No,0.90177,3088,3426,0.89181,0.91174
1984,30-45 y.,West,Yes,0.10401,417,3899,0.09443,0.11360
1984,30-45 y.,West,No,0.89371,3482,3899,0.88403,0.90338
1984,46-65 y.,West,Yes,0.11333,419,3549,0.10290,0.12376
1984,46-65 y.,West,No,0.88515,3130,3549,0.87466,0.89564
1984,66 and older,West,Yes,0.15054,192,1265,0.13083,0.17025
1984,66 and older,West,No,0.84774,1073,1265,0.82793,0.86755
1985,17-29 y.,West,Yes,0.10124,342,3137,0.09068,0.11180
1985,17-29 y.,West,No,0.89809,2795,3137,0.88750,0.90868
1985,30-45 y.,West,Yes,0.09827,365,3466,0.08835,0.10818
1985,30-45 y.,West,No,0.89857,3101,3466,0.88852,0.90863
1985,46-65 y.,West,Yes,0.10970,375,3300,0.09903,0.12036
1985,46-65 y.,West,No,0.88952,2925,3300,0.87882,0.90022
1985,66 and older,West,Yes,0.15807,172,1102,0.13652,0.17961
1985,66 and older,West,No,0.83813,930,1102,0.81637,0.85989
1986,17-29 y.,West,Yes,0.11600,363,3052,0.10463,0.12736
1986,17-29 y.,West,No,0.88329,2689,3052,0.87190,0.89469
1986,30-45 y.,West,Yes,0.09877,351,3260,0.08852,0.10901
1986,30-45 y.,West,No,0.89842,2909,3260,0.88805,0.90879
1986,46-65 y.,West,Yes,0.11738,395,3221,0.10626,0.12850
1986,46-65 y.,West,No,0.88004,2826,3221,0.86882,0.89126
1986,66 and older,West,Yes,0.17808,182,1021,0.15460,0.20156
1986,66 and older,West,No,0.81310,839,1021,0.78918,0.83703
1987,17-29 y.,West,Yes,0.11601,356,3000,0.10455,0.12747
1987,17-29 y.,West,No,0.88083,2644,3000,0.86924,0.89243
1987,30-45 y.,West,Yes,0.10179,327,3159,0.09125,0.11234
1987,30-45 y.,West,No,0.89428,2832,3159,0.88356,0.90501
1987,46-65 y.,West,Yes,0.10705,349,3197,0.09633,0.11777
1987,46-65 y.,West,No,0.88773,2848,3197,0.87679,0.89868
1987,66 and older,West,Yes,0.19690,202,1064,0.17300,0.22081
1987,66 and older,West,No,0.79805,862,1064,0.77392,0.82218
1988,17-29 y.,West,Yes,0.11300,329,2868,0.10141,0.12459
1988,17-29 y.,West,No,0.88500,2539,2868,0.87332,0.89668
1988,30-45 y.,West,Yes,0.10700,320,2945,0.09584,0.11817
1988,30-45 y.,West,No,0.89015,2625,2945,0.87886,0.90145
1988,46-65 y.,West,Yes,0.11670,365,3094,0.10538,0.12801
1988,46-65 y.,West,No,0.87733,2729,3094,0.86577,0.88889
1988,66 and older,West,Yes,0.18192,187,1031,0.15836,0.20548
1988,66 and older,West,No,0.81354,844,1031,0.78976,0.83733
1989,17-29 y.,West,Yes,0.11055,327,2820,0.09898,0.12213
1989,17-29 y.,West,No,0.88766,2493,2820,0.87600,0.89931
1989,30-45 y.,West,Yes,0.10217,299,2836,0.09102,0.11332
1989,30-45 y.,West,No,0.89645,2537,2836,0.88523,0.90766
1989,46-65 y.,West,Yes,0.11230,335,2969,0.10094,0.12365
1989,46-65 y.,West,No,0.88416,2634,2969,0.87264,0.89567
1989,66 and older,West,Yes,0.18777,184,1005,0.16361,0.21193
1989,66 and older,West,No,0.80572,821,1005,0.78125,0.83019
1991,17-29 y.,West,Yes,0.14116,350,2681,0.12798,0.15434
1991,17-29 y.,West,No,0.84772,2331,2681,0.83412,0.86133
1991,30-45 y.,West,Yes,0.09701,277,2810,0.08606,0.10795
1991,30-45 y.,West,No,0.89866,2533,2810,0.88750,0.90982
1991,46-65 y.,West,Yes,0.11547,331,2842,0.10372,0.12722
1991,46-65 y.,West,No,0.87816,2511,2842,0.86613,0.89018
1991,66 and older,West,Yes,0.20462,211,1045,0.18015,0.22909
1991,66 and older,West,No,0.78688,834,1045,0.76204,0.81172
1992,17-29 y.,West,Yes,0.11462,300,2656,0.10251,0.12674
1992,17-29 y.,West,No,0.88411,2356,2656,0.87194,0.89629
1992,17-29 y.,East,Yes,0.10542,95,911,0.08546,0.12537
1992,17-29 y.,East,No,0.88980,816,911,0.86946,0.91015
1992,30-45 y.,West,Yes,0.10437,302,2812,0.09307,0.11567
1992,30-45 y.,West,No,0.89057,2510,2812,0.87903,0.90211
1992,30-45 y.,East,Yes,0.07126,99,1431,0.05793,0.08459
1992,30-45 y.,East,No,0.92581,1332,1431,0.91223,0.93940
1992,46-65 y.,West,Yes,0.10454,294,2788,0.09318,0.11590
1992,46-65 y.,West,No,0.89148,2494,2788,0.87993,0.90303
1992,46-65 y.,East,Yes,0.09332,115,1229,0.07705,0.10959
1992,46-65 y.,East,No,0.90268,1114,1229,0.88610,0.91926
1992,66 and older,West,Yes,0.21648,222,1047,0.19152,0.24144
1992,66 and older,West,No,0.77109,825,1047,0.74563,0.79655
1992,66 and older,East,Yes,0.14264,56,387,0.10776,0.17753
1992,66 and older,East,No,0.84730,331,387,0.81142,0.88319
1994,17-29 y.,West,Yes,0.10132,256,2490,0.08947,0.11318
1994,17-29 y.,West,No,0.89560,2234,2490,0.88359,0.90762
1994,17-29 y.,East,Yes,0.10540,87,844,0.08467,0.12613
1994,17-29 y.,East,No,0.89419,757,844,0.87343,0.91496
