year,quintil_oecd,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Yes,0.09729,321,2482,0.08562,0.10895
1984,1st Quintile,No,0.66909,2161,2482,0.65057,0.68760
1984,2nd Quintile,Yes,0.09439,279,2381,0.08265,0.10614
1984,2nd Quintile,No,0.69778,2102,2381,0.67933,0.71623
1984,3rd Quintile,Yes,0.09045,254,2357,0.07887,0.10204
1984,3rd Quintile,No,0.72878,2103,2357,0.71083,0.74673
1984,4th Quintile,Yes,0.08873,258,2493,0.07757,0.09990
1984,4th Quintile,No,0.76157,2235,2493,0.74484,0.77830
1984,5th Quintile,Yes,0.09398,251,2404,0.08231,0.10565
1984,5th Quintile,No,0.79988,2153,2404,0.78388,0.81588
1985,1st Quintile,Yes,0.09821,288,2244,0.08590,0.11053
1985,1st Quintile,No,0.67486,1956,2244,0.65547,0.69424
1985,2nd Quintile,Yes,0.10209,275,2150,0.08929,0.11489
1985,2nd Quintile,No,0.69292,1875,2150,0.67342,0.71243
1985,3rd Quintile,Yes,0.09174,248,2204,0.07968,0.10379
1985,3rd Quintile,No,0.75220,1956,2204,0.73417,0.77022
1985,4th Quintile,Yes,0.09231,233,2226,0.08028,0.10434
1985,4th Quintile,No,0.77852,1993,2226,0.76127,0.79577
1985,5th Quintile,Yes,0.08985,209,2173,0.07782,0.10188
1985,5th Quintile,No,0.81204,1964,2173,0.79561,0.82847
1986,1st Quintile,Yes,0.10743,289,2068,0.09408,0.12078
1986,1st Quintile,No,0.67377,1779,2068,0.65356,0.69398
1986,2nd Quintile,Yes,0.10098,263,2075,0.08802,0.11395
1986,2nd Quintile,No,0.68844,1812,2075,0.66850,0.70837
1986,3rd Quintile,Yes,0.10679,272,2099,0.09358,0.12001
1986,3rd Quintile,No,0.71810,1827,2099,0.69885,0.73736
1986,4th Quintile,Yes,0.10170,249,2210,0.08909,0.11430
1986,4th Quintile,No,0.77487,1961,2210,0.75746,0.79229
1986,5th Quintile,Yes,0.09778,218,2096,0.08506,0.11049
1986,5th Quintile,No,0.80373,1878,2096,0.78672,0.82074
1987,1st Quintile,Yes,0.12487,291,2020,0.11045,0.13929
1987,1st Quintile,No,0.65611,1729,2020,0.63539,0.67683
1987,2nd Quintile,Yes,0.11213,275,2046,0.09845,0.12581
1987,2nd Quintile,No,0.67389,1771,2046,0.65357,0.69420
1987,3rd Quintile,Yes,0.09880,233,2092,0.08601,0.11159
1987,3rd Quintile,No,0.71926,1859,2092,0.70000,0.73852
1987,4th Quintile,Yes,0.08497,210,2186,0.07327,0.09666
1987,4th Quintile,No,0.79296,1976,2186,0.77597,0.80995
1987,5th Quintile,Yes,0.09788,224,2073,0.08508,0.11067
1987,5th Quintile,No,0.79707,1849,2073,0.77975,0.81438
1988,1st Quintile,Yes,0.11424,263,1958,0.10015,0.12834
