year,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,West,No,0.64451,17278,19926,0.63786,0.65116
2013,East,Yes,0.12000,797,5726,0.11158,0.12842
2013,East,No,0.72100,4929,5726,0.70938,0.73262
2014,West,Yes,0.11503,2765,21460,0.11076,0.11930
2014,West,No,0.72180,18695,21460,0.71581,0.72780
2014,East,Yes,0.11950,786,5569,0.11098,0.12802
2014,East,No,0.73632,4783,5569,0.72475,0.74790
2015,West,Yes,0.11399,2570,19747,0.10956,0.11843
2015,West,No,0.70475,17177,19747,0.69839,0.71111
2015,East,Yes,0.12098,748,5245,0.11216,0.12981
2015,East,No,0.72220,4497,5245,0.71008,0.73433
2016,West,Yes,0.11191,2503,19104,0.10744,0.11638
2016,West,No,0.71872,16601,19104,0.71234,0.72509
2016,East,Yes,0.11388,681,5016,0.10509,0.12267
2016,East,No,0.72979,4335,5016,0.71750,0.74208
2017,West,Yes,0.11662,2770,20804,0.11226,0.12098
2017,West,No,0.71032,18034,20804,0.70416,0.71649
2017,East,Yes,0.12381,787,5578,0.11516,0.13245
2017,East,No,0.71561,4791,5578,0.70377,0.72745
2018,West,Yes,0.11474,2615,20049,0.11033,0.11916
2018,West,No,0.71750,17434,20049,0.71126,0.72373
2018,East,Yes,0.12993,804,5470,0.12102,0.13884
2018,East,No,0.70472,4666,5470,0.69263,0.71681
2019,West,Yes,0.11568,2678,20063,0.11126,0.12011
2019,West,No,0.71102,17385,20063,0.70475,0.71730
2019,East,Yes,0.11970,758,5537,0.11114,0.12825
2019,East,No,0.72014,4779,5537,0.70832,0.73197
2020,West,Yes,0.11846,2935,22653,0.11426,0.12267
2020,West,No,0.71104,19718,22653,0.70514,0.71694
2020,East,Yes,0.11774,736,5705,0.10937,0.12610
2020,East,No,0.72426,4969,5705,0.71267,0.73586
2021,West,Yes,0.10379,1634,13551,0.09866,0.10893
2021,West,No,0.71493,11917,13551,0.70733,0.72253
2021,East,Yes,0.10130,440,3614,0.09146,0.11114
2021,East,No,0.72783,3174,3614,0.71332,0.74235
