,Unnamed: 0,year,regtyp,sampreg,pld0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,Urban regions,West,Very often,0.04487,608,22016,0.04192,0.04798
1,1,2003,Urban regions,West,Often,0.07238,991,22016,0.06869,0.07585
2,2,2003,Urban regions,West,Sometimes,0.09272,1211,22016,0.08852,0.09697
3,3,2003,Urban regions,West,Seldom,0.16232,2146,22016,0.15582,0.16843
4,4,2003,Urban regions,West,Never,0.62772,7919,22016,0.61874,0.63855
5,5,2003,Urban regions,East,Very often,0.03783,65,22016,0.03096,0.04521
6,6,2003,Urban regions,East,Often,0.05675,114,22016,0.04992,0.06372
7,7,2003,Urban regions,East,Sometimes,0.09369,178,22016,0.08423,0.10511
8,8,2003,Urban regions,East,Seldom,0.15537,292,22016,0.14158,0.16878
9,9,2003,Urban regions,East,Never,0.65637,1106,22016,0.6318,0.68326
10,10,2003,Rural regions,West,Very often,0.06405,250,22016,0.05916,0.07005
11,11,2003,Rural regions,West,Often,0.10012,418,22016,0.09412,0.10701
12,12,2003,Rural regions,West,Sometimes,0.12702,514,22016,0.11872,0.13582
13,13,2003,Rural regions,West,Seldom,0.19594,789,22016,0.18429,0.20631
14,14,2003,Rural regions,West,Never,0.51287,1855,22016,0.49851,0.52998
15,15,2003,Rural regions,East,Very often,0.03216,117,22016,0.02767,0.03726
16,16,2003,Rural regions,East,Often,0.07156,260,22016,0.06542,0.07797
17,17,2003,Rural regions,East,Sometimes,0.1038,390,22016,0.09695,0.11196
18,18,2003,Rural regions,East,Seldom,0.18097,693,22016,0.16976,0.18913
19,19,2003,Rural regions,East,Never,0.61151,2100,22016,0.59292,0.62625
20,20,2008,Urban regions,West,Very often,0.04658,537,19187,0.04307,0.05051
21,21,2008,Urban regions,West,Often,0.08208,921,19187,0.07674,0.08687
22,22,2008,Urban regions,West,Sometimes,0.0981,1095,19187,0.09331,0.10349
23,23,2008,Urban regions,West,Seldom,0.16567,1812,19187,0.15887,0.17154
24,24,2008,Urban regions,West,Never,0.60757,6616,19187,0.59668,0.62045
25,25,2008,Urban regions,East,Very often,0.03395,63,19187,0.02722,0.04169
26,26,2008,Urban regions,East,Often,0.07319,114,19187,0.05873,0.09029
27,27,2008,Urban regions,East,Sometimes,0.07418,136,19187,0.06437,0.08608
28,28,2008,Urban regions,East,Seldom,0.1593,287,19187,0.14644,0.17693
29,29,2008,Urban regions,East,Never,0.65937,1008,19187,0.62566,0.69077
30,30,2008,Rural regions,West,Very often,0.07286,253,19187,0.06564,0.08062
31,31,2008,Rural regions,West,Often,0.11774,413,19187,0.10605,0.1269
32,32,2008,Rural regions,West,Sometimes,0.11325,417,19187,0.1041,0.12179
33,33,2008,Rural regions,West,Seldom,0.20222,704,19187,0.19006,0.21416
34,34,2008,Rural regions,West,Never,0.49392,1682,19187,0.47534,0.51186
35,35,2008,Rural regions,East,Very often,0.04198,151,19187,0.03653,0.04965
36,36,2008,Rural regions,East,Often,0.07779,267,19187,0.07012,0.08682
37,37,2008,Rural regions,East,Sometimes,0.10542,336,19187,0.09519,0.11776
38,38,2008,Rural regions,East,Seldom,0.17192,551,19187,0.15934,0.18513
39,39,2008,Rural regions,East,Never,0.60289,1824,19187,0.57862,0.62412
40,40,2013,Urban regions,West,Very often,0.05521,948,25355,0.05091,0.05981
41,41,2013,Urban regions,West,Often,0.08964,1527,25355,0.08469,0.09492
42,42,2013,Urban regions,West,Sometimes,0.09687,1535,25355,0.0918,0.10252
43,43,2013,Urban regions,West,Seldom,0.17539,2440,25355,0.16642,0.18397
44,44,2013,Urban regions,West,Never,0.5829,7697,25355,0.57076,0.59964
45,45,2013,Urban regions,East,Very often,0.03293,93,25355,0.02474,0.04035
46,46,2013,Urban regions,East,Often,0.08496,180,25355,0.07106,0.09962
47,47,2013,Urban regions,East,Sometimes,0.08291,164,25355,0.06691,0.09751
48,48,2013,Urban regions,East,Seldom,0.15406,328,25355,0.13792,0.17516
49,49,2013,Urban regions,East,Never,0.64513,1179,25355,0.61004,0.68799
50,50,2013,Rural regions,West,Very often,0.06588,486,25355,0.05885,0.07286
51,51,2013,Rural regions,West,Often,0.12542,794,25355,0.11615,0.13675
52,52,2013,Rural regions,West,Sometimes,0.12502,708,25355,0.1151,0.13728
53,53,2013,Rural regions,West,Seldom,0.20113,1057,25355,0.18854,0.21395
54,54,2013,Rural regions,West,Never,0.48256,2477,25355,0.46177,0.50379
55,55,2013,Rural regions,East,Very often,0.04358,170,25355,0.03749,0.05072
56,56,2013,Rural regions,East,Often,0.08476,341,25355,0.07238,0.09624
57,57,2013,Rural regions,East,Sometimes,0.1145,439,25355,0.10359,0.12496
58,58,2013,Rural regions,East,Seldom,0.19541,727,25355,0.17867,0.21265
59,59,2013,Rural regions,East,Never,0.56175,2065,25355,0.53561,0.59116
60,60,2018,Urban regions,West,Very often,0.06526,1040,25511,0.06088,0.07
61,61,2018,Urban regions,West,Often,0.08901,1414,25511,0.08433,0.09458
62,62,2018,Urban regions,West,Sometimes,0.10717,1551,25511,0.10051,0.11383
63,63,2018,Urban regions,West,Seldom,0.1719,2431,25511,0.16391,0.18011
64,64,2018,Urban regions,West,Never,0.56666,8218,25511,0.55447,0.57909
65,65,2018,Urban regions,East,Very often,0.04734,108,25511,0.03629,0.0574
66,66,2018,Urban regions,East,Often,0.08668,166,25511,0.06716,0.10513
67,67,2018,Urban regions,East,Sometimes,0.0884,164,25511,0.06992,0.10711
68,68,2018,Urban regions,East,Seldom,0.12723,263,25511,0.10951,0.14773
69,69,2018,Urban regions,East,Never,0.65035,1222,25511,0.61192,0.68771
70,70,2018,Rural regions,West,Very often,0.07345,458,25511,0.06706,0.07992
71,71,2018,Rural regions,West,Often,0.12394,703,25511,0.11276,0.13391
72,72,2018,Rural regions,West,Sometimes,0.13297,682,25511,0.12103,0.14471
73,73,2018,Rural regions,West,Seldom,0.20339,1006,25511,0.18888,0.21792
74,74,2018,Rural regions,West,Never,0.46625,2538,25511,0.44436,0.48537
75,75,2018,Rural regions,East,Very often,0.05145,176,25511,0.04341,0.05953
76,76,2018,Rural regions,East,Often,0.0935,341,25511,0.0827,0.10381
77,77,2018,Rural regions,East,Sometimes,0.10425,401,25511,0.09303,0.11451
78,78,2018,Rural regions,East,Seldom,0.16448,586,25511,0.14719,0.1807
79,79,2018,Rural regions,East,Never,0.58631,2043,25511,0.55966,0.616
