year,bula_h,regtyp,pld0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,Schleswig-Holstein,Urban regions,Seldom,0.22440,42,21397,0.22355,0.22525
2003,Schleswig-Holstein,Urban regions,Never,0.77560,213,21397,0.77475,0.77645
2003,Schleswig-Holstein,Rural regions,Often,0.11859,33,21397,0.11804,0.11913
2003,Schleswig-Holstein,Rural regions,Sometimes,0.11820,36,21397,0.11765,0.11874
2003,Schleswig-Holstein,Rural regions,Seldom,0.22732,78,21397,0.22661,0.22802
2003,Schleswig-Holstein,Rural regions,Never,0.53590,206,21397,0.53506,0.53674
2003,Hamburg,Urban regions,Seldom,0.28371,73,21397,0.28280,0.28462
2003,Hamburg,Urban regions,Never,0.71629,159,21397,0.71538,0.71720
2003,Lower Saxony,Urban regions,Very often,0.04181,55,21397,0.04159,0.04203
2003,Lower Saxony,Urban regions,Often,0.05928,73,21397,0.05902,0.05954
2003,Lower Saxony,Urban regions,Sometimes,0.11675,109,21397,0.11640,0.11711
2003,Lower Saxony,Urban regions,Seldom,0.16240,143,21397,0.16199,0.16281
2003,Lower Saxony,Urban regions,Never,0.61975,537,21397,0.61922,0.62029
2003,Lower Saxony,Rural regions,Very often,0.06278,63,21397,0.06252,0.06304
2003,Lower Saxony,Rural regions,Often,0.10084,105,21397,0.10052,0.10116
2003,Lower Saxony,Rural regions,Sometimes,0.14562,148,21397,0.14525,0.14600
2003,Lower Saxony,Rural regions,Seldom,0.21688,229,21397,0.21644,0.21732
2003,Lower Saxony,Rural regions,Never,0.47388,438,21397,0.47334,0.47441
2003,Bremen,Urban regions,Never,1.00000,126,21397,1.00000,1.00000
2003,North Rhine-Westphalia,Urban regions,Very often,0.03837,172,21397,0.03827,0.03847
2003,North Rhine-Westphalia,Urban regions,Often,0.06442,308,21397,0.06429,0.06455
2003,North Rhine-Westphalia,Urban regions,Sometimes,0.09780,435,21397,0.09765,0.09796
2003,North Rhine-Westphalia,Urban regions,Seldom,0.15479,733,21397,0.15460,0.15498
2003,North Rhine-Westphalia,Urban regions,Never,0.64462,2881,21397,0.64437,0.64487
2003,North Rhine-Westphalia,Rural regions,Never,1.00000,72,21397,1.00000,1.00000
2003,Hesse,Urban regions,Very often,0.06037,73,21397,0.06013,0.06060
2003,Hesse,Urban regions,Often,0.06550,85,21397,0.06526,0.06574
2003,Hesse,Urban regions,Sometimes,0.07942,117,21397,0.07916,0.07969
2003,Hesse,Urban regions,Seldom,0.14846,185,21397,0.14811,0.14881
2003,Hesse,Urban regions,Never,0.64625,755,21397,0.64579,0.64672
2003,Hesse,Rural regions,Often,0.11464,38,21397,0.11398,0.11529
2003,Hesse,Rural regions,Sometimes,0.13705,37,21397,0.13634,0.13776
2003,Hesse,Rural regions,Seldom,0.21483,56,21397,0.21399,0.21567
