year,sex,pld0045,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2003,male,Nie,0.5799367027908315,27727,0.5741270216636148,0.5857463839180482
2003,male,Selten,0.18874076915699625,27727,0.18413483933966818,0.19334669897432433
2003,male,Manchmal,0.10818068476071736,27727,0.10452458590197236,0.11183678361946237
2003,male,Oft,0.08151913302004411,27727,0.07829829070587502,0.08473997533421321
2003,male,Sehr oft,0.04162271027141076,27727,0.039271789110827925,0.0439736314319936
2003,female,Nie,0.6000711933790157,27727,0.5943048916565126,0.6058374951015189
2003,female,Selten,0.1673934324107858,27727,0.16299909142527294,0.17178777339629867
2003,female,Manchmal,0.10056064785974904,27727,0.09702063692211313,0.10410065879738495
2003,female,Oft,0.07982557622141141,27727,0.07663542889346774,0.08301572354935509
2003,female,Sehr oft,0.052149150129038,27727,0.049532183108420884,0.05476611714965512
2008,male,Nie,0.5713348638897999,23673,0.5650306075033997,0.5776391202762001
2008,male,Selten,0.18694653984913087,23673,0.18198007130485389,0.19191300839340786
2008,male,Manchmal,0.10549907073357385,23673,0.10158576177179435,0.10941237969535336
2008,male,Oft,0.08833497321526183,23673,0.08471993068935572,0.09195001574116794
2008,male,Sehr oft,0.04788455231223352,23673,0.04516453327434204,0.050604571350125
2008,female,Nie,0.5880478087649402,23673,0.5817779299191445,0.594317687610736
2008,female,Selten,0.16374501992031873,23673,0.1590310931557531,0.16845894668488437
2008,female,Manchmal,0.10149402390438247,23673,0.09764713058385337,0.10534091722491158
2008,female,Oft,0.09033864541832669,23673,0.08668685300651387,0.09399043783013951
2008,female,Sehr oft,0.056374501992031874,23673,0.053436374646139526,0.05931262933792422
2013,male,Nie,0.5254119082904716,44486,0.5207715366191243,0.5300522799618188
2013,male,Selten,0.1960596286287159,44486,0.19237027402597195,0.19974898323145984
2013,male,Manchmal,0.11376514689216284,44486,0.11081445800291621,0.11671583578140947
2013,male,Oft,0.10774997820591056,44486,0.1048686265067086,0.11063132990511253
2013,male,Sehr oft,0.05701333798273908,44486,0.05485864497731023,0.05916803098816793
2013,female,Nie,0.532305697615789,44486,0.527669029728793,0.5369423655027851
2013,female,Selten,0.1658863358063819,44486,0.1624296308080648,0.169343040804699
2013,female,Oft,0.11568104876467622,44486,0.11270883550496587,0.11865326202438657
2013,female,Manchmal,0.11099906360296766,44486,0.108079922020849,0.11391820518508632
2013,female,Sehr oft,0.07512785421018511,44486,0.07267830744570031,0.07757740097466992
2018,male,Nie,0.5493365090166723,43121,0.5446401955269324,0.5540328225064122
2018,male,Selten,0.18024838380401498,43121,0.17662020660349348,0.18387656100453648
2018,male,Manchmal,0.11092208234093229,43121,0.1079579978550247,0.11388616682683987
2018,male,Oft,0.09892820687308608,43121,0.09611013915132909,0.10174627459484308
2018,male,Sehr oft,0.06056481796529432,43121,0.058313404403328904,0.06281623152725974
2018,female,Nie,0.5498364231188658,43121,0.5451405798983201,0.5545322663394116
2018,female,Selten,0.15754271174118503,43121,0.15410408715830237,0.1609813363240677
2018,female,Manchmal,0.10861504907306434,43121,0.10567814805590997,0.1115519500902187
2018,female,Oft,0.10621592148309705,43121,0.10330773148096785,0.10912411148522626
2018,female,Sehr oft,0.07778989458378771,43121,0.07526182985573954,0.08031795931183588
