year,sampreg,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,West,Very often,0.04935,858,16701,0.04607,0.05264
2003,West,Often,0.07887,1409,16701,0.07479,0.08296
2003,West,Sometimes,0.10077,1725,16701,0.09620,0.10533
2003,West,Seldom,0.17021,2935,16701,0.16451,0.17591
2003,West,Never,0.60080,9774,16701,0.59337,0.60823
2003,East,Very often,0.03399,182,5315,0.02912,0.03886
2003,East,Often,0.06675,374,5315,0.06004,0.07346
2003,East,Sometimes,0.10053,568,5315,0.09244,0.10861
2003,East,Seldom,0.17269,985,5315,0.16253,0.18286
2003,East,Never,0.62604,3206,5315,0.61303,0.63905
2008,West,Very often,0.05302,790,14450,0.04936,0.05667
2008,West,Often,0.09084,1334,14450,0.08615,0.09552
2008,West,Sometimes,0.10178,1512,14450,0.09685,0.10671
2008,West,Seldom,0.17459,2516,14450,0.16840,0.18078
2008,West,Never,0.57978,8298,14450,0.57173,0.58783
2008,East,Very often,0.03918,214,4737,0.03366,0.04471
2008,East,Often,0.07621,381,4737,0.06865,0.08377
2008,East,Sometimes,0.09453,472,4737,0.08620,0.10287
2008,East,Seldom,0.16754,838,4737,0.15690,0.17817
2008,East,Never,0.62254,2832,4737,0.60873,0.63634
2013,West,Very often,0.05813,1434,19669,0.05486,0.06140
2013,West,Often,0.09889,2321,19669,0.09472,0.10306
2013,West,Sometimes,0.10430,2243,19669,0.10003,0.10857
2013,West,Seldom,0.18230,3497,19669,0.17690,0.18769
2013,West,Never,0.55639,10174,19669,0.54944,0.56333
2013,East,Very often,0.04003,263,5686,0.03494,0.04513
2013,East,Often,0.08500,521,5686,0.07775,0.09225
2013,East,Sometimes,0.10376,603,5686,0.09583,0.11168
2013,East,Seldom,0.18101,1055,5686,0.17100,0.19102
2013,East,Never,0.59020,3244,5686,0.57742,0.60299
2018,West,Very often,0.06732,1498,20041,0.06385,0.07079
2018,West,Often,0.09754,2117,20041,0.09343,0.10165
2018,West,Sometimes,0.11341,2233,20041,0.10902,0.11780
2018,West,Seldom,0.17958,3437,20041,0.17426,0.18489
2018,West,Never,0.54215,10756,20041,0.53525,0.54905
2018,East,Very often,0.04961,284,5470,0.04386,0.05537
2018,East,Often,0.09112,507,5470,0.08349,0.09875
2018,East,Sometimes,0.09894,565,5470,0.09103,0.10685
2018,East,Seldom,0.15078,849,5470,0.14130,0.16027
2018,East,Never,0.60954,3265,5470,0.59661,0.62247
