"pld0045","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2003","(noch) kein Abschluss","Staedtischer Raum","38","0.0686375533217462","0.048862915973309","0.0884121906701834"
"Sehr oft","2003","(noch) kein Abschluss","Laendlicher Raum","13","","",""
"Sehr oft","2003","Hauptschule","Staedtischer Raum","197","","",""
"Sehr oft","2003","Hauptschule","Laendlicher Raum","128","","",""
"Sehr oft","2003","Realschule","Staedtischer Raum","166","","",""
"Sehr oft","2003","Realschule","Laendlicher Raum","111","","",""
"Sehr oft","2003","(Fach-)Abitur","Staedtischer Raum","101","","",""
"Sehr oft","2003","(Fach-)Abitur","Laendlicher Raum","36","0.0699761056376559","0.0490150140431465","0.0909371972321652"
"Sehr oft","2003","AkademikerIn","Staedtischer Raum","156","","",""
"Sehr oft","2003","AkademikerIn","Laendlicher Raum","79","0.0568033798503432","0.0440681881534351","0.0695385715472513"
"Oft","2003","(noch) kein Abschluss","Staedtischer Raum","38","0.0684390715910405","0.0486909425485621","0.0881872006335189"
"Oft","2003","(noch) kein Abschluss","Laendlicher Raum","26","","",""
"Oft","2003","Hauptschule","Staedtischer Raum","331","0.054660084839034","0.0486333489963907","0.0606868206816774"
"Oft","2003","Hauptschule","Laendlicher Raum","254","","",""
"Oft","2003","Realschule","Staedtischer Raum","264","","",""
"Oft","2003","Realschule","Laendlicher Raum","211","","",""
"Oft","2003","(Fach-)Abitur","Staedtischer Raum","160","","",""
"Oft","2003","(Fach-)Abitur","Laendlicher Raum","68","0.109169932178511","0.0835462870104739","0.134793577346548"
"Oft","2003","AkademikerIn","Staedtischer Raum","295","","",""
"Oft","2003","AkademikerIn","Laendlicher Raum","116","","",""
"Manchmal","2003","(noch) kein Abschluss","Staedtischer Raum","55","0.0858404427324954","0.0639313070158147","0.107749578449176"
"Manchmal","2003","(noch) kein Abschluss","Laendlicher Raum","31","0.106188914819023","0.0683016117246898","0.144076217913356"
"Manchmal","2003","Hauptschule","Staedtischer Raum","421","0.0728815601805477","0.065989811244005","0.0797733091170904"
"Manchmal","2003","Hauptschule","Laendlicher Raum","308","0.101222956074728","0.0902847070550099","0.112161205094445"
"Manchmal","2003","Realschule","Staedtischer Raum","345","0.101040709857294","0.0909502898091466","0.111131129905442"
"Manchmal","2003","Realschule","Laendlicher Raum","293","","",""
"Manchmal","2003","(Fach-)Abitur","Staedtischer Raum","207","","",""
"Manchmal","2003","(Fach-)Abitur","Laendlicher Raum","73","0.149191063055202","0.119917244030211","0.178464882080193"
"Manchmal","2003","AkademikerIn","Staedtischer Raum","339","0.113979533711195","0.102718100449893","0.125240966972498"
"Manchmal","2003","AkademikerIn","Laendlicher Raum","195","","",""
"Selten","2003","(noch) kein Abschluss","Staedtischer Raum","123","","",""
"Selten","2003","(noch) kein Abschluss","Laendlicher Raum","40","0.138771837980352","0.096256952431939","0.181286723528764"
"Selten","2003","Hauptschule","Staedtischer Raum","780","0.144464733273536","0.135143939776643","0.153785526770429"
"Selten","2003","Hauptschule","Laendlicher Raum","530","0.171235467246535","0.157574081554695","0.184896852938374"
"Selten","2003","Realschule","Staedtischer Raum","577","0.158588692181926","0.146358555243674","0.170818829120177"
"Selten","2003","Realschule","Laendlicher Raum","487","0.206049541159327","0.18961948185873","0.222479600459925"
"Selten","2003","(Fach-)Abitur","Staedtischer Raum","348","0.190128682669926","0.172189313544275","0.208068051795577"
"Selten","2003","(Fach-)Abitur","Laendlicher Raum","107","","",""
"Selten","2003","AkademikerIn","Staedtischer Raum","570","0.182276211093197","0.168594933182423","0.195957489003971"
"Selten","2003","AkademikerIn","Laendlicher Raum","307","0.233366564239707","0.210094737526657","0.256638390952757"
"Nie","2003","(noch) kein Abschluss","Staedtischer Raum","374","0.586088214236136","0.547566672575325","0.624609755896946"
"Nie","2003","(noch) kein Abschluss","Laendlicher Raum","144","","",""
"Nie","2003","Hauptschule","Staedtischer Raum","3736","0.693617450975604","0.681395373679555","0.705839528271652"
"Nie","2003","Hauptschule","Laendlicher Raum","1701","","",""
"Nie","2003","Realschule","Staedtischer Raum","2075","","",""
"Nie","2003","Realschule","Laendlicher Raum","1226","","",""
"Nie","2003","(Fach-)Abitur","Staedtischer Raum","1022","","",""
"Nie","2003","(Fach-)Abitur","Laendlicher Raum","285","","",""
"Nie","2003","AkademikerIn","Staedtischer Raum","1699","","",""
"Nie","2003","AkademikerIn","Laendlicher Raum","572","0.468673187553156","0.441217444587088","0.496128930519224"
"Sehr oft","2004","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Sehr oft","2004","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Sehr oft","2004","Hauptschule","Staedtischer Raum","","","",""
"Sehr oft","2004","Hauptschule","Laendlicher Raum","","","",""
"Sehr oft","2004","Realschule","Staedtischer Raum","","","",""
"Sehr oft","2004","Realschule","Laendlicher Raum","","","",""
"Sehr oft","2004","(Fach-)Abitur","Staedtischer Raum","","","",""
"Sehr oft","2004","(Fach-)Abitur","Laendlicher Raum","","","",""
"Sehr oft","2004","AkademikerIn","Staedtischer Raum","","","",""
"Sehr oft","2004","AkademikerIn","Laendlicher Raum","","","",""
"Oft","2004","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Oft","2004","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Oft","2004","Hauptschule","Staedtischer Raum","","","",""
"Oft","2004","Hauptschule","Laendlicher Raum","","","",""
"Oft","2004","Realschule","Staedtischer Raum","","","",""
"Oft","2004","Realschule","Laendlicher Raum","","","",""
"Oft","2004","(Fach-)Abitur","Staedtischer Raum","","","",""
"Oft","2004","(Fach-)Abitur","Laendlicher Raum","","","",""
"Oft","2004","AkademikerIn","Staedtischer Raum","","","",""
"Oft","2004","AkademikerIn","Laendlicher Raum","","","",""
"Manchmal","2004","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Manchmal","2004","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Manchmal","2004","Hauptschule","Staedtischer Raum","","","",""
"Manchmal","2004","Hauptschule","Laendlicher Raum","","","",""
"Manchmal","2004","Realschule","Staedtischer Raum","","","",""
"Manchmal","2004","Realschule","Laendlicher Raum","","","",""
"Manchmal","2004","(Fach-)Abitur","Staedtischer Raum","","","",""
"Manchmal","2004","(Fach-)Abitur","Laendlicher Raum","","","",""
"Manchmal","2004","AkademikerIn","Staedtischer Raum","","","",""
"Manchmal","2004","AkademikerIn","Laendlicher Raum","","","",""
"Selten","2004","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Selten","2004","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Selten","2004","Hauptschule","Staedtischer Raum","","","",""
"Selten","2004","Hauptschule","Laendlicher Raum","","","",""
"Selten","2004","Realschule","Staedtischer Raum","","","",""
"Selten","2004","Realschule","Laendlicher Raum","","","",""
"Selten","2004","(Fach-)Abitur","Staedtischer Raum","","","",""
"Selten","2004","(Fach-)Abitur","Laendlicher Raum","","","",""
"Selten","2004","AkademikerIn","Staedtischer Raum","","","",""
"Selten","2004","AkademikerIn","Laendlicher Raum","","","",""
"Nie","2004","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nie","2004","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nie","2004","Hauptschule","Staedtischer Raum","","","",""
"Nie","2004","Hauptschule","Laendlicher Raum","","","",""
"Nie","2004","Realschule","Staedtischer Raum","","","",""
"Nie","2004","Realschule","Laendlicher Raum","","","",""
"Nie","2004","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nie","2004","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nie","2004","AkademikerIn","Staedtischer Raum","","","",""
"Nie","2004","AkademikerIn","Laendlicher Raum","","","",""
"Sehr oft","2005","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Sehr oft","2005","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Sehr oft","2005","Hauptschule","Staedtischer Raum","","","",""
"Sehr oft","2005","Hauptschule","Laendlicher Raum","","","",""
"Sehr oft","2005","Realschule","Staedtischer Raum","","","",""
"Sehr oft","2005","Realschule","Laendlicher Raum","","","",""
"Sehr oft","2005","(Fach-)Abitur","Staedtischer Raum","","","",""
"Sehr oft","2005","(Fach-)Abitur","Laendlicher Raum","","","",""
"Sehr oft","2005","AkademikerIn","Staedtischer Raum","","","",""
"Sehr oft","2005","AkademikerIn","Laendlicher Raum","","","",""
"Oft","2005","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Oft","2005","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Oft","2005","Hauptschule","Staedtischer Raum","","","",""
"Oft","2005","Hauptschule","Laendlicher Raum","","","",""
"Oft","2005","Realschule","Staedtischer Raum","","","",""
"Oft","2005","Realschule","Laendlicher Raum","","","",""
"Oft","2005","(Fach-)Abitur","Staedtischer Raum","","","",""
"Oft","2005","(Fach-)Abitur","Laendlicher Raum","","","",""
"Oft","2005","AkademikerIn","Staedtischer Raum","","","",""
"Oft","2005","AkademikerIn","Laendlicher Raum","","","",""
"Manchmal","2005","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Manchmal","2005","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Manchmal","2005","Hauptschule","Staedtischer Raum","","","",""
"Manchmal","2005","Hauptschule","Laendlicher Raum","","","",""
"Manchmal","2005","Realschule","Staedtischer Raum","","","",""
"Manchmal","2005","Realschule","Laendlicher Raum","","","",""
"Manchmal","2005","(Fach-)Abitur","Staedtischer Raum","","","",""
"Manchmal","2005","(Fach-)Abitur","Laendlicher Raum","","","",""
"Manchmal","2005","AkademikerIn","Staedtischer Raum","","","",""
"Manchmal","2005","AkademikerIn","Laendlicher Raum","","","",""
"Selten","2005","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Selten","2005","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Selten","2005","Hauptschule","Staedtischer Raum","","","",""
"Selten","2005","Hauptschule","Laendlicher Raum","","","",""
"Selten","2005","Realschule","Staedtischer Raum","","","",""
"Selten","2005","Realschule","Laendlicher Raum","","","",""
"Selten","2005","(Fach-)Abitur","Staedtischer Raum","","","",""
"Selten","2005","(Fach-)Abitur","Laendlicher Raum","","","",""
"Selten","2005","AkademikerIn","Staedtischer Raum","","","",""
"Selten","2005","AkademikerIn","Laendlicher Raum","","","",""
"Nie","2005","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nie","2005","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nie","2005","Hauptschule","Staedtischer Raum","","","",""
"Nie","2005","Hauptschule","Laendlicher Raum","","","",""
"Nie","2005","Realschule","Staedtischer Raum","","","",""
"Nie","2005","Realschule","Laendlicher Raum","","","",""
"Nie","2005","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nie","2005","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nie","2005","AkademikerIn","Staedtischer Raum","","","",""
"Nie","2005","AkademikerIn","Laendlicher Raum","","","",""
"Sehr oft","2006","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Sehr oft","2006","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Sehr oft","2006","Hauptschule","Staedtischer Raum","","","",""
"Sehr oft","2006","Hauptschule","Laendlicher Raum","","","",""
"Sehr oft","2006","Realschule","Staedtischer Raum","","","",""
"Sehr oft","2006","Realschule","Laendlicher Raum","","","",""
"Sehr oft","2006","(Fach-)Abitur","Staedtischer Raum","","","",""
"Sehr oft","2006","(Fach-)Abitur","Laendlicher Raum","","","",""
"Sehr oft","2006","AkademikerIn","Staedtischer Raum","","","",""
"Sehr oft","2006","AkademikerIn","Laendlicher Raum","","","",""
"Oft","2006","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Oft","2006","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Oft","2006","Hauptschule","Staedtischer Raum","","","",""
"Oft","2006","Hauptschule","Laendlicher Raum","","","",""
"Oft","2006","Realschule","Staedtischer Raum","","","",""
"Oft","2006","Realschule","Laendlicher Raum","","","",""
"Oft","2006","(Fach-)Abitur","Staedtischer Raum","","","",""
"Oft","2006","(Fach-)Abitur","Laendlicher Raum","","","",""
"Oft","2006","AkademikerIn","Staedtischer Raum","","","",""
"Oft","2006","AkademikerIn","Laendlicher Raum","","","",""
"Manchmal","2006","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Manchmal","2006","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Manchmal","2006","Hauptschule","Staedtischer Raum","","","",""
"Manchmal","2006","Hauptschule","Laendlicher Raum","","","",""
"Manchmal","2006","Realschule","Staedtischer Raum","","","",""
"Manchmal","2006","Realschule","Laendlicher Raum","","","",""
"Manchmal","2006","(Fach-)Abitur","Staedtischer Raum","","","",""
"Manchmal","2006","(Fach-)Abitur","Laendlicher Raum","","","",""
"Manchmal","2006","AkademikerIn","Staedtischer Raum","","","",""
"Manchmal","2006","AkademikerIn","Laendlicher Raum","","","",""
"Selten","2006","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Selten","2006","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Selten","2006","Hauptschule","Staedtischer Raum","","","",""
"Selten","2006","Hauptschule","Laendlicher Raum","","","",""
"Selten","2006","Realschule","Staedtischer Raum","","","",""
