year,pgisced97,quintil_oecd,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Pre-primary Level,1st Quintile,Never,0.53371,55,55,0.40065,0.66677
2003,Pre-primary Level,2nd Quintile,Never,0.56561,61,61,0.44019,0.69103
2003,Pre-primary Level,3rd Quintile,Never,0.46630,59,59,0.33792,0.59469
2003,Pre-primary Level,4th Quintile,Never,0.51608,66,66,0.39459,0.63757
2003,Pre-primary Level,5th Quintile,Seldom,0.18778,40,123,0.11848,0.25708
2003,Pre-primary Level,5th Quintile,Never,0.45149,83,123,0.36319,0.53980
2003,Primary Level,1st Quintile,Never,0.74741,96,96,0.66003,0.83478
2003,Primary Level,2nd Quintile,Never,0.66469,51,51,0.53383,0.79555
2003,Lower Secondary Level,1st Quintile,Very often,0.05255,38,837,0.03742,0.06767
2003,Lower Secondary Level,1st Quintile,Often,0.05485,54,837,0.03942,0.07028
2003,Lower Secondary Level,1st Quintile,Sometimes,0.07690,68,837,0.05883,0.09496
2003,Lower Secondary Level,1st Quintile,Seldom,0.13832,125,837,0.11492,0.16173
2003,Lower Secondary Level,1st Quintile,Never,0.66984,552,837,0.63797,0.70172
2003,Lower Secondary Level,2nd Quintile,Often,0.06340,54,666,0.04488,0.08192
2003,Lower Secondary Level,2nd Quintile,Sometimes,0.06331,48,666,0.04480,0.08182
2003,Lower Secondary Level,2nd Quintile,Seldom,0.14214,96,666,0.11560,0.16868
2003,Lower Secondary Level,2nd Quintile,Never,0.67352,468,666,0.63788,0.70916
2003,Lower Secondary Level,3rd Quintile,Sometimes,0.09435,50,440,0.06700,0.12169
2003,Lower Secondary Level,3rd Quintile,Seldom,0.13576,73,440,0.10372,0.16780
2003,Lower Secondary Level,3rd Quintile,Never,0.67581,317,440,0.63203,0.71960
2003,Lower Secondary Level,4th Quintile,Sometimes,0.07861,40,362,0.05085,0.10637
2003,Lower Secondary Level,4th Quintile,Seldom,0.15739,63,362,0.11982,0.19496
2003,Lower Secondary Level,4th Quintile,Never,0.64207,259,362,0.59261,0.69152
2003,Lower Secondary Level,5th Quintile,Sometimes,0.10347,32,252,0.06579,0.14115
2003,Lower Secondary Level,5th Quintile,Seldom,0.12371,39,252,0.08297,0.16444
2003,Lower Secondary Level,5th Quintile,Never,0.66701,181,252,0.60871,0.72532
2003,Upper Secondary Level,1st Quintile,Very often,0.03435,70,1740,0.02579,0.04291
2003,Upper Secondary Level,1st Quintile,Often,0.05786,112,1740,0.04688,0.06883
2003,Upper Secondary Level,1st Quintile,Sometimes,0.08255,145,1740,0.06961,0.09548
