year,bula_h,pgisced97,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Schleswig-Holstein,Lower Secondary Level,Never,0.63408,55,55,0.50560,0.76255
2003,Schleswig-Holstein,Upper Secondary Level,Seldom,0.18899,59,303,0.14484,0.23315
2003,Schleswig-Holstein,Upper Secondary Level,Never,0.62564,244,303,0.57106,0.68023
2003,Schleswig-Holstein,Second Stage of Tertiary Education,Never,0.46567,60,60,0.33838,0.59295
2003,Hamburg,Upper Secondary Level,Seldom,0.17141,32,117,0.10282,0.23999
2003,Hamburg,Upper Secondary Level,Never,0.67888,85,117,0.59391,0.76385
2003,Hamburg,Second Stage of Tertiary Education,Never,0.49511,35,35,0.32705,0.66317
2003,Lower Saxony,Lower Secondary Level,Seldom,0.16424,40,193,0.11184,0.21665
2003,Lower Saxony,Lower Secondary Level,Never,0.57962,153,193,0.50979,0.64944
2003,Lower Saxony,Upper Secondary Level,Very often,0.04202,51,990,0.02952,0.05453
2003,Lower Saxony,Upper Secondary Level,Often,0.07520,78,990,0.05876,0.09163
2003,Lower Saxony,Upper Secondary Level,Sometimes,0.14792,143,990,0.12579,0.17004
2003,Lower Saxony,Upper Secondary Level,Seldom,0.19659,202,990,0.17182,0.22136
2003,Lower Saxony,Upper Secondary Level,Never,0.53828,516,990,0.50720,0.56935
2003,Lower Saxony,Post-secondary Non-tertiary Level,Never,0.49711,53,53,0.36121,0.63300
2003,Lower Saxony,First Stage of Tertiary Education,Never,0.61448,61,61,0.49132,0.73763
2003,Lower Saxony,Second Stage of Tertiary Education,Often,0.09851,32,275,0.06322,0.13379
2003,Lower Saxony,Second Stage of Tertiary Education,Sometimes,0.09178,41,275,0.05759,0.12597
2003,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.22144,63,275,0.17227,0.27060
2003,Lower Saxony,Second Stage of Tertiary Education,Never,0.51290,139,275,0.45372,0.57209
2003,Bremen,Upper Secondary Level,Never,0.68542,63,63,0.56983,0.80100
2003,North Rhine-Westphalia,Pre-primary Level,Seldom,0.25491,35,104,0.17075,0.33908
2003,North Rhine-Westphalia,Pre-primary Level,Never,0.48576,69,104,0.38923,0.58228
2003,North Rhine-Westphalia,Primary Level,Never,0.67861,71,71,0.56920,0.78801
2003,North Rhine-Westphalia,Lower Secondary Level,Often,0.05704,34,577,0.03810,0.07598
2003,North Rhine-Westphalia,Lower Secondary Level,Sometimes,0.05872,48,577,0.03952,0.07792
2003,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.12308,76,577,0.09625,0.14991
2003,North Rhine-Westphalia,Lower Secondary Level,Never,0.73849,419,577,0.70260,0.77438
2003,North Rhine-Westphalia,Upper Secondary Level,Very often,0.03581,81,2250,0.02813,0.04349
2003,North Rhine-Westphalia,Upper Secondary Level,Often,0.05530,133,2250,0.04585,0.06474
2003,North Rhine-Westphalia,Upper Secondary Level,Sometimes,0.08340,196,2250,0.07197,0.09482
2003,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.14229,333,2250,0.12785,0.15673
2003,North Rhine-Westphalia,Upper Secondary Level,Never,0.68320,1507,2250,0.66398,0.70243
2003,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Sometimes,0.15621,40,297,0.11485,0.19757
2003,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.17783,69,297,0.13427,0.22139
2003,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.53131,188,297,0.47446,0.58816
2003,North Rhine-Westphalia,First Stage of Tertiary Education,Sometimes,0.13386,41,297,0.09507,0.17265
2003,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.17551,61,297,0.13217,0.21885
2003,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.57514,195,297,0.51883,0.63146
2003,North Rhine-Westphalia,Second Stage of Tertiary Education,Very often,0.06025,38,841,0.04416,0.07634
2003,North Rhine-Westphalia,Second Stage of Tertiary Education,Often,0.07899,82,841,0.06075,0.09723
2003,North Rhine-Westphalia,Second Stage of Tertiary Education,Sometimes,0.13725,94,841,0.11397,0.16052
2003,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.17359,147,841,0.14798,0.19920
2003,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.54993,480,841,0.51628,0.58357
2003,Hesse,Lower Secondary Level,Never,0.67904,137,137,0.60058,0.75750
2003,Hesse,Upper Secondary Level,Very often,0.05492,37,689,0.03790,0.07194
2003,Hesse,Upper Secondary Level,Often,0.06311,52,689,0.04494,0.08128
2003,Hesse,Upper Secondary Level,Sometimes,0.06939,52,689,0.05040,0.08838
2003,Hesse,Upper Secondary Level,Seldom,0.16179,117,689,0.13427,0.18931
2003,Hesse,Upper Secondary Level,Never,0.65078,431,689,0.61516,0.68641
2003,Hesse,Post-secondary Non-tertiary Level,Never,0.61303,64,64,0.49276,0.73330
2003,Hesse,First Stage of Tertiary Education,Never,0.46248,48,48,0.31994,0.60503
2003,Hesse,Second Stage of Tertiary Education,Often,0.10019,37,299,0.06610,0.13428
2003,Hesse,Second Stage of Tertiary Education,Sometimes,0.13181,47,299,0.09340,0.17022
2003,Hesse,Second Stage of Tertiary Education,Seldom,0.17498,54,299,0.13184,0.21812
2003,Hesse,Second Stage of Tertiary Education,Never,0.54268,161,299,0.48612,0.59925
2003,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.73003,155,155,0.65991,0.80014
2003,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very often,0.04118,33,685,0.02629,0.05607
2003,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Often,0.08948,63,685,0.06809,0.11088
2003,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Sometimes,0.07989,53,685,0.05957,0.10021
2003,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.16402,104,685,0.13627,0.19177
2003,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.62543,432,685,0.58915,0.66170
2003,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Never,0.54242,32,32,0.36704,0.71780
2003,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Never,0.54791,62,62,0.42301,0.67281
2003,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Seldom,0.17211,32,134,0.10796,0.23627
2003,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Never,0.51247,102,134,0.42752,0.59742
2003,Baden-Wuerttemberg,Pre-primary Level,Never,0.46127,38,38,0.30065,0.62190
2003,Baden-Wuerttemberg,Primary Level,Never,0.81940,36,36,0.69195,0.94684
2003,Baden-Wuerttemberg,Lower Secondary Level,Sometimes,0.06817,37,416,0.04392,0.09241
2003,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.13587,68,416,0.10291,0.16884
2003,Baden-Wuerttemberg,Lower Secondary Level,Never,0.71230,311,416,0.66875,0.75586
2003,Baden-Wuerttemberg,Upper Secondary Level,Very often,0.04000,51,1242,0.02910,0.05090
2003,Baden-Wuerttemberg,Upper Secondary Level,Often,0.09815,123,1242,0.08160,0.11470
2003,Baden-Wuerttemberg,Upper Secondary Level,Sometimes,0.09227,116,1242,0.07617,0.10838
2003,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.15118,202,1242,0.13125,0.17111
2003,Baden-Wuerttemberg,Upper Secondary Level,Never,0.61840,750,1242,0.59137,0.64542
2003,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Never,0.49333,72,72,0.37703,0.60962
2003,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,0.16584,46,146,0.10530,0.22638
2003,Baden-Wuerttemberg,First Stage of Tertiary Education,Never,0.51197,100,146,0.43061,0.59333
2003,Baden-Wuerttemberg,Second Stage of Tertiary Education,Often,0.08245,42,440,0.05672,0.10818
2003,Baden-Wuerttemberg,Second Stage of Tertiary Education,Sometimes,0.13163,52,440,0.10001,0.16326
2003,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.19053,97,440,0.15379,0.22726
2003,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.54831,249,440,0.50176,0.59487
2003,Bavaria,Pre-primary Level,Never,0.57715,40,40,0.42210,0.73219
2003,Bavaria,Lower Secondary Level,Very often,0.08376,32,390,0.05623,0.11129
2003,Bavaria,Lower Secondary Level,Often,0.07251,34,390,0.04674,0.09828
2003,Bavaria,Lower Secondary Level,Sometimes,0.09137,41,390,0.06274,0.12000
2003,Bavaria,Lower Secondary Level,Seldom,0.13484,52,390,0.10090,0.16879
2003,Bavaria,Lower Secondary Level,Never,0.61752,231,390,0.56922,0.66581
2003,Bavaria,Upper Secondary Level,Very often,0.06436,110,1629,0.05244,0.07628
2003,Bavaria,Upper Secondary Level,Often,0.08440,156,1629,0.07090,0.09790
2003,Bavaria,Upper Secondary Level,Sometimes,0.09983,176,1629,0.08527,0.11439
2003,Bavaria,Upper Secondary Level,Seldom,0.20538,327,1629,0.18575,0.22500
2003,Bavaria,Upper Secondary Level,Never,0.54604,860,1629,0.52185,0.57022
2003,Bavaria,Post-secondary Non-tertiary Level,Never,0.46185,74,74,0.34748,0.57621
2003,Bavaria,First Stage of Tertiary Education,Often,0.13174,41,199,0.08463,0.17885
2003,Bavaria,First Stage of Tertiary Education,Seldom,0.21793,55,199,0.16042,0.27543
2003,Bavaria,First Stage of Tertiary Education,Never,0.46959,103,199,0.40007,0.53910
2003,Bavaria,Second Stage of Tertiary Education,Very often,0.06866,44,583,0.04812,0.08921
2003,Bavaria,Second Stage of Tertiary Education,Often,0.12126,71,583,0.09474,0.14778
2003,Bavaria,Second Stage of Tertiary Education,Sometimes,0.15553,87,583,0.12608,0.18497
2003,Bavaria,Second Stage of Tertiary Education,Seldom,0.23069,138,583,0.19646,0.26491
2003,Bavaria,Second Stage of Tertiary Education,Never,0.42386,243,583,0.38372,0.46401
2003,Berlin,Lower Secondary Level,Never,0.67999,47,47,0.54518,0.81479
2003,Berlin,Upper Secondary Level,Sometimes,0.08705,32,316,0.05592,0.11819
2003,Berlin,Upper Secondary Level,Seldom,0.15066,58,316,0.11115,0.19016
2003,Berlin,Upper Secondary Level,Never,0.69826,226,316,0.64757,0.74895
2003,Berlin,First Stage of Tertiary Education,Never,0.77188,49,49,0.65317,0.89059
2003,Berlin,Second Stage of Tertiary Education,Seldom,0.17458,50,210,0.12312,0.22605
2003,Berlin,Second Stage of Tertiary Education,Never,0.64851,160,210,0.58378,0.71324
2003,Brandenburg,Lower Secondary Level,Never,0.72479,56,56,0.60676,0.84283
2003,Brandenburg,Upper Secondary Level,Sometimes,0.08622,41,412,0.05908,0.11335
2003,Brandenburg,Upper Secondary Level,Seldom,0.18186,91,412,0.14457,0.21916
2003,Brandenburg,Upper Secondary Level,Never,0.62579,280,412,0.57900,0.67257
2003,Brandenburg,First Stage of Tertiary Education,Never,0.55482,43,43,0.40452,0.70513
2003,Brandenburg,Second Stage of Tertiary Education,Sometimes,0.14296,34,232,0.09782,0.18810
2003,Brandenburg,Second Stage of Tertiary Education,Seldom,0.23586,65,232,0.18111,0.29060
2003,Brandenburg,Second Stage of Tertiary Education,Never,0.51858,133,232,0.45414,0.58301
2003,Mecklenburg-Western Pomerania,Lower Secondary Level,Never,0.83201,33,33,0.70248,0.96155
2003,Mecklenburg-Western Pomerania,Upper Secondary Level,Seldom,0.15483,38,224,0.10735,0.20231
2003,Mecklenburg-Western Pomerania,Upper Secondary Level,Never,0.68425,186,224,0.62324,0.74526
