"pld0045","year","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2003","(noch) kein Abschluss","51","0.0609974315071406","0.0452030376873658","0.0767918253269153"
"Sehr oft","2003","Hauptschule","325","0.0376055485914401","0.0335338728783987","0.0416772243044814"
"Sehr oft","2003","Realschule","277","0.0538961818948537","0.0480620824898397","0.0597302812998677"
"Sehr oft","2003","(Fach-)Abitur","137","0.0530043857903833","0.0440540375563797","0.061954734024387"
"Sehr oft","2003","AkademikerIn","235","0.0508657085920898","0.0443196355549753","0.0574117816292042"
"Oft","2003","(noch) kein Abschluss","64","0.0754576385624278","0.0580263773565178","0.0928888997683379"
"Oft","2003","Hauptschule","585","0.0656007310972735","0.0603017637092362","0.0708996984853108"
"Oft","2003","Realschule","475","0.0811841174812201","0.0741278471449925","0.0882403878174476"
"Oft","2003","(Fach-)Abitur","228","0.0924925328015939","0.0809183993479459","0.104066666255242"
"Oft","2003","AkademikerIn","411","0.088674611131627","0.0802054412173469","0.097143781045907"
"Manchmal","2003","(noch) kein Abschluss","86","0.0910755504737067","0.0720875779850173","0.110063522962396"
"Manchmal","2003","Hauptschule","729","0.0823704589257105","0.0764862227193636","0.0882546951320574"
"Manchmal","2003","Realschule","638","0.108068672584551","0.100047441197488","0.116089903971613"
"Manchmal","2003","(Fach-)Abitur","280","0.12897832703194","0.115588255524927","0.142368398538953"
"Manchmal","2003","AkademikerIn","534","0.124970241361074","0.115118359829995","0.134822122892152"
"Selten","2003","(noch) kein Abschluss","163","0.177559193184943","0.152339621577005","0.202778764792881"
"Selten","2003","Hauptschule","1310","0.153427763356879","0.145714207125853","0.161141319587905"
"Selten","2003","Realschule","1064","0.176403169363555","0.1665554434589","0.18625089526821"
"Selten","2003","(Fach-)Abitur","455","0.185620100479876","0.170087789737369","0.201152411222383"
"Selten","2003","AkademikerIn","877","0.196094282084217","0.184265514766241","0.207923049402193"
"Nie","2003","(noch) kein Abschluss","518","0.594910186271782","0.562512412956595","0.627307959586969"
"Nie","2003","Hauptschule","5437","0.660995498028697","0.650864023764074","0.671126972293319"
"Nie","2003","Realschule","3301","0.580447858675821","0.567698157537567","0.593197559814074"
"Nie","2003","(Fach-)Abitur","1307","0.539904653896207","0.519993680064379","0.559815627728035"
"Nie","2003","AkademikerIn","2271","0.539395156830993","0.524545301033029","0.554245012628956"
"Sehr oft","2004","(noch) kein Abschluss","","","",""
"Sehr oft","2004","Hauptschule","","","",""
"Sehr oft","2004","Realschule","","","",""
