"pld0045","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2003","Schleswig-Holstein","","","",""
"Sehr oft","2003","Hamburg","","","",""
"Sehr oft","2003","Niedersachsen","118","0.0526301924481922","0.0425898496806658","0.0626705352157186"
"Sehr oft","2003","Bremen","","","",""
"Sehr oft","2003","Nordrhein-Westfalen","176","0.038422706197118","0.03288968349514","0.043955728899096"
"Sehr oft","2003","Hessen","90","0.0586053466767683","0.0466588835338226","0.070551809819714"
"Sehr oft","2003","Rheinland-Pfalz,Saarland","82","0.0579773003004466","0.0454033335406211","0.0705512670602721"
"Sehr oft","2003","Baden-Wuerttemberg","118","0.0448050855543728","0.0369581133077451","0.0526520578010004"
"Sehr oft","2003","Bayern","227","0.0723633156536053","0.0632619467673512","0.0814646845398595"
"Sehr oft","2003","Berlin","","","",""
"Sehr oft","2003","Brandenburg","30","0.0314091924327942","0.0202112381130503","0.0426071467525381"
"Sehr oft","2003","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2003","Sachsen","54","0.0296584819747363","0.0213590696977331","0.0379578942517395"
"Sehr oft","2003","Sachsen-Anhalt","40","0.0348198119747852","0.0230249866643512","0.0466146372852192"
"Sehr oft","2003","Thueringen","","","",""
"Oft","2003","Schleswig-Holstein","51","0.0987432180436354","0.0759841730428581","0.121502263044413"
"Oft","2003","Hamburg","","","",""
"Oft","2003","Niedersachsen","178","0.0806835116361441","0.0684374564768148","0.0929295667954735"
"Oft","2003","Bremen","","","",""
"Oft","2003","Nordrhein-Westfalen","314","0.0635622798963813","0.0565393948453633","0.0705851649473992"
"Oft","2003","Hessen","123","0.0738102022541551","0.0605119961916001","0.0871084083167101"
"Oft","2003","Rheinland-Pfalz,Saarland","122","0.0907764165898041","0.0753190860849249","0.106233747094683"
"Oft","2003","Baden-Wuerttemberg","237","0.0875608443988378","0.0768394965222415","0.0982821922754341"
"Oft","2003","Bayern","326","0.0919612279838197","0.0818101279399353","0.102112328027704"
"Oft","2003","Berlin","42","0.0489224246902489","0.0341223138028023","0.0637225355776956"
"Oft","2003","Brandenburg","58","0.0706037026471817","0.0541579277159111","0.0870494775784522"
"Oft","2003","Mecklenburg-Vorpommern","30","0.0481237569078953","0.0298158605411202","0.0664316532746704"
"Oft","2003","Sachsen","115","0.0689571635638776","0.0565610627741571","0.0813532643535981"
"Oft","2003","Sachsen-Anhalt","96","0.104130591478604","0.0844795476633645","0.123781635293844"
"Oft","2003","Thueringen","61","0.0487050445534661","0.0350532113151028","0.0623568777918295"
"Manchmal","2003","Schleswig-Holstein","49","0.0817037595068407","0.0608065379756294","0.102600981038052"
"Manchmal","2003","Hamburg","","","",""
"Manchmal","2003","Niedersachsen","257","0.131649544280109","0.116446572517644","0.146852516042574"
"Manchmal","2003","Bremen","","","",""
"Manchmal","2003","Nordrhein-Westfalen","448","0.0974686125692273","0.0889309315161645","0.10600629362229"
"Manchmal","2003","Hessen","154","0.0890958991382577","0.0746065108675065","0.103585287409009"
"Manchmal","2003","Rheinland-Pfalz,Saarland","108","0.0782337109088867","0.0637853026219612","0.0926821191958123"
"Manchmal","2003","Baden-Wuerttemberg","263","0.101320347616188","0.0898746241164262","0.112766071115949"
"Manchmal","2003","Bayern","362","0.109286856337515","0.0983268342862843","0.120246878388745"
"Manchmal","2003","Berlin","71","0.0863231049036981","0.0670539415084685","0.105592268298928"
"Manchmal","2003","Brandenburg","96","0.104533452847694","0.0848911471487068","0.124175758546682"
"Manchmal","2003","Mecklenburg-Vorpommern","55","0.0873051719013933","0.0631588369925418","0.111451506810245"
"Manchmal","2003","Sachsen","168","0.0962830534485946","0.081851877786073","0.110714229111116"
"Manchmal","2003","Sachsen-Anhalt","115","0.110871126030978","0.090670459983274","0.131071792078682"
"Manchmal","2003","Thueringen","107","0.116841535172418","0.0964680958392247","0.137214974505611"
"Selten","2003","Schleswig-Holstein","120","0.206266188508167","0.175396831361067","0.237135545655268"
"Selten","2003","Hamburg","73","0.238889648110316","0.1898977713771","0.287881524843533"
"Selten","2003","Niedersachsen","372","0.190407457811329","0.172753319801864","0.208061595820795"
"Selten","2003","Bremen","","","",""
"Selten","2003","Nordrhein-Westfalen","745","0.15272301325564","0.142368222561844","0.163077803949435"
"Selten","2003","Hessen","241","0.159098175070088","0.140494869882006","0.17770148025817"
"Selten","2003","Rheinland-Pfalz,Saarland","198","0.149889652476359","0.130683688623901","0.169095616328817"
